track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Can't Afford It,5C48faH4nfRQmnNJKhYpE0,2019-07-22T01:33:10Z,Can't Afford It,2019-07-10,138160,30,Bakers Eddy,5jfNarQg6Z53zgEOzsDswD,1520,26,melbourne indie,0.446,0.933,5,-6.639,1,0.103,0.123,0,0.545,0.504,127.532,4
Glitter,23TPP1eeElFfvYVznskwCY,2019-07-22T01:33:18Z,FIRE ON MARZZ,2019-06-28,180146,65,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,9587,63,nz pop,0.801,0.589,7,-5.157,1,0.0485,0.0863,0,0.162,0.58,116.934,4
Have It All (feat. Age.Sex.Location),17GRI6IQnzjMtpeANxdpch,2019-07-22T01:35:52Z,Have It All (feat. Age.Sex.Location),2019-07-19,205478,55,Cosmo's Midnight,4VivsO1n4n2Mi2Btyb5gfL,59078,60,"australian dance,australian indie,indie dream pop,vapor soul",0.669,0.697,0,-11.104,1,0.248,0.157,1.95e-05,0.26,0.449,110.049,4
Earth,3Dvq01GbtvhYKHUOaQkdwZ,2019-07-22T01:36:10Z,Earth,2019-07-16,186810,50,Easy Life,7uwY65fDg3FVJ8MkJ5QuZK,46688,60,leicester indie,0.705,0.613,6,-9.317,0,0.158,0.218,1.81e-06,0.304,0.459,89.505,4
Conversations (With The Moon),5L60Ewkf3Y7kT3oUUrQXq3,2019-07-22T01:36:01Z,Conversations (With The Moon) / Teenage Queen,2019-07-19,249405,33,Harper Finn,3CUxThJ21i78mhH1FfH55u,198,24,,0.477,0.783,3,-4.564,0,0.0428,0.0169,4.74e-05,0.143,0.218,77.031,4
Swing,6T0PSfzdg8PE44T8PbbEmM,2019-07-22T01:36:25Z,Swing,2019-07-12,179658,58,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,243941,70,indietronica,0.775,0.717,5,-5.348,0,0.114,0.0064,0.265,0.112,0.282,122.994,3
Never Seen the Rain,2grAr8pWMuLWn8ZYEE9wDV,2019-07-22T01:36:31Z,Never Seen the Rain,2019-07-15,200755,58,Tones and I,2NjfBq1NflQcKSeiDooVjY,25456,72,australian pop,0.485,0.461,9,-5.646,1,0.0444,0.44,0,0.232,0.324,87.009,4
Kitchen,6urUaCWU3HXdalm0oZU1Cd,2019-07-22T01:36:38Z,Kitchen,2019-06-28,217388,44,Annie Hamilton,0S3cimlz80A0Q9CLz8TTxH,455,34,,0.375,0.703,9,-4.825,1,0.0362,0.0264,0.0174,0.127,0.177,117.027,4
Reality,3lUWm0u55Bi5FexJAZEvgZ,2019-07-22T01:36:45Z,Reality,2019-07-12,183801,34,The Delta Riggs,1wWcqWYBaZeSYC0aAfh3qy,22157,44,"australian garage punk,australian indie",0.526,0.913,5,-4.776,0,0.128,0.0117,2.57e-06,0.0845,0.857,162.064,4
Heard it On The Radio,3yJa4GqFIs1qyNfugXIG9T,2019-07-22T01:36:51Z,Heard it On The Radio,2019-07-12,217882,42,Luke Million,1khu4DLsGK5MWLbUlfKkgz,12363,42,nu disco,0.562,0.697,2,-7.551,1,0.0775,0.00893,0.00011,0.11,0.396,94.998,4
1%,0J8Kyv57ugdsJLJ2ZRPdcM,2019-07-22T01:36:58Z,1%,2019-07-10,214995,54,Oscar Scheller,6BToM88XrzNI6VL5GxazUq,7835,46,,0.788,0.596,4,-5.77,1,0.0394,0.32,1.95e-05,0.101,0.725,86.079,4
