track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Creo en Ti,0xXhgLXfEHnWJHVgRvFvdn,2019-06-26T01:51:14Z,Peligro,2011,163333,67,Reik,0vR2qb8m9WHeZ5ByCbimq2,3029071,85,"latin,latin arena pop,latin pop,mexican pop,pop,reggaeton",0.422,0.267,3,-9.533,1,0.0281,0.86,0,0.142,0.432,171.725,4
Por Amarte Así,2bvO1KXbUd4vySCWGNqIIa,2019-06-26T01:51:14Z,Mi Vida Sin Tu Amor,1999-01-05,272200,69,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,1105422,74,"latin,latin arena pop,latin pop,rock en espanol,tropical",0.61,0.637,1,-5.881,1,0.027,0.61,0,0.0952,0.322,128.863,4
Te amo,2jFglF0pDwhrrXmeWZvmKY,2019-06-26T01:51:14Z,Voy,2008-08-12,233493,65,Alexander Acha,3JkgQ8Jjwt2mkeOsg5yhqh,234993,60,"latin,latin arena pop,latin pop,mexican pop",0.533,0.559,2,-6.574,1,0.0321,0.225,0,0.217,0.284,136.037,4
Prometiste - MTV Unplugged [En Vivo],4UuVcf9nvpqyPsOk0P9oBH,2019-06-26T01:51:14Z,Pepe Aguilar MTV Unplugged [(MTV Unplugged) [En Vivo]],2014-10-21,305120,30,Pepe Aguilar,03Yb3iBy9GCifXiATEFcit,1633156,75,"grupera,latin pop,latin talent show,mariachi,ranchera",0.602,0.398,0,-9.503,1,0.104,0.807,0,0.703,0.603,126.285,4
Amor del Bueno,2G74yhtIMW8tJY5I83dS4Z,2019-06-26T01:51:14Z,Reyli En La Luna,2004-09-14,242026,71,Reyli Barba,69BUYvpG9MbjCyIZfsFdhJ,705991,68,"grupera,latin,latin pop,mexican pop,rock en espanol,tropical",0.77,0.373,1,-6.931,1,0.0328,0.317,0,0.217,0.293,131.975,4
Un Año,5BDP2tky8oMQJPS33frKVp,2019-06-26T01:51:14Z,Un Año,2019-01-18,164440,83,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,7608068,90,colombian pop,0.771,0.382,1,-6.808,0,0.0514,0.148,0,0.104,0.535,94.931,4
Dígale,2ov4mApsCl1vXLLZvjhxHW,2019-06-26T01:51:14Z,Corazón Latino,2002-01-01,264440,9,David Bisbal,5gOJTI4TusSENizxhcG7jB,2010110,76,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock,tropical",0.574,0.479,2,-6.684,1,0.0297,0.592,0,0.156,0.303,129.993,4
La Incondicional,6F9yAYUaNbUhdlQyt5uZ3b,2019-06-26T01:51:14Z,Busca Una Mujer,1988-11-25,257026,74,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,3574761,84,"bolero,latin,latin pop",0.374,0.727,10,-4.352,1,0.0309,0.237,0,0.134,0.283,155.127,4
Bésame,5qRwSoEIzmNOo8XlSscM8y,2019-06-26T01:51:14Z,Las Mejores Baladas del Pop,2011-09-27,239626,59,Ricardo Montaner,4uoz4FUMvpeyGClFTTDBsD,1795545,75,"latin,latin pop,tropical",0.574,0.697,4,-4.355,0,0.032,0.596,0,0.105,0.473,81.045,4
Te Amo,4WtO0pdIHTuVwQAVFmfIHQ,2019-06-26T01:51:14Z,Franco De Vita En Primera Fila,2011-05-30,218760,67,Franco De Vita,4NEYQeEYBUjfaXgDQGvFvu,1791262,73,"latin,latin arena pop,latin pop,rock en espanol,tropical",0.584,0.636,10,-6.654,1,0.0517,0.539,5.94e-06,0.871,0.337,129.24,4
