track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Creo en Ti,0xXhgLXfEHnWJHVgRvFvdn,2019-06-26T01:51:14Z,Peligro,2011,163333,67,Reik,0vR2qb8m9WHeZ5ByCbimq2,3013001,85,"latin,latin arena pop,latin pop,mexican pop,pop,reggaeton",0.42200000000000004,0.267,3,-9.533,1,0.0281,0.86,0.0,0.142,0.43200000000000005,171.725,4
Por Amarte Así,2bvO1KXbUd4vySCWGNqIIa,2019-06-26T01:51:14Z,Mi Vida Sin Tu Amor,1999-01-05,272200,69,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,1099214,74,"latin,latin arena pop,latin pop,tropical",0.61,0.637,1,-5.881,1,0.027000000000000003,0.61,0.0,0.0952,0.322,128.863,4
Te amo,2jFglF0pDwhrrXmeWZvmKY,2019-06-26T01:51:14Z,Voy,2008-08-12,233493,64,Alexander Acha,3JkgQ8Jjwt2mkeOsg5yhqh,233739,59,"latin,latin arena pop,latin pop,mexican pop",0.5329999999999999,0.5589999999999999,2,-6.574,1,0.0321,0.225,0.0,0.217,0.284,136.037,4
Dígale,2ov4mApsCl1vXLLZvjhxHW,2019-06-26T01:51:14Z,Corazón Latino,2002-01-01,264440,9,David Bisbal,5gOJTI4TusSENizxhcG7jB,1999515,76,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock,tropical",0.574,0.479,2,-6.684,1,0.0297,0.5920000000000001,0.0,0.156,0.303,129.993,4
Como Mirarte,6ytgCKFGvKrmVj1X7s8idZ,2019-06-26T01:51:14Z,Extended Play Yatra,2017-05-26,227333,60,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,7528041,90,colombian pop,0.353,0.337,0,-7.297000000000001,1,0.0304,0.6779999999999999,0.0,0.28800000000000003,0.2,83.95700000000001,4
Hasta Que Me Olvides,6vPAmoERUMRoTZaCCSWQ12,2019-06-26T01:51:14Z,Aries,1993,281000,70,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,3546279,84,"bolero,latin,latin pop",0.6409999999999999,0.593,3,-7.8839999999999995,1,0.0264,0.46,0.0,0.16899999999999998,0.43700000000000006,119.82799999999999,4
La fuerza del corazón,5c1w6xM8pFvXhMXQVUY42Q,2019-06-26T01:51:14Z,Alejandro Sanz 3 Edicion 2006,2006-09-26,307053,62,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,3200873,81,"cantautor,latin,latin arena pop,latin pop,mexican pop,rock en espanol,spanish pop,tropical",0.39899999999999997,0.53,10,-7.176,0,0.0532,0.479,1.36e-06,0.0719,0.35100000000000003,76.827,4
Di Qué Sientes Tú,2k7oWwvj3bGQ68HnsC813H,2019-06-26T01:51:14Z,Di Qué Sientes Tú,2018-04-26,236135,66,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,2835640,75,"latin,latin pop,tropical",0.5479999999999999,0.465,1,-8.012,1,0.0316,0.205,0.0,0.114,0.258,139.799,4
Bendita Tu Luz,2JBs412fpVUuzIaIp3CyIs,2019-06-26T01:51:14Z,Amar Es Combatir,2006-05-09,264720,64,Maná,7okwEbXzyT2VffBmyQBWLz,4258573,80,"latin,latin arena pop,latin pop,latin rock,mexican pop,mexican rock,rock en espanol",0.7909999999999999,0.782,7,-4.973,1,0.0289,0.14300000000000002,3.7000000000000006e-06,0.107,0.635,115.992,4
Un Amor de Verdad,4Z3wNhlam0BHHnK1lZmPRU,2019-06-26T01:51:14Z,Des/Amor,2016-06-17,212946,66,Reik,0vR2qb8m9WHeZ5ByCbimq2,3013001,85,"latin,latin arena pop,latin pop,mexican pop,pop,reggaeton",0.601,0.426,8,-7.102,1,0.0254,0.627,0.0,0.105,0.29,137.97899999999998,4
La Vida Entera,73lcrkJKuPLoMWF0UnecCb,2019-06-26T01:51:14Z,La Vida Entera,2015-04-14,227973,62,Camila,2gRP1Ezbtj3qrERnd0XasU,2011539,75,"latin,latin arena pop,latin pop,pop,tropical",0.406,0.366,9,-6.222,0,0.0293,0.654,0.0,0.0961,0.231,132.619,4
No Puedo Dejarte de Amar (with Jesús Navarro),0RGRcMtokeaLUNAhqNIfKw,2019-06-26T01:51:14Z,Negroklaro,2007,317106,63,Kalimba,4RjamFQJNT8nVbTKXJDJgv,869302,68,"cumbia,latin,latin arena pop,latin pop,mexican pop,pop,tropical",0.385,0.326,7,-7.159,1,0.0282,0.439,0.0,0.138,0.253,80.837,4
Tu Amor Por Siempre,4k5wptmyVtD69gfJTMswv6,2019-06-26T01:51:14Z,Hoy,2005-01-01,276813,48,Axel,32x1uogH2zajP85pzZAtuE,649127,63,"argentine telepop,latin,latin arena pop,latin pop",0.337,0.39799999999999996,9,-7.643,1,0.0311,0.541,0.0,0.10400000000000001,0.14300000000000002,153.6,4
Mi Razón De Ser,2QqIr7VTHwSMW1JMtx6IiN,2019-06-26T01:51:14Z,Mis Canciones De La Web,2016-10-21,172306,59,Griss Romero,36eqG3jM0MhxTR7Cuw7BQA,104173,59,"latin pop,mexican pop",0.679,0.539,8,-6.744,1,0.0324,0.795,0.0,0.193,0.441,129.967,4
Llegaste tú,77jdTLPg3EXHJ8cbU7SBni,2019-06-26T01:51:14Z,Esta Es Mi Vida,2006-07-18,246666,58,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,2878847,79,"latin,latin arena pop,latin pop,mexican pop,pop",0.547,0.528,0,-6.525,1,0.025,0.196,0.0,0.16399999999999998,0.29,146.06799999999998,4
Entrégate,7oodPDKpxL5ZxS7aPoHUTf,2019-06-26T01:51:14Z,20 Años,1990-01-01,263906,4,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,3546279,84,"bolero,latin,latin pop",0.516,0.675,8,-7.355,1,0.0323,0.49200000000000005,1.29e-05,0.0902,0.381,142.123,4
Tan Enamorados,4FW4Y92Lz0vMLYndGPQ0uh,2019-06-26T01:51:14Z,Exitos Eternos (Mexican Version),2005-01-18,260519,21,Ricardo Montaner,4uoz4FUMvpeyGClFTTDBsD,1778684,75,"latin,latin pop,tropical",0.405,0.747,4,-3.827,1,0.032,0.23600000000000002,1.85e-06,0.0806,0.363,144.711,4
Amo,4IDp1zu5LGwVzrp9j9WjHW,2019-06-26T01:51:14Z,Amo,2003,213213,57,Axel,32x1uogH2zajP85pzZAtuE,649127,63,"argentine telepop,latin,latin arena pop,latin pop",0.38799999999999996,0.365,7,-8.136000000000001,1,0.036000000000000004,0.9159999999999999,0.0,0.18100000000000002,0.261,118.913,4
Devuélveme El Corazón,0AbUjX0KljK02Ts6q7YITU,2019-06-26T01:51:14Z,Devuélveme El Corazón,2017-06-09,244160,60,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,7528041,90,colombian pop,0.5710000000000001,0.787,0,-6.886,1,0.0772,0.095,0.0,0.08800000000000001,0.29,154.02700000000002,4
Tú,6ZEVQ2whiJvhjCNAOJ0DC3,2019-06-26T01:51:14Z,Donde Estan Los Ladrones,1998-09-29,214133,64,Shakira,0EmeFodog0BfCgMzAIvKQp,16595098,86,"colombian pop,dance pop,latin,latin pop,mexican pop,pop",0.5670000000000001,0.33299999999999996,0,-8.818,1,0.0258,0.7140000000000001,4.53e-06,0.25,0.20800000000000002,139.80700000000002,4
Tu refugio,35IS0HfbFDk4QTF7Nnkoxl,2019-06-26T01:51:14Z,Prometo,2017-11-17,262000,62,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,2590210,78,"latin,latin arena pop,latin pop,spanish pop",0.44,0.47,11,-8.236,1,0.0401,0.5660000000000001,0.0,0.138,0.152,139.911,4
Amiga mía,6kQYMqjobmB8MkWwa9OUyA,2019-06-26T01:51:14Z,Más,1997-08-28,290973,67,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,3200873,81,"cantautor,latin,latin arena pop,latin pop,mexican pop,rock en espanol,spanish pop,tropical",0.629,0.703,2,-4.875,1,0.0504,0.519,0.0,0.11,0.402,144.016,4
Para Siempre,2hut8CKkX5obUCgsbp3RHb,2019-06-26T01:51:14Z,Para Siempre,2018-02-16,201644,5,Kany Garcia,69UypehHabb68utzfjAVlV,556610,71,"dominican pop,latin,latin pop,tropical",0.7,0.439,4,-9.033999999999999,1,0.0862,0.8759999999999999,0.0,0.10800000000000001,0.39899999999999997,80.098,4
Te Vi Venir,45xU99QgWETDFGhgivpYce,2019-06-26T01:51:14Z,Hasta Ahora,2007-11-13,194583,65,Sin Bandera,7xeM7V59cA1X8GKyKKQV87,2455430,75,"latin,latin arena pop,latin pop,mexican pop,tropical",0.585,0.342,4,-8.166,1,0.0347,0.868,0.0,0.11900000000000001,0.455,135.827,4
Vuelve,6WSAPEkvEfcEUgSTAo1D3S,2019-06-26T01:51:14Z,Vuelve,2018-09-28,224013,72,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,7528041,90,colombian pop,0.716,0.474,11,-6.7139999999999995,1,0.052000000000000005,0.5589999999999999,0.0,0.135,0.302,77.811,4
Simplemente Tú,6n5bmDFKf6PNPfyMBxYdyA,2019-06-26T01:51:14Z,Dicen,2016-09-30,226906,52,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,1099214,74,"latin,latin arena pop,latin pop,tropical",0.483,0.588,7,-5.502000000000001,1,0.0311,0.47,0.0,0.0994,0.267,139.93,4
