track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Wow.,6MWtB6iiXyIwun0YzU6DFP,2019-06-29T02:02:08Z,Wow.,2018-12-24,149520,92,Post Malone,246dkjvS1zLTtiykXe5h60,14988912,96,"dfw rap,pop,rap",0.833,0.539,11,-7.399,0,0.178,0.163,2.1e-06,0.101,0.385,99.947,4
Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,2019-06-29T02:02:08Z,Championships,2018-11-30,180522,88,Meek Mill,20sxb77xiYeusSH8cVdatc,3260327,88,"hip hop,philly rap,pop,pop rap,rap,southern hip hop,trap music",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,2019-06-29T02:02:08Z,Hoodie SZN,2018-12-21,189486,89,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,3048449,90,"rap,trap music",0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
Creep On Me (feat. French Montana & DJ Snake) - QUIX Remix,3Qo418FH9pAHApAzOF8hfI,2019-06-29T02:02:08Z,Creep On Me (Remixes) (feat. French Montana & DJ Snake),2018-12-07,238163,67,GASHI,0JOxt5QOwq0czoJxvSc5hS,84421,73,"trap music,trap soul",0.606,0.934,7,-5.524,1,0.0482,0.00384,0.000154,0.0945,0.18,130.088,4
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,2019-06-29T02:02:08Z,ASTROWORLD,2018-08-03,312820,88,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,5917632,95,"pop,pop rap,rap",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
"Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce] - Remix",0wt9RjddODlWDetpuaXfRK,2019-06-29T02:02:08Z,Spider-Man: Into the Spider-Verse (Deluxe Edition / Soundtrack From & Inspired By The Motion Picture),2019-02-22,210000,73,Post Malone,246dkjvS1zLTtiykXe5h60,14988912,96,"dfw rap,pop,rap",0.604,0.754,2,-4.243,1,0.119,0.274,3.53e-06,0.0947,0.28,179.836,4
Pure Water (with Migos),63cd4JkwGgYJrbOizbfmsp,2019-06-29T02:02:08Z,Pure Water (with Migos),2019-01-16,194519,87,Mustard,0YinUQ50QDB7ZxSCLyQ40k,409824,81,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,4
MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,2019-06-29T02:02:08Z,MIDDLE CHILD,2019-01-23,213593,89,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,8593808,93,"conscious hip hop,nc hip hop,pop rap,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
Coming In Hot,1FYd1szE0RHXOAM00V4MEx,2019-06-29T02:02:08Z,Coming In Hot,2018-07-20,200168,56,Andy Mineo,1TMrnxBwZfmfRxsGzkNIHw,355011,70,christian hip hop,0.89,0.454,8,-8.777,1,0.26,0.0271,3.58e-06,0.157,0.425,140.041,4
My Year,6MDjeiUWPPgEwLtiBrr9he,2019-06-29T02:02:08Z,My Year,2019-01-24,190344,70,GASHI,0JOxt5QOwq0czoJxvSc5hS,84421,73,"trap music,trap soul",0.842,0.808,11,-3.243,0,0.0491,0.206,0,0.258,0.705,145.03,4
Keanu Reeves,25F6MWrnFBCXVnpN4n76EK,2019-06-29T02:02:08Z,Keanu Reeves,2019-01-18,225986,66,Logic,4xRYI6VqpkE3UwrDrAZL8L,3795985,91,"conscious hip hop,dmv rap,hip hop,pop rap,rap",0.71,0.888,2,-6.457,1,0.235,0.0591,0,0.134,0.816,170.193,4
11 Minutes (feat. Travis Barker) - Kayzo Remix,0YbKNvAu6wHeM4bfRTZFT3,2019-06-29T02:02:08Z,11 Minutes (feat. Travis Barker) [Kayzo Remix],2019-05-15,257349,63,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,249757,78,"british indie rock,modern rock",0.425,0.948,11,-2.476,1,0.198,0.0244,1.08e-06,0.122,0.524,165.922,4
Hold Me Back,5C5FqRfbXF9oY4HSRYyqn3,2019-06-29T02:02:08Z,Hold Me Back,2019-04-26,223107,64,KB,77IKXFvO7SpWrq8hflrUXc,200795,65,"ccm,christian hip hop,christian trap",0.674,0.771,8,-4.364,0,0.142,0.187,0,0.247,0.511,150.896,4
Gametime,4LDlUgshtyOvQrG3WWXtsZ,2019-06-29T02:02:08Z,Gametime,2019-01-25,248605,64,Shepherd,0YHuTR40zc9yqfoSSArQxU,1071,53,miami hip hop,0.763,0.907,5,-5.494,0,0.134,0.0492,0,0.35,0.693,149.956,4
Vámonos - LNY TNZ Remix,1ss4CfqZagd4a7A0CBkqZY,2019-06-29T02:02:08Z,Vámonos (The Remixes),2019-03-15,188012,65,Kris Kross Amsterdam,4LcUpNlXFEleaLlelmkv2R,78658,76,"dutch house,dutch pop,tropical house",0.483,0.947,11,-4.569,0,0.0494,0.00101,0.303,0.515,0.301,75.015,4
Everyday,4EAV2cKiqKP5UPZmY6dejk,2019-06-29T02:02:08Z,Bobby Tarantino II,2018-03-09,204746,79,Logic,4xRYI6VqpkE3UwrDrAZL8L,3795985,91,"conscious hip hop,dmv rap,hip hop,pop rap,rap",0.67,0.752,1,-4.146,1,0.0374,0.041,0,0.0749,0.442,149.961,4
Rumors - R3HAB & Skytech vs. Marvelus Fame Remix,2rOU98Cy13yvifhme0Ovn5,2019-06-29T02:02:08Z,Rumors (R3HAB & Skytech vs. Marvelus Fame Remix),2018-11-08,142800,58,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1673051,85,"big room,dance pop,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.55,0.9,10,-4.327,0,0.225,0.0145,0,0.322,0.431,150.049,4
Boast,5iTOA4l30FGQNwwvODfpCG,2019-06-29T02:02:08Z,Shine - EP,2019-05-10,181778,61,S.O.,6nELoJ6eMXfYHX5xocKf33,17178,53,"christian hip hop,christian trap,uk christian rap",0.884,0.766,0,-6.034,1,0.216,0.413,3.39e-05,0.0975,0.664,84.507,4
Whole Place Locked,5aZdKGLBJZDkGadhMhd0q5,2019-06-29T02:02:08Z,Whole Place Locked,2019-05-03,205000,57,So Dope,3xEKrMqS4pDGqGvxf7zwSY,793,47,,0.799,0.896,2,-2.651,1,0.108,0.0861,6.31e-06,0.317,0.499,96.006,4
Everytime,3Dlv85xfEEA3wTiqjFvQ2p,2019-06-29T02:02:08Z,MOOD.,2019-04-05,188984,57,Social Club Misfits,0wnsM0ziqToBwQeEbH0akL,98433,60,"ccm,christian hip hop,christian trap,miami hip hop,rap cristiano",0.547,0.733,6,-6.284,0,0.329,0.121,0,0.114,0.57,153.973,4
Homicide (feat. Eminem),2MuMD298IpYqKF367wegUd,2019-06-29T02:02:08Z,Confessions of a Dangerous Mind,2019-05-10,245386,79,Logic,4xRYI6VqpkE3UwrDrAZL8L,3795985,91,"conscious hip hop,dmv rap,hip hop,pop rap,rap",0.694,0.759,10,-5.667,0,0.398,0.137,0,0.167,0.77,140.055,4
SouthSide,60AUuYrFbCBnPvDfofMfVF,2019-06-29T02:02:08Z,SouthSide,2019-03-22,252800,63,DJ Snake,540vIaP2JwjQb9dm3aArA4,4984068,87,"dance pop,edm,electronic trap,pop,tropical house",0.571,0.94,1,-3.638,1,0.092,0.0115,0.0128,0.583,0.537,149.924,4
Keepin it movin am & guv demo.mp3,6bZB5IW4W9qFDbnD2kJJou,2019-06-29T02:02:08Z,Keepin it movin am & guv demo.mp3,2019-05-10,139376,63,Andy Mineo,1TMrnxBwZfmfRxsGzkNIHw,355011,70,christian hip hop,0.926,0.661,4,-5.688,0,0.121,0.313,0,0.115,0.561,129.969,4
I JUST WANT YOU,2mxPEDo09qiQCFWFAL6btz,2019-06-29T02:02:08Z,I JUST WANT YOU,2019-05-17,163601,60,TIM PLVNK,1nZvBVvZi86Bjf40oxsYEk,63,49,,0.814,0.922,5,-4.71,0,0.0343,0.19,0.891,0.113,0.551,122.973,4
Riot,647UGNmkDjdhaL6q75dXLb,2019-06-29T02:02:08Z,GEARWORLD VOL. 1,2019-04-19,232000,61,Crankdat,5lCekoJW9jNq01B1wiqdAb,33231,59,"brostep,electro house,electronic trap,pop edm,zapstep",0.517,0.962,2,-1.126,1,0.266,0.0011,0.745,0.622,0.29,150.02,4
Seasons,6C1eKJiAc8dGEgULJ7IMa9,2019-06-29T02:02:08Z,Seasons,2019-04-05,173165,61,Mesa,01X8Clo7G0yTxbEOpUhiW2,1954,56,portuguese rock,0.709,0.62,11,-7.9,0,0.305,0.146,0,0.0922,0.366,155.957,4
Lone Wolf,76I3PmbGZazzNlEwlp1y85,2019-06-29T02:02:08Z,Lone Wolf,2018-11-16,256500,66,Zomboy,0ycHhPwPvoaO4VGzmMnXGq,616637,64,"brostep,edm,electro house,electronic trap,filthstep,glitch,moombahton,zapstep",0.502,0.981,1,-1.569,1,0.0613,0.00169,0.5,0.154,0.213,150.018,4
Isis,36TO60sxDduIsO3xH8IcUh,2019-06-29T02:02:08Z,Isis,2019-05-23,236000,85,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,766321,82,"boston hip hop,hip hop,pop rap,rap",0.918,0.837,1,-6.792,1,0.255,0.234,0,0.227,0.855,120.017,4
