track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
No Chains,2B8OrKU8suMxTx2PcuuSIG,2019-06-22T15:40:00Z,No Chains,2018-04-18,222651,54,KB,77IKXFvO7SpWrq8hflrUXc,199513,65,"ccm,christian hip hop,christian trap",0.6759999999999999,0.815,1,-3.427,1,0.278,0.0152,4.41e-06,0.107,0.591,162.054,4
Killswitch,0xDOvN6aCBGi3EaLD45rse,2019-06-22T15:40:00Z,Killswitch,2019-03-15,223895,48,JP Killed IT,2WNVuBQnFfU2ZFMrEQvaKe,422,38,,0.728,0.493,9,-9.714,0,0.146,0.397,0.0,0.171,0.594,130.053,4
All Around The World (La La La),2xyIwHKujL7tSgkK2Waj2s,2019-06-22T15:40:00Z,All Around The World (La La La),2019-04-05,147840,77,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1664900,85,"big room,dance pop,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.733,0.8590000000000001,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
No Smoke - Benzi & Blush Remix,1K9QXJtypYRMVrfHixmHh3,2019-06-22T15:40:00Z,No Smoke (Benzi & Blush Remix),2018-06-28,185600,36,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,2674397,86,trap music,0.532,0.956,9,-0.902,0,0.591,0.0117,0.0,0.0528,0.613,150.016,4
Dream Big Live Bigger,6d05vkeVeSYIyUQdOoFWLH,2019-06-22T15:40:00Z,Dream Big Live Bigger,2019-01-06,222484,53,Jay Pay$o,5ZKgvJ6HbQqciZuojoH7Lh,53,42,,0.26899999999999996,0.34700000000000003,3,-15.29,0,0.0557,0.799,0.0,0.133,0.324,172.002,4
Untz Untz,5Uj0VnayJKOuP9GmmDPNOx,2019-06-22T15:40:00Z,Untz Untz,2019-05-17,198583,67,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2446866,78,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.6779999999999999,0.9670000000000001,0,-5.296,1,0.08900000000000001,0.00596,0.73,0.0694,0.31,138.019,3
Choppaz - SVDDEN DEATH Remix,40Ac876GkIU0CFljvimDpu,2019-06-22T15:40:00Z,Overdrive Remixes,2019-06-07,153857,43,Space Laces,37PZXblQTqpEWGdjctNcGP,32143,56,"brostep,complextro,edm,electro house,electronic trap,moombahton,zapstep",0.7340000000000001,0.9540000000000001,3,-0.529,1,0.418,0.065,0.0157,0.23399999999999999,0.389,70.023,3
Remember,0ICSJKAcCQ9dhKXrJ1kRnv,2019-06-22T15:40:00Z,II,2019-05-24,174720,44,Magnificence,5zfDGV6C2Xwns1g773GF3N,15432,49,"big room,deep big room,edm,electro house,pop edm,progressive electro house,sky room",0.54,0.9229999999999999,2,-6.287999999999999,1,0.0435,0.0013,0.7829999999999999,0.33899999999999997,0.134,124.993,4
Torque - Gammer Remix,5NfL27a8hse0etIIh7meNt,2019-06-22T15:40:00Z,Overdrive Remixes,2019-06-07,195865,40,Space Laces,37PZXblQTqpEWGdjctNcGP,32143,56,"brostep,complextro,edm,electro house,electronic trap,moombahton,zapstep",0.691,0.945,10,-3.2460000000000004,0,0.0537,0.00162,0.65,0.10300000000000001,0.193,145.043,4
Loco Contigo (with J. Balvin & Tyga),1f38Gx6xQz6r4H1jGVNBJo,2019-06-22T15:40:00Z,Loco Contigo (with J. Balvin & Tyga),2019-06-13,185194,82,DJ Snake,540vIaP2JwjQb9dm3aArA4,4925953,86,"dance pop,edm,electronic trap,pop,tropical house",0.8140000000000001,0.74,1,-3.076,0,0.0637,0.278,1.45e-06,0.102,0.337,96.069,4
