track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Lullaby,0DhkTGjEaIHaSxTfC14BFm,2019-07-01T17:57:34Z,Lullaby,2018-01-26,160183,72,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1683642,85,"big room,dance pop,dutch house,edm,electro house,pop,progressive electro house,tropical house",0.626,0.8,1,-3.988,0,0.035,0.0267,0.000138,0.0623,0.258,127.96600000000001,4
Cigarettes On Patios,44yeuXXaEnaK5Cugptf7GH,2019-07-01T17:57:34Z,Cigarettes On Patios,2019-06-07,207813,60,BabyJake,07Asx51VtMw5kbNXKrpZlq,701,54,,0.754,0.725,7,-5.7829999999999995,1,0.0528,0.319,1.19e-06,0.188,0.597,140.011,4
Tap (feat. Meek Mill),1xkMNjOFNCw3OCI7Gtjpjb,2019-07-01T17:57:34Z,Bad Habits,2019-03-22,148278,41,NAV,7rkW85dBwwrJtlHRDkJDAC,1443175,85,"canadian hip hop,pop,pop rap,rap,southern hip hop,toronto rap,trap music",0.9009999999999999,0.6759999999999999,2,-7.0329999999999995,1,0.251,0.0646,0.0,0.0863,0.452,85.01799999999999,4
No Chains,2B8OrKU8suMxTx2PcuuSIG,2019-07-01T17:57:34Z,No Chains,2018-04-18,222651,58,KB,77IKXFvO7SpWrq8hflrUXc,201678,65,"ccm,christian hip hop,christian trap",0.6759999999999999,0.815,1,-3.427,1,0.278,0.0152,4.41e-06,0.107,0.591,162.054,4
Choppaz - SVDDEN DEATH Remix,40Ac876GkIU0CFljvimDpu,2019-07-01T17:57:34Z,Overdrive Remixes,2019-06-07,153857,49,Space Laces,37PZXblQTqpEWGdjctNcGP,32746,57,"brostep,complextro,edm,electro house,electronic trap,moombahton,zapstep",0.7340000000000001,0.9540000000000001,3,-0.529,1,0.418,0.065,0.0157,0.23399999999999999,0.389,70.023,3
Ruffneck Bass,6LhEQgftPqdUxsTlWA8maj,2019-07-01T17:57:34Z,Ruffneck Bass,2019-06-07,239907,53,Bass Modulators,1Uk4IDpF1OIuTzANugS5JC,42859,60,"hardstyle,rawstyle",0.53,0.99,11,-2.298,1,0.161,0.0104,2.8800000000000002e-05,0.664,0.53,150.144,4
Ring The Alarm,2D5Fi0jgFCo2kWJ84wAxWb,2019-07-01T17:57:34Z,Ring The Alarm,2019-02-15,170494,62,Nicky Romero,5ChF3i92IPZHduM7jN3dpg,1641285,74,"big room,dance pop,deep big room,edm,electro house,pop,pop edm,progressive electro house,progressive house,tropical house",0.568,0.968,7,-3.772,1,0.109,0.0004,0.397,0.0954,0.313,125.99799999999999,4
We Ball,4QUUmoiuVPfRUrYHfnL5B5,2019-07-01T17:57:34Z,We Ball,2019-02-27,200376,65,Ace Hood,31HjiqargV4NAw4GZqUale,1022985,66,"dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,rap,southern hip hop,trap music",0.7609999999999999,0.426,10,-11.968,0,0.33399999999999996,0.0692,0.0,0.133,0.141,155.001,4
Mutate - 2k19 Festival Mix,4AC0cgrfUb3tiwiqnKhnge,2019-07-01T17:57:34Z,Mutate (2k19 Festival Mix),2019-03-08,164999,62,Sidney Samson,3XonXgjEAAXVl0WKLF1Z4g,50192,62,"big room,deep big room,dutch house,edm,electro house,progressive electro house",0.688,0.9840000000000001,1,-3.717,1,0.17600000000000002,9.059999999999999e-05,0.11900000000000001,0.364,0.46,128.012,4
Everyday,1UQTXNXSJNqjqe79wGRlGm,2019-07-01T17:57:34Z,Hands Are Made for Working,2018-05-18,203638,50,Guvna B,3XgNFNKLstByGKqplDht0H,15719,55,"christian hip hop,christian trap,uk christian rap,uk worship",0.831,0.818,5,-6.484,0,0.252,0.24600000000000002,0.000575,0.126,0.612,135.067,4
Dive (feat. RD),4Sz29Rjq1t2jTCJscqrE8i,2019-07-01T17:57:34Z,Reflective (Part 4),2019-04-05,245142,55,Bassnectar,1JPy5PsJtkhftfdr6saN2i,491037,68,"bass trap,breakbeat,brostep,edm,electro house,electronic trap,glitch hop",0.594,0.981,0,-3.142,1,0.0734,0.005520000000000001,0.00101,0.0831,0.316,140.011,4
