track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Taking Flight,1zjvaSKCycMyeNOHn3FYBE,2019-07-24T14:54:42Z,Taking Flight,2017-10-15,180000,48,Tim Schaufert,3PThWtcE0CEi5IUmfgTvrC,6380,49,"chillstep,vapor soul,wave",0.449,0.555,8,-10.735999999999999,0,0.0678,0.188,0.5579999999999999,0.147,0.0535,139.912,4
Noth,4bBaxQtS3RMjMJRRaREdAZ,2019-07-24T14:54:42Z,Noth,2018-03-30,192000,30,Mad Zach,1RxjZjOSbva0JR7T2LsRve,9309,51,experimental electronic,0.318,0.34700000000000003,8,-13.523,0,0.14400000000000002,0.609,0.9,0.10300000000000001,0.0783,169.73,4
Watercolors,22AC6x9rnv84nmW3HkQEPj,2019-07-24T14:54:42Z,Watercolors,2018-02-01,170571,50,Bituke,3VCEbWGFkgN6oLTMvkhl2M,419,42,chill beats,0.56,0.6779999999999999,7,-11.147,0,0.0425,0.0229,0.589,0.124,0.142,140.029,4
wilhelm,1i7R2nENJySeUOTQTBpGlv,2019-07-24T14:54:42Z,Polar (Music from the Netflix Film),2019-01-25,80000,43,deadmau5,2CIMQHirSU0MQqyYHq0eOx,2273432,70,"big room,canadian electronic,edm,electro house,progressive house",0.55,0.359,1,-13.999,1,0.0309,0.262,0.787,0.115,0.0396,120.027,4
The Searchers,3MMVcj7aOjeZIWbvAr5jHc,2019-07-24T14:54:42Z,Next Season,2018-05-04,101652,52,Felix Cartal,6roDXEmZ6AARdOUv6x5U2v,46411,65,"big room,canadian electronic,deep tropical house,edm,electro house,electropop,indie electro-pop,indie poptimism,pop edm,tropical house",0.613,0.321,5,-7.337000000000001,0,0.0265,0.948,0.95,0.361,0.17800000000000002,128.023,4
Tiny Foldable Cities,2SXltUBZedk6WmygiYpwTB,2019-07-24T14:54:42Z,Tiny Foldable Cities,2018-05-11,344734,27,Orbital,3csPCeXsj2wezyvkRFzvmV,167405,54,"alternative dance,big beat,breakbeat,drum and bass,electronic,hardcore techno,intelligent dance music,trip hop",0.688,0.7509999999999999,9,-5.507000000000001,0,0.0392,0.0019100000000000002,0.6829999999999999,0.095,0.33799999999999997,98.00399999999999,4
Eternal,4dxCxG0bJkCuhknPwELcF3,2019-07-24T14:54:42Z,Air,2016-06-10,85341,0,FEYNMAN,5bpKJkKb5h112Fy5eLMbWt,42853,46,,0.301,0.753,3,-9.232000000000001,0,0.0363,0.00863,0.924,0.0965,0.305,80.028,4
Eleven,51ut6Hl3648UeCIuqMHymx,2019-07-24T14:54:42Z,Eleven,2016-12-09,268800,42,Klahr,3OITAuZNhf2Z9DySHJsCKD,5715,49,sky room,0.488,0.9229999999999999,0,-5.007,0,0.0374,0.0021899999999999997,0.326,0.37200000000000005,0.126,75.01100000000001,4
1989 (feat. Ludwig Kölsch),6rrwmDaDa3n7hgQruR3dc1,2019-07-24T14:54:42Z,1989,2017-09-22,59073,46,Kölsch,2D9Oe8R9UhbMvFAsMJpXj0,126592,60,"danish electronic,minimal techno,tech house,tropical house",0.11800000000000001,0.41200000000000003,5,-16.862000000000002,1,0.0511,0.932,0.20600000000000002,0.0924,0.0781,90.57700000000001,4
Moons,4t4uk0wS8mvGwuAsGW9TB8,2019-07-24T14:54:42Z,Moons,2017-03-03,217411,43,Embee,7ga1hewK4zSX6yl16251DF,2166,42,,0.496,0.215,4,-20.598000000000003,1,0.0356,0.8440000000000001,0.943,0.11199999999999999,0.0353,85.052,4
Further,3eROgdA5NjH03NF9RvInML,2019-07-24T14:54:42Z,Further,2017-04-28,307914,47,ATTLAS,0jM4IKp6YlTxq8tNDH9fX3,27699,48,"canadian electronic,progressive house",0.643,0.6709999999999999,10,-10.821,1,0.0374,0.8029999999999999,0.8009999999999999,0.086,0.0693,125.023,4
