track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
The Searchers,3MMVcj7aOjeZIWbvAr5jHc,2019-07-24T14:54:42Z,Next Season,2018-05-04,101652,52,Felix Cartal,6roDXEmZ6AARdOUv6x5U2v,47067,65,"big room,canadian electronic,edm,electro house,electropop,indie poptimism,pop edm,tropical house",0.613,0.321,5,-7.337000000000001,0,0.0265,0.948,0.95,0.361,0.17800000000000002,128.023,4
Approaching Summer,4os6s7sgqVGHZ5AsBqaCl0,2019-07-24T14:54:42Z,Approaching Summer,2019-03-12,147023,44,SPEECHLESS,0RUwm9ukhlW1oXDzXxj3C0,4598,55,"chillhop,lo-fi beats",0.603,0.35600000000000004,6,-11.902999999999999,1,0.45399999999999996,0.794,0.846,0.109,0.46299999999999997,79.819,4
Diamonds,7IhFrpGDnBnCPlVxEgaUDg,2019-07-24T14:54:42Z,Diamonds,2018-12-07,154074,51,Oatmello,0YAkOkbeAPiS35qyouiM4O,7004,60,"chillhop,lo-fi beats",0.727,0.302,4,-12.333,0,0.0619,0.713,0.846,0.0828,0.11199999999999999,81.013,4
Noth,4bBaxQtS3RMjMJRRaREdAZ,2019-07-24T14:54:42Z,Noth,2018-03-30,192000,26,Mad Zach,1RxjZjOSbva0JR7T2LsRve,9512,50,experimental electronic,0.318,0.34700000000000003,8,-13.523,0,0.14400000000000002,0.609,0.9,0.10300000000000001,0.0783,169.73,4
Weird Summer,2KmGCjvla5f5wjUAoVRwJ1,2019-07-24T14:54:42Z,Irene,2018-08-10,42000,44,Medasin,62vbsDRAq0qHdezaCOzB0T,54423,66,vapor twitch,0.39799999999999996,0.511,8,-16.701,1,0.0743,0.971,0.902,0.19,0.10099999999999999,77.008,4
ACE OF CUPS,1upAhgDBWCV0AvUxgAU6SR,2019-07-24T14:54:42Z,RENEGADES OF LIGHT,2019-04-12,179349,49,LSDREAM,3Hrqjumb6WHg2aAUHJHLND,16124,51,"brostep,edm,electro house,electronic trap,vapor twitch",0.389,0.408,6,-12.158,1,0.0538,0.826,0.0986,0.38299999999999995,0.0399,74.183,4
Haul (Max Cooper Remix),6WXXOjaynxjyiyXwD6Wh2g,2019-07-24T14:54:42Z,Mare Reworks,2017-09-08,435262,5,Christian Löffler,3tSvlEzeDnVbQJBTkIA6nO,102022,61,"deep melodic euro house,hamburg electronic,microhouse,minimal techno,organic electronic",0.483,0.5920000000000001,11,-13.148,0,0.0323,0.5670000000000001,0.927,0.0915,0.0376,118.016,4
14,0g2E4GVRbs4XHy96dLiv9V,2019-07-24T14:54:42Z,1989,2017-09-22,299281,47,Kölsch,2D9Oe8R9UhbMvFAsMJpXj0,129869,60,"danish electronic,minimal techno,tech house,tropical house",0.7070000000000001,0.35100000000000003,0,-15.53,1,0.0322,0.41,0.8809999999999999,0.1,0.40299999999999997,120.01,4
Found Footage,6PNP5wFnQQl2nlMfBMaxCt,2019-07-24T14:54:42Z,Found Footage,2017-11-02,56946,47,Take/Five,4MD0pIPxvGvPdohFuEkCua,26598,54,"bass trap,traprun",0.457,0.612,2,-15.705,1,0.226,0.903,0.907,0.366,0.0357,87.86399999999999,4
Train Rides,4s07g5Al7Hb26QBTKFG5zZ,2019-07-24T14:54:42Z,Hoarder's Paradise,2019-06-14,192882,39,Pierce Fulton,5p0zkKpBuRguKebwRe0RI2,34169,58,"big room,complextro,edm,electro house,pop edm,progressive electro house,progressive house",0.5,0.626,5,-9.39,0,0.0353,0.0235,0.943,0.20199999999999999,0.298,139.6,4
Rest in Peace,1qxdgsiWSmO6l4Ds1EZBj9,2019-07-24T14:54:42Z,VHS,2018-02-21,211525,46,Super Duper,5zFMLXUnqxwdgTpLCX9LDj,6305,52,vapor soul,0.496,0.618,7,-6.896,1,0.0379,0.00288,0.0267,0.363,0.158,117.99700000000001,4
Aquatic Ambience,3zF1RvARE71MBXeWETPoEk,2019-07-24T14:54:42Z,Aquatic Ambience,2019-01-15,194000,46,Funk Fiction,12Rrb0zhWhcbaXJhVtrmXz,1970,41,,0.654,0.47700000000000004,0,-8.648,0,0.0281,0.23199999999999998,0.9,0.5870000000000001,0.36,150.034,4
Superbloom,4ztHQlDj5rCNWiSg3DAYWG,2019-07-24T14:54:42Z,Superbloom,2018-04-17,175609,47,HOUNDTRACK,3nw1z931Oc4JMbF4rGfz6O,659,39,,0.764,0.636,5,-9.304,0,0.14,0.10099999999999999,0.377,0.179,0.494,82.007,4
Topaz,397FlWenFDWA1G6DdFmhdq,2019-07-24T14:54:42Z,Diamonds,2018-12-07,112207,47,Oatmello,0YAkOkbeAPiS35qyouiM4O,7004,60,"chillhop,lo-fi beats",0.722,0.31,4,-13.919,0,0.0535,0.43799999999999994,0.524,0.141,0.359,154.014,4
