track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2019-05-24T07:28:38Z,Narrated For You,2018-11-16,169353,90,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,545187,82,pop,0.652,0.557,1,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,4
Be Alright,3EPXxR3ImUwfayaurPi3cm,2019-05-24T07:28:38Z,Be Alright,2018-06-29,196373,87,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,504359,83,"australian pop,pop",0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,4
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2019-05-24T07:28:38Z,lovely (with Khalid),2018-04-19,200185,90,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,7940319,100,"electropop,pop",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
Hold On,4mKYqRVmYP4tKZGitN2iWh,2019-05-24T07:28:38Z,Hold On,2017-02-03,198853,10,Chord Overstreet,5D3muNJhYYunbRkh3FKgX0,13873,64,"acoustic pop,contemporary country,indie cafe pop",0.608,0.448,2,-9.572,1,0.0513,0.484,0,0.0804,0.154,120.084,4
Complicated,0jllH0usRFD4LJkJnGK9Lf,2019-05-24T07:28:38Z,Complicated,2015-08-09,189000,75,Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,603220,79,"dance pop,electropop,pop,post-teen pop,r&b",0.657,0.355,7,-12.044,1,0.0714,0.694,0.000427,0.123,0.0808,74.99,4
I Can't Fall in Love Without You,4VPXFi4vFTtS9wHe6oMQaT,2019-05-24T07:28:38Z,So Good,2017-03-17,180640,75,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5090308,84,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.485,0.332,4,-9.244,1,0.0338,0.784,0.000122,0.146,0.273,130.813,4
Sorry,2DyCLtTrd9f2DRRDq1ngJx,2019-05-24T07:28:38Z,hopeless fountain kingdom (Deluxe),2017-06-02,220540,15,Halsey,26VFTg2z8YR0cCuwLzESi2,6240793,92,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop",0.447,0.257,5,-9.172,0,0.0394,0.912,0,0.117,0.32,136.87,1
Naked,7krbSH3rd8lhIZvuzTV3Bl,2019-05-24T07:28:38Z,Naked,2017-11-24,234106,79,James Arthur,4IWBUUAFIplrNtaOHcJPRM,3968160,85,"dance pop,pop,post-teen pop,talent show",0.529,0.607,6,-6.781,1,0.0574,0.104,0,0.0631,0.238,101.966,4
Little Do You Know,1almCHdsfikRPfVB9VrEdT,2019-05-24T07:28:38Z,It's About Us,2014-10-06,185200,78,Alex & Sierra,58MLl9nC29IXbE4nEtuoP2,694386,70,"australian pop,dance pop,indie cafe pop,neo mellow,pop,post-teen pop,viral pop",0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,4
when the party's over,14JzyD6FlBD5z0wV5P07YI,2019-05-24T07:28:38Z,when the party's over,2018-10-17,199931,72,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,7940319,100,"electropop,pop",0.498,0.104,1,-14.08,0,0.0621,0.979,7.86e-05,0.0895,0.205,124.001,3
Already Gone,7fkXzzIVo98CgjOkpd9H0V,2019-05-24T07:28:38Z,Already Gone,2015-10-06,240790,68,Sleeping At Last,0MeLMJJcouYXCymQSHPn8g,648516,74,"acoustic pop,ambient worship,dreamo,folk-pop,indie cafe pop,pop",0.447,0.206,3,-11.75,1,0.0519,0.956,4.56e-06,0.107,0.327,66.734,4
You & Me,5g45gvxgaYVuhkDACPnvfh,2019-05-24T07:28:38Z,You & Me,2019-01-18,231653,75,James TW,0B3N0ZINFWvizfa8bKiz4v,307008,78,"australian pop,dance pop,indie cafe pop,neo mellow,pop,post-teen pop,uk pop,viral pop",0.714,0.683,11,-6.333,1,0.0443,0.196,7.73e-06,0.102,0.824,127.021,4
River Of Tears,5NRl32BO29q8xtWFvOlHZE,2019-05-24T07:28:38Z,Know-It-All (Deluxe),2015-11-13,254506,64,Alessia Cara,2wUjUUtkb5lvLKcGKsKqsR,5294902,84,"canadian contemporary r&b,dance pop,pop,post-teen pop,r&b",0.388,0.372,6,-5.72,1,0.0468,0.928,0,0.146,0.285,89.701,4
Too Good At Goodbyes - Edit,0mel2N9Ws9r4yLQn5QE21Y,2019-05-24T07:28:38Z,Too Good At Goodbyes,2017-09-08,201000,25,Sam Smith,2wY79sveU1sp5g7SokKOiI,8520035,90,"pop,post-teen pop",0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,4
Superficial Love,5hwh37sTi84MVhCBMWzhGE,2019-05-24T07:28:38Z,The Intro,2015-11-27,207973,70,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,686069,72,"dance pop,indie cafe pop,pop,post-teen pop,viral pop",0.477,0.242,8,-9.162,1,0.0529,0.928,0,0.0818,0.488,43.509,4
Why,1TioiVNFGeiMC6SiQceHPO,2019-05-24T07:28:38Z,Why,2018-01-26,151358,5,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,1515207,86,"dance pop,pop,post-teen pop",0.677,0.669,5,-6.756,0,0.038,0.37,0,0.108,0.502,112.936,4
Jealous,4L2K7JKseFCBoHMZEAszW0,2019-05-24T07:28:38Z,Jealous,2014-11-21,287693,78,Labrinth,2feDdbD5araYcm6JhFHHw7,828669,83,"dance pop,pop,pop rap,r&b",0.435,0.155,1,-8.948,1,0.046,0.873,0,0.107,0.0935,128.532,3
Waves,64xJ1MMFxxK6osZxJH857T,2019-05-24T07:28:38Z,Waves,2016-09-30,241292,18,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,504359,83,"australian pop,pop",0.518,0.776,11,-5.791,0,0.0444,0.163,0,0.0884,0.387,156.894,4
When You Love Someone,5fX2oPyLCe5mBKqGDbOWqC,2019-05-24T07:28:38Z,First Impressions,2016-04-15,216373,27,James TW,0B3N0ZINFWvizfa8bKiz4v,307008,78,"australian pop,dance pop,indie cafe pop,neo mellow,pop,post-teen pop,uk pop,viral pop",0.68,0.446,7,-6.039,1,0.0281,0.256,0,0.0515,0.339,125.863,4
Say You Won't Let Go,1Pw5C4N6Fn5E4mGCxmbbVa,2019-05-24T07:28:38Z,Say You Won't Let Go,2016-09-09,211240,77,James Arthur,4IWBUUAFIplrNtaOHcJPRM,3968160,85,"dance pop,pop,post-teen pop,talent show",0.4,0.564,10,-7.444,1,0.0523,0.693,0,0.0863,0.483,99.269,4
Too Much To Ask,3hRZsdTF5uyGA2uhNqEuhm,2019-05-24T07:28:38Z,Too Much To Ask,2017-09-14,223043,19,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,3681132,78,"australian pop,dance pop,neo mellow,pop,post-teen pop",0.517,0.552,0,-6.401,1,0.039,0.375,0,0.106,0.196,153.747,4
You Said You'd Grow Old With Me,41WTP0gosjYD74B06uS2tL,2019-05-24T07:28:38Z,Wide Awake,2012-09-28,224743,69,Michael Schulte,21aa4pj9BvbFB2iT8kRpnq,80493,67,"german pop,indie cafe pop,viral pop",0.531,0.347,0,-7.044,1,0.0345,0.905,0,0.0935,0.289,114.441,4
Don't Let Me Down,4ks6j7JsfJorc1tb4THJo8,2019-05-24T07:28:38Z,Covers,2016-08-05,164129,67,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,1526480,77,"australian pop,dance pop,pop,post-teen pop,viral pop",0.446,0.37,9,-8.447,1,0.0464,0.913,0,0.126,0.209,108.58,3
7 Minutes,2BkyYZmU4JuWW2sYi9EzpC,2019-05-24T07:28:38Z,7 Minutes,2019-01-18,211453,78,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,504359,83,"australian pop,pop",0.613,0.739,10,-6.478,1,0.0311,0.526,0,0.149,0.712,104.966,4
