track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Love,7lD4Mx0S5pN19PqKylL7L4,2019-07-11T22:01:00Z,The Wild Youth EP,2011-11-21,343887,41,Daughter,46CitWgnWrvF9t70C2p1Me,926813,69,"chamber pop,indie folk,pop,shimmer pop",0.561,0.446,4,-13.298,1,0.0357,0.335,0.6990000000000001,0.0922,0.157,133.928,4
Over You,2k1aHvxFMLxOFnYUu9lopJ,2019-07-11T22:01:00Z,Over You,2019-07-05,194760,46,Lily Moore,1SQeTDXO492WB6aFvrntSS,7293,50,"indie anthem-folk,uk contemporary r&b,uk pop",0.619,0.5720000000000001,5,-5.712000000000001,1,0.0287,0.0352,0.0,0.172,0.249,83.97399999999999,4
"When Ginny Kissed Harry (""Harry Potter & The Half-Blood Prince"")",6sK6Q7OquDV86Fk1ezAyN5,2019-07-11T22:01:00Z,Harry Potter And The Half-Blood Prince - Original Soundtrack,2009-01-01,158186,1,Nicholas Hooper,6S9bLkEZSVIcY18RNcNG50,26683,60,"british soundtrack,scorecore,soundtrack",0.384,0.063,4,-28.19,0,0.0413,0.98,0.9620000000000001,0.0463,0.0797,167.979,3
The Fault in Our Stars,6LteLVcW0oWLjuW6nePyWb,2019-07-11T22:01:00Z,The Fault in Our Stars,2013-05-05,187194,62,Troye Sivan,3WGpXCj9YhhfX11TToZcXP,3581253,85,"dance pop,pop,post-teen pop,r&b,viral pop",0.48100000000000004,0.179,3,-21.424,1,0.109,0.613,2.84e-05,0.145,0.405,74.85,4
In Vain,7sKhiUAsdwtcTcJggB1q2Y,2019-07-11T22:01:00Z,Sucker Punch,2019-03-08,247962,55,Sigrid,4TrraAsitQKl821DQY42cZ,366088,74,"dance pop,electropop,norwegian pop,pop,tropical house",0.624,0.365,7,-7.78,1,0.0395,0.369,0.0,0.35700000000000004,0.359,76.764,4
Take My Heart,57l9l0BtYWoFCDyZE1ug6Z,2019-07-11T22:01:00Z,Beautiful Lies,2016-03-25,251960,55,Birdy,2WX2uTcsvV5OnS0inACecP,2793540,76,"dance pop,neo mellow,pop",0.5579999999999999,0.48700000000000004,0,-7.593999999999999,0,0.0338,0.528,0.0,0.0867,0.152,119.85600000000001,4
hope is a dangerous thing for a woman like me to have - but I have it,1PfUKiMDKIlPEF9FfdJawc,2019-07-11T22:01:00Z,hope is a dangerous thing for a woman like me to have - but i have it,2019-01-09,324302,69,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,8480988,86,"dance pop,pop",0.49200000000000005,0.14400000000000002,7,-10.125,1,0.0708,0.965,1.84e-06,0.161,0.27399999999999997,164.83900000000003,3
Apologize,24nRdDUUIdM2mv1YdwMdu6,2019-07-11T22:01:00Z,Dreaming Out Loud (International Version),2007-01-01,184826,14,Timbaland,5Y5TRrQiqgUO4S36tzjIRZ,1392913,77,"dance pop,hip hop,hip pop,pop,pop rap,r&b,rap,urban contemporary",0.657,0.588,8,-6.005,1,0.0272,0.0252,0.0,0.087,0.105,118.022,4
Run,3BKPKBFDrEXHdHDuIQQeTK,2019-07-11T22:01:00Z,Endless Optimism,2014-09-03,221920,42,Elsa & Emilie,4HDNQLqhooVfWXtIRMyqMY,10681,44,"norwegian indie,norwegian pop",0.465,0.511,7,-7.305,0,0.0296,0.34600000000000003,0.0187,0.138,0.11699999999999999,141.98,4
Half Light,1iZn69GnmLDNkvWiw6W4Jd,2019-07-11T22:01:00Z,Half Light,2016-05-27,185946,5,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,160453,68,"indie anthem-folk,indie cafe pop,indie poptimism,indiecoustica,modern rock,pop",0.534,0.37799999999999995,10,-7.442,1,0.028999999999999998,0.802,0.0,0.12300000000000001,0.376,151.66,4
