track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Half A Man,6WU74yOM3Evu2hoyy2g5g5,2019-08-02T08:26:08Z,A Place We Knew,2019-03-22,179120,37,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,637700,80,"australian pop,pop",0.507,0.204,0,-11.575,1,0.0504,0.855,0.0,0.14300000000000002,0.34299999999999997,77.765,4
"Not Today - From ""Me Before You"" Soundtrack",3EJPT32ZJdZkml81KqHrO5,2019-08-02T08:26:08Z,"Not Today (From ""Me Before You"" Soundtrack)",2016-04-28,261399,2,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,20770607,91,"modern rock,rock",0.451,0.40399999999999997,0,-7.313,1,0.0283,0.568,0.0,0.165,0.0498,122.66799999999999,4
Lost Boy,4h0zU3O9R5xzuTmNO7dNDU,2019-08-02T08:26:08Z,Lost Boy,2015-08-21,275280,73,Ruth B.,2WzaAvm2bBCf4pEhyuDgCY,713852,71,"dance pop,indie cafe pop,pop,post-teen pop,viral pop",0.71,0.0565,7,-15.099,1,0.0534,0.965,0.0,0.0889,0.348,123.994,4
Be My Mistake,18UsAG7SfOQ5sxJEdjAMH0,2019-08-02T08:26:08Z,A Brief Inquiry Into Online Relationships,2018-11-30,256688,64,The 1975,3mIj9lX2MWuHmhNCA7LSCW,3323187,81,"modern alternative rock,nu gaze,pop,shiver pop",0.563,0.159,6,-14.415,1,0.0361,0.845,0.00016999999999999999,0.0938,0.10099999999999999,109.97,3
Nitesky feat. John LaMonica,0Ccc5YD2p42a0VWmNLY8Pk,2019-08-02T08:26:08Z,The Other Side,2011-10-07,282453,44,Robot Koch,47V6nyjOrUR98qv6gkYssI,30910,51,wonky,0.465,0.44799999999999995,2,-13.949000000000002,1,0.0447,0.667,0.912,0.10800000000000001,0.0735,147.97299999999998,4
Love,7lD4Mx0S5pN19PqKylL7L4,2019-08-02T08:26:08Z,The Wild Youth EP,2011-11-21,343887,40,Daughter,46CitWgnWrvF9t70C2p1Me,934990,67,"chamber pop,indie folk,pop,shimmer pop",0.561,0.446,4,-13.298,1,0.0357,0.335,0.6990000000000001,0.0922,0.157,133.928,4
Another Love - Zwette Edit,5snyhxAh55A2wlNRH7VVZJ,2019-08-02T08:26:08Z,Another Love (Zwette Edit),2013-09-27,394573,64,Tom Odell,2txHhyCwHjUEpJjWrEyqyX,1274165,71,"indie folk,neo mellow,pop",0.87,0.5539999999999999,4,-5.827999999999999,0,0.0635,0.0802,0.0739,0.115,0.462,123.99799999999999,4
You Found Me,4IoYz8XqqdowINzfRrFnhi,2019-08-02T08:26:08Z,The Fray,2009-01-30,241853,71,The Fray,0zOcE3mg9nS6l3yxt1Y0bK,2553028,74,"modern rock,neo mellow,piano rock,pop,pop rock",0.33799999999999997,0.8029999999999999,8,-5.412000000000001,0,0.0413,0.0187,0.0,0.136,0.4,151.994,4
Come Back for Me - EP Version,0cOrNgkbsWJYmxzf7T9nUd,2019-08-02T08:26:08Z,Habits Of My Heart EP,2014-09-28,268735,47,Jaymes Young,6QrQ7OrISRYIfS5mtacaw2,430279,68,"indie cafe pop,indie poptimism,indietronica,modern rock,pop",0.359,0.379,7,-9.181000000000001,1,0.0327,0.392,0.00205,0.331,0.145,113.925,3
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d,2019-08-02T08:26:08Z,Narrated For You,2018-11-16,169353,85,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,730971,81,pop,0.652,0.557,1,-5.7139999999999995,0,0.0318,0.74,0.0,0.124,0.483,150.07299999999998,4
