track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Abrázame Muy Fuerte,2nejvFyJeTDtMRP2nUMt0J,2019-07-29T17:35:22Z,Abrázame Muy Fuerte,1990-01-01,239426,67,Juan Gabriel,2MRBDr0crHWE5JwPceFncq,3420747,76,"latin,latin pop",0.515,0.387,4,-7.343,0,0.0567,0.689,0,0.126,0.312,135.739,4
Cuando Me Enamoro (Quando Mi Inamoro),6M434BRDlwvENeRupIFwif,2019-07-29T17:35:22Z,Ellas Cantan Asi,1999-04-05,181306,21,Angelica Maria,4mQmpDH2FfT9FjSnAJV3U1,38640,46,mexican rock-and-roll,0.459,0.292,0,-14.425,1,0.0317,0.842,0,0.242,0.558,117.167,4
Acaríciame,6MVNYTim9yCQMQgnpx517N,2019-07-29T17:35:22Z,La Más Completa Colección,2005-01-01,253173,37,Maria Conchita Alonso,6LgCpm1Br63qTr0l9WagKQ,140856,49,"grupera,latin,latin pop,pop romantico",0.68,0.486,1,-6.856,0,0.0321,0.649,0.00336,0.11,0.523,138.442,4
Volveré,0ccJhHqaQM1SzA7xVA4Mqi,2019-07-29T17:35:22Z,Diego Verdaguer En Los 70's,2009-11-09,242253,26,Diego Verdaguer,2UFqwY8A3PLcx8pAkg9g5P,345072,62,"bolero,grupera,latin,latin pop,ranchera,regional mexican",0.5,0.418,7,-11.237,1,0.0324,0.872,1.66e-05,0.232,0.459,120.078,4
Y te vas,0AlxkpxyHszvNIuHxBHuDK,2019-07-29T17:35:22Z,Para vosotros canto,1975,279506,42,José Luis Perales,5RwfJb8wxN1fuodcPORVxP,664803,65,"latin,latin pop",0.483,0.421,6,-7.08,0,0.0266,0.511,0,0.12,0.456,97.412,4
Estaba escrito (Mambo moruno) - Remastered 2015,6aAgMvYI20KMsge17suey0,2019-07-29T17:35:22Z,Glamour (Remastered 2015),1997,122280,28,Monna Bell,2aJtGPY592hgmkGzD9oleC,3398,35,bolero,0.51,0.616,7,-5.572,0,0.0309,0.813,0,0.0634,0.656,87.34,4
Echame A Mi La Culpa,01LHmbTALqwnoGWT3gZPYH,2019-07-29T17:35:22Z,My Spanish Album,1994-09-08,177800,46,Albert Hammond,34E3csCxpXunPGEkOVVX2g,49238,56,"bubblegum pop,classic uk pop,nederpop,soft rock",0.623,0.505,0,-12.736,1,0.0294,0.308,0,0.261,0.817,110.983,4
Rueda Mi Mente - Primera Fila,0dtZIDddiJEp30WBKK1rRX,2019-07-29T17:35:22Z,Primera Fila Sasha Benny Erik,2012-11-06,243266,36,"Sasha, Benny y Erik",03FiyT61gVIy08oxFm6xZC,232234,56,latin pop,0.586,0.404,9,-11.399,0,0.0324,0.618,0,0.947,0.399,132.867,4
María Bonita,6DRR66qe90hVC2KtYqHOjq,2019-07-29T17:35:22Z,Las Estrellas Del Fonografo RCA Victor,1968,201413,1,Agustín Lara,3ihXVyWYDuTBVpEDrr1Lop,97077,50,"bolero,ranchera",0.322,0.326,9,-12.433,1,0.0521,0.829,1.09e-06,0.198,0.49,188.734,4
De Tanto Soñar,5sLUZvkBt2Q3cDV6Ybh37K,2019-07-29T17:35:22Z,Coco Loco,1984-07-13,213106,3,Diego Verdaguer,2UFqwY8A3PLcx8pAkg9g5P,345072,62,"bolero,grupera,latin,latin pop,ranchera,regional mexican",0.701,0.487,7,-14.379,1,0.0457,0.534,0.0112,0.0757,0.811,127.749,4
Siempreviva,4XZWfV5aMVjuKTxyr5q8Zr,2019-07-29T17:35:22Z,Carmela Y Rafael,1998-02-02,178364,33,Carmela Y Rafael,7AHbEJzagdhCQ1QcLu0dJx,7195,32,"bolero,mexican rock-and-roll,ranchera",0.527,0.251,11,-11.265,0,0.0301,0.871,0,0.138,0.488,99.881,4
Me Dediqué a Perderte,1HpIBHs03kKCxlrPthWXmL,2019-07-29T17:35:22Z,Alejandro Fernandez 15 Años De Exitos,2003-05-09,232893,7,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,2336037,78,"latin,latin arena pop,latin pop,mexican pop,ranchera,tropical",0.647,0.451,8,-9.075,1,0.0748,0.487,2.45e-06,0.105,0.48,147.847,4
Vive,5e4TreyakmdimOHgtg177M,2019-07-29T17:35:22Z,Singles,2016-10-14,187093,55,José Maria Napoleón,72v53CufRiSyqcQ78KUQ5p,406260,62,"bolero,grupera,latin,latin pop,ranchera",0.398,0.699,2,-6.801,1,0.0459,0.168,0,0.286,0.803,154.794,4
25 Rosas,3w08iUjYVTFdpaUKDdek0U,2019-07-29T17:35:22Z,15 Grandes Exitos - Joan Sebastian,1998-10-23,180511,55,Joan Sebastian,7FsRH5bw8iWpSbMX1G7xf1,2738622,76,"banda,grupera,norteno,regional mexican",0.801,0.566,9,-7.968,1,0.0321,0.0995,3.52e-06,0.0385,0.874,92.119,4
Déjame llorar,3Bknh2l0uHRTpgTh4iRP96,2019-07-29T17:35:22Z,Las #1 De Ricardo Montaner,2006-04-04,312333,47,Ricardo Montaner,4uoz4FUMvpeyGClFTTDBsD,1877368,73,"latin,latin pop,tropical",0.388,0.331,0,-9.561,1,0.0305,0.731,4.19e-06,0.249,0.0996,95.004,4
Palabra De Honor,4TQ90ljASOU0gnF8T3QKIb,2019-07-29T17:35:22Z,La Miel De Mis Primeros Éxitos,2010-09-14,218951,59,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,3716084,83,"bolero,latin,latin pop",0.486,0.663,7,-6.28,1,0.0346,0.443,0,0.0984,0.332,79.901,4
Querida (En Vivo) - En el Palacio de Bellas Artes,5qxfr8OdO79j2bSvHPUCL5,2019-07-29T17:35:22Z,La Historia Del Divo,2006,327333,50,Juan Gabriel,2MRBDr0crHWE5JwPceFncq,3420747,76,"latin,latin pop",0.52,0.499,2,-7.052,1,0.0247,0.463,0,0.104,0.423,87.804,4
Muchachita,3PyTaC8BN0de4KfYaQDtBs,2019-07-29T17:35:22Z,Coleccion Original,1998-06-30,209160,51,Miguel Gallardo,5imd6MnP4WpDohSwFnO38T,222259,52,"bolero,pop romantico",0.655,0.576,0,-8.733,1,0.0316,0.377,0.000106,0.17,0.765,79.81,4
Media Vuelta,395qExaO8W6QfupcA7izD0,2019-07-29T17:35:22Z,10 Exitos De Oro,1958,131160,0,Javier Solís,7jerD1mbWgyDukHAmCvdCj,550538,63,"bolero,grupera,mariachi,ranchera",0.504,0.315,4,-9.997,1,0.0354,0.905,0,0.229,0.665,102.516,4
Se Te Olvida,1HPTc9urSDfdHngsVZhghF,2019-07-29T17:35:22Z,De la Tierra,2002,151600,26,Manoella Torres,4JRKcLbpjobmoOVoOXPd6y,52613,47,"bolero,mexican rock-and-roll,pop romantico,ranchera",0.646,0.582,0,-6.682,0,0.027,0.73,1.31e-05,0.0795,0.578,100.134,4
Nada Personal,505smQfnTvfmZZW8yrT47h,2019-07-29T17:35:22Z,Canciones Que Enamoran (Version USA),2010-01-01,187653,3,Armando Manzanero,5lODCkFdEtpPn3YxfmyLfT,244907,59,"bolero,latin,latin pop,nueva cancion,ranchera,velha guarda",0.487,0.408,8,-9.655,1,0.0436,0.843,0,0.105,0.351,78.826,4
