track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Te Voy a Enseñar a Querer,1611GmlolwbEqZgoi3nqvN,2019-04-03T15:46:02Z,La Gran Colección del 60 Aniversario CBS - Manoella Torres,2007-03-21,196200,46,Manoella Torres,4JRKcLbpjobmoOVoOXPd6y,49717,48,"bolero,mexican rock-and-roll,pop romantico,ranchera",0.382,0.395,9,-10.64,1,0.033,0.665,1.03e-06,0.644,0.767,147.013,4
Acaríciame,6MVNYTim9yCQMQgnpx517N,2019-04-03T15:46:02Z,La Más Completa Colección,2005-01-01,253173,40,Maria Conchita Alonso,6LgCpm1Br63qTr0l9WagKQ,130464,51,"grupera,latin,latin pop,pop romantico",0.68,0.486,1,-6.856,0,0.0321,0.649,0.00336,0.11,0.523,138.442,4
Otro Ocupa Mi Lugar,2i7oFlgafYTgri8LvGueYt,2019-04-03T15:46:02Z,Mi Vida. Historia Musical De Un Romántico,2006-03-06,210546,51,Miguel Gallardo,5imd6MnP4WpDohSwFnO38T,209638,52,"bolero,pop romantico",0.523,0.452,9,-9.371,0,0.0284,0.721,0.0,0.461,0.58,76.95,4
Amante a la Antigua,5C7wTCd20Ftl6bbW70qOA4,2019-04-03T15:46:02Z,Pra Sempre Em Espanhol - Vol. 1,2007,194906,51,Roberto Carlos,7fAKtXSdNInWAIf0jVUz65,1108179,69,"jovem guarda,mpb",0.606,0.433,5,-8.566,1,0.0279,0.374,0.0,0.141,0.838,90.791,4
Lluvia,2zYa7zc0g0AbMUjEzYiI2r,2019-04-03T15:46:02Z,Yo Mismo,2009-01-01,239733,43,Luis Angel,3aqaaRdFCbVBCZnexkE0sC,12451,42,pop romantico,0.652,0.319,0,-15.462,1,0.0363,0.387,1.02e-06,0.0827,0.292,122.84,4
Hoy tengo ganas de ti,17oji5hYaIqOFWFnPPWCeJ,2019-04-03T15:46:02Z,2 (Remasterizado 2017),1976-05-12,245560,50,Miguel Gallardo,5imd6MnP4WpDohSwFnO38T,209638,52,"bolero,pop romantico",0.396,0.36200000000000004,6,-11.609000000000002,0,0.0481,0.8059999999999999,0.0633,0.249,0.231,130.799,4
Hagamos Un Trato,5qAzijlq9fWJZaKY9eB5v6,2019-04-03T15:46:02Z,El Sonido Vol I,2009-05-22,169533,23,Amanda Miguel,3v8mFhjLFa50QK8zDvAMYN,517161,62,"bolero,grupera,latin,latin pop,ranchera",0.612,0.292,5,-15.074000000000002,1,0.0273,0.575,0.0,0.0977,0.608,106.492,3
Qué pasará mañana,3FKT5l1ht6DXlTqTWJDm6F,2019-04-03T15:46:02Z,15 De Coleccion,1975,211000,54,José Luis Perales,5RwfJb8wxN1fuodcPORVxP,612711,65,"latin,latin pop",0.608,0.522,2,-13.044,0,0.0332,0.35,0.0,0.294,0.82,130.855,4
Piel de Angel,20PRqcym0a7bvokISwu3d6,2019-04-03T15:46:02Z,Amor Libre,1975,210906,54,Camilo Sesto,2Cy7KBSkqu7otJfuMTWT7Y,889411,66,"bolero,latin,latin pop",0.425,0.363,11,-9.036,1,0.0381,0.701,0.0,0.23399999999999999,0.395,74.579,4
Quererte A Ti,5zAsPH4Ji2oNSncFGGMSQA,2019-04-03T15:46:02Z,Ellas Cantan Asi,2003-05-27,276533,46,Angela Carrasco,1MtgoOhWrRaiNm4d3y3W3W,52812,49,pop romantico,0.33799999999999997,0.242,9,-15.993,1,0.0401,0.7440000000000001,0.0,0.084,0.256,169.365,4
