track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Un Buen Perdedor,0T7JubkdjBXNDVadRIq2ck,2019-07-29T17:35:22Z,Franco de Vita,1990-11-01,240226,50,Franco De Vita,4NEYQeEYBUjfaXgDQGvFvu,1863182,72,"latin,latin arena pop,latin pop,rock en espanol,tropical",0.43799999999999994,0.442,0,-12.690999999999999,1,0.0419,0.446,0.0,0.544,0.161,125.62,4
Me llamas,1Dlh7BkGvWBzWi8UxUP6EO,2019-07-29T17:35:22Z,15 De Coleccion,1975,276720,57,José Luis Perales,5RwfJb8wxN1fuodcPORVxP,676355,65,"bolero,latin,latin pop",0.706,0.805,2,-5.218999999999999,1,0.0274,0.0783,0.000557,0.312,0.812,125.079,4
Déjame llorar,3Bknh2l0uHRTpgTh4iRP96,2019-07-29T17:35:22Z,Las #1 De Ricardo Montaner,2006-04-04,312333,48,Ricardo Montaner,4uoz4FUMvpeyGClFTTDBsD,1918586,74,"latin,latin pop,tropical",0.38799999999999996,0.331,0,-9.561,1,0.0305,0.731,4.19e-06,0.249,0.0996,95.00399999999999,4
Un Siglo Sin Ti,5W27OARWufZysqdSn6Dr2z,2019-07-29T17:35:22Z,De Piel A Piel,2004-09-08,281026,1,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,2962262,74,"latin,latin pop,tropical",0.611,0.674,7,-6.143,0,0.0279,0.0961,0.0,0.129,0.261,133.906,4
Tu Cárcel,6BLcw3JqEqxhwmCiZYShXy,2019-07-29T17:35:22Z,Íconos 25 Éxitos,2012-01-01,211653,1,Los Bukis,16kOCiqZ1auY4sokSeZuKf,940132,72,"banda,cumbia,grupera,norteno,ranchera,regional mexican",0.813,0.746,7,-8.829,1,0.0255,0.27699999999999997,0.0,0.057999999999999996,0.8859999999999999,100.054,4
Eso Y Mas,2KWQgEXc3ZzX6npPgIEqSB,2019-07-29T17:35:22Z,Mas Alla Del Sol,2006-04-24,159172,62,Joan Sebastian,7FsRH5bw8iWpSbMX1G7xf1,2789754,77,"banda,grupera,norteno,regional mexican",0.585,0.132,9,-12.731,1,0.0751,0.937,0.0,0.106,0.45399999999999996,151.968,4
MI Buen Corazon,2trfrMdYOd99Qil1wxXptn,2019-07-29T17:35:22Z,El Sonido Vol I,2009-05-22,259079,5,Amanda Miguel,3v8mFhjLFa50QK8zDvAMYN,562277,62,"bolero,grupera,latin,latin pop,ranchera",0.45899999999999996,0.327,0,-10.485,1,0.0297,0.586,0.0,0.196,0.18100000000000002,109.631,4
Morir de Amor,2gnqQL64mbsTnrxYXjjCsK,2019-07-29T17:35:22Z,Esencial Miguel Bose,2013-06-18,248800,43,Miguel Bosé,7mWCSSOYqm4E9mB7V4ot6S,1006120,72,"latin,latin pop,mexican pop,rock en espanol,spanish pop",0.629,0.6829999999999999,5,-6.337000000000001,0,0.0273,0.0164,5.45e-05,0.325,0.937,132.903,4
Hoy Lo Vi Pasar,25Yqb90lohxLyuoaQTaUU1,2019-07-29T17:35:22Z,Serie 2000,2000-05-02,201893,1,Rocío Dúrcal,2uyweLa0mvPZH6eRzDddeB,1155914,70,"grupera,latin,latin pop,ranchera",0.815,0.483,7,-7.407,1,0.038,0.503,1.22e-06,0.09,0.601,116.79799999999999,4
Amigo,2l4XoFbVmED8pbRjcf77rH,2019-07-29T17:35:22Z,Grandes Exitos,2007-05-08,205133,40,Roberto Carlos,7fAKtXSdNInWAIf0jVUz65,1253638,70,"jovem guarda,mpb",0.5820000000000001,0.6679999999999999,11,-8.585,0,0.0433,0.187,0.0,0.114,0.8640000000000001,145.27100000000002,4
Caray,3SPqDiyU1dKcWfBBWpPEC3,2019-07-29T17:35:22Z,Todo,1981,229040,59,Juan Gabriel,2MRBDr0crHWE5JwPceFncq,3461343,77,"latin,latin pop",0.506,0.485,2,-12.083,1,0.04,0.6729999999999999,0.0,0.152,0.9570000000000001,207.081,4
Maracas,2L5E1nYG6OmtQY64BGaEEg,2019-07-29T17:35:22Z,Grandes Duetos,1998-09-10,189730,3,Joan Sebastian,7FsRH5bw8iWpSbMX1G7xf1,2789754,77,"banda,grupera,norteno,regional mexican",0.6970000000000001,0.5670000000000001,7,-9.032,1,0.0742,0.627,5.83e-06,0.226,0.444,93.212,4
Eres,169fypnmX8pWC6cdUR19bt,2019-07-29T17:35:22Z,Singles,2016-10-14,196840,53,José Maria Napoleón,72v53CufRiSyqcQ78KUQ5p,410636,63,"bolero,grupera,latin,latin pop,ranchera",0.5770000000000001,0.6559999999999999,7,-9.176,1,0.055999999999999994,0.327,0.0,0.0852,0.887,102.21600000000001,4
Corazón mágico,16tFvWEmPnO7R24jW5w8KG,2019-07-29T17:35:22Z,30 Exitos Insuperables,2003-03-07,198000,52,Dyango,0PbO1lSBsJPgyqdEypJJVb,295471,57,"bolero,latin pop,pop romantico",0.639,0.36,4,-12.725,1,0.03,0.243,1.35e-06,0.048,0.5589999999999999,114.00399999999999,4
