track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Wanna Know (feat. Bea Miller),18W92Zm1KjLCbUIszOhpkD,2019-05-10T19:54:16Z,I Wanna Know (feat. Bea Miller),2018-03-16,197938,77,NOTD,5jAMCwdNHWr7JThxtMuEyy,44423,75,"dance pop,edm,electropop,pop,pop edm,post-teen pop,tropical house",0.661,0.725,6,-4.859,1,0.0563,0.0253,0,0.123,0.605,119.927,4
Delicate - Seeb Remix,2Sy2oGjP5RYB4cLVoDU0Gz,2019-05-10T19:54:16Z,Delicate (Seeb Remix),2018-06-08,173265,58,Taylor Swift,06HL4z0CvFAxyc27GXpf02,19684033,92,"dance pop,pop,post-teen pop",0.68,0.821,0,-3.77,1,0.041,0.0956,0.00315,0.0826,0.571,105.986,4
Home with You - Alphalove Remix,51dvVs0wPh9wJ3HgFkBaRZ,2019-05-10T19:54:16Z,Home with You (Remixes),2018-07-13,283306,50,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,1021249,79,"dance pop,electropop,pop,post-teen pop,r&b",0.692,0.744,7,-5.447,0,0.0416,0.0297,0.000213,0.0514,0.902,124.022,4
Feels Like Home,0VoQCaHK0kzgQ6fVtcLChy,2019-05-10T19:54:16Z,Feels Like Home,2018-06-14,219080,68,Sigala,1IueXOQyABrMOprrzwQJWN,797287,77,"dance pop,edm,pop,tropical house",0.749,0.907,6,-3.168,1,0.0638,0.141,0,0.108,0.68,124.958,4
Tequila - Robin Schulz Remix,4Nu8sEejt46770gDUvFcrF,2019-05-10T19:54:16Z,Tequila (Robin Schulz Remix),2019-03-21,170103,57,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,870994,79,contemporary country,0.448,0.836,11,-6.495,1,0.0809,0.229,0,0.427,0.482,122.899,4
8 Letters - R3HAB Remix,6dX62wjTHi9F1srVTjV89X,2019-05-10T19:54:16Z,8 Letters (R3HAB Remix),2018-09-28,132232,45,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1269718,82,"boy band,dance pop,pop,post-teen pop,teen pop",0.638,0.708,1,-5.001,0,0.0421,0.24,0,0.311,0.582,103.16,4
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,3TjLsDgL0bTbSQIF6M5Ki8,2019-05-10T19:54:16Z,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],2018-12-28,189374,63,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,18518205,89,"dance pop,edm,pop",0.678,0.747,10,-5.289,0,0.165,0.0395,0,0.174,0.516,120.002,4
Enough (with Shoffy),4GNpppEamtcqG6QkxfI9f9,2019-05-10T19:54:16Z,Enough (with Shoffy),2018-12-21,197105,58,KREAM,0DdDnziut7wOo6cAYWVZC5,48041,68,"dance pop,edm,electro house,electropop,pop,pop edm,tropical house",0.684,0.928,0,-4.477,1,0.0774,0.00225,0.0262,0.0284,0.583,123.991,4
I Miss You (feat. Julia Michaels) - Stadiumx Remix,0A7iIAhlX4SywY7Dc3c7Wu,2019-05-10T19:54:16Z,I Miss You (feat. Julia Michaels),2018-02-16,194516,47,Clean Bandit,6MDME20pz9RveH9rEXvrOM,2672087,83,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky",0.6,0.911,3,-3.29,1,0.0547,0.0273,0,0.174,0.619,123.944,4
Chasing Fire - Robin Schulz Remix,3gDEo3OPNyAs1jMwSebE24,2019-05-10T19:54:16Z,Chasing Fire (Robin Schulz Remix),2018-04-18,217678,6,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1198382,87,"dance pop,electropop,pop,post-teen pop",0.607,0.717,5,-5.771,1,0.0634,0.0067,0.00132,0.256,0.376,125.956,4
Promises - David Guetta Remix,5plG80hc7j4siXDhcUamjU,2019-05-10T19:54:16Z,Promises (David Guetta Remix),2018-10-12,190416,14,Calvin Harris,7CajNmpbOovFoOoasH2HaY,16509788,90,"edm,electro house,house,pop,progressive house,uk dance",0.588,0.697,3,-4.744,0,0.0372,0.186,0.000219,0.103,0.225,125.157,4
So Close,7FjZU7XFs7P9jHI9Z0yRhK,2019-05-10T19:54:16Z,So Close (feat. Georgia Ku),2018-11-02,190302,82,NOTD,5jAMCwdNHWr7JThxtMuEyy,44423,75,"dance pop,edm,electropop,pop,pop edm,post-teen pop,tropical house",0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-06,0.103,0.761,125.03,4
The Way I Am - Eden Prince Remix,6DrjofzZm5s8xpMn4IBMyI,2019-05-10T19:54:16Z,The Way I Am (Eden Prince Remix),2018-07-27,192797,56,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,6601460,83,"dance pop,pop,post-teen pop,viral pop",0.732,0.877,1,-3.253,1,0.131,0.0991,0,0.103,0.65,121.998,4
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,2019-05-10T19:54:16Z,High On Life (feat. Bonn),2018-07-29,230761,81,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,9955898,87,"big room,edm,pop,progressive house,tropical house",0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,4
This Mountain - Moguai Remix,6VtjygXLFzjBSAbgU3wSQ9,2019-05-10T19:54:16Z,This Mountain (Moguai Remix),2019-01-11,168188,45,Faouzia,5NhgsV7qPWHZqYEMKzbYvo,14055,61,,0.633,0.847,4,-3.676,0,0.192,0.0569,0,0.576,0.249,127.156,4
Wild Love - Jonas Blue Remix,2YX0K9fzoyqWpT5sgyzVXS,2019-05-10T19:54:16Z,Wild Love (Remixes),2018-03-01,205706,51,James Bay,4EzkuveR9pLvDVFNx6foYD,2269876,80,"neo mellow,pop,pop rock",0.62,0.814,11,-5.328,0,0.0476,0.0185,5.04e-06,0.337,0.606,124.057,4
Body - Orjan Nilsen Remix,28xhGtDi22dTAMo63a63my,2019-05-10T19:54:16Z,Body (Orjan Nilsen Remix),2018-04-27,192380,2,Loud Luxury,6t1gpxYbY8OlLA7D2RiikQ,103133,78,"edm,house,pop,tropical house",0.654,0.916,5,-2.195,0,0.224,0.0173,0.00834,0.444,0.408,126.108,4
I Got Love (feat. Nate Dogg),60QoePs4iQCs2aCZm96ew2,2019-05-10T19:54:16Z,I Got Love (feat. Nate Dogg),2018-12-07,159024,29,Don Diablo,1l2ekx5skC4gJH8djERwh1,1326234,77,"big room,deep big room,edm,electro house,future house,pop,progressive electro house,progressive house,tropical house",0.849,0.955,1,-1.862,1,0.153,0.286,0.000862,0.0604,0.545,122.984,4
Almost Love - R3HAB Remix,7GF0URC6CuIxq2fRcCCbrO,2019-05-10T19:54:16Z,Almost Love (R3HAB Remix),2018-07-13,175000,49,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,2242107,81,"dance pop,pop,post-teen pop,viral pop",0.664,0.774,0,-4.163,1,0.0446,0.0649,0,0.513,0.365,104.948,4
Chances - Kat Krazy Remix,33AJz2GikqVz0LxHQ0LI32,2019-05-10T19:54:16Z,Chances (Remixes),2019-01-14,163439,38,Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7,2160580,80,"boy band,dance pop,europop",0.795,0.877,11,-5.931,1,0.245,0.144,1.74e-06,0.283,0.579,122.04,4
Starry Eyes - Tom Budin Remix,5KLRfEovXWGMBOenmbLi76,2019-05-10T19:54:16Z,Starry Eyes (Remixes),2019-04-19,174057,37,Young Bombs,4LKB1IkCINDDjEX8iS7glI,7997,54,pop edm,0.748,0.835,6,-6.04,1,0.0447,0.125,0.0175,0.101,0.457,125.95,4
High Horse - Kue Remix,4uD3M8K5kxryLFRCWPSkc4,2019-05-10T19:54:16Z,High Horse Remix,2018-07-03,252682,49,Kacey Musgraves,70kkdajctXSbqSMJbQO424,496170,78,"contemporary country,country dawn,dance pop",0.787,0.812,11,-2.858,0,0.152,0.0702,1.89e-06,0.0415,0.877,123.008,4
Home - Madison Mars VIP Mix,0Ho8IGKSE5VmwXUMFFTN3k,2019-05-10T19:54:16Z,Home (Madison Mars VIP Mix),2019-01-04,177000,48,Madison Mars,4gJCFxvqKc43Ifk0UIBB42,70810,64,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.737,0.87,9,-2.761,0,0.0784,0.0245,0.000242,0.141,0.333,123.931,4
Found You,2ifr3fUGsq83wCcO6txv1q,2019-05-10T19:54:16Z,FUTURE,2018-02-09,189677,1,Don Diablo,1l2ekx5skC4gJH8djERwh1,1326234,77,"big room,deep big room,edm,electro house,future house,pop,progressive electro house,progressive house,tropical house",0.637,0.767,6,-5.137,0,0.0491,0.228,4.69e-06,0.111,0.803,124.006,4
Silence - Tiësto's Big Room Remix,3AUW7mAGx1BICBWqsuFgh4,2019-05-10T19:54:16Z,Silence (Tiësto's Big Room Remix),2017-10-13,202153,61,Marshmello,64KEffDW9EtZ1y2vBYgq8T,11758315,92,"brostep,egyptian pop,progressive electro house",0.522,0.941,1,-3.357,0,0.25,0.00621,3.63e-06,0.956,0.0994,130.088,4
