track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
REMEDY,6jreFSOTUAViWjKyzOC4Kg,2019-05-17T17:41:02Z,REMEDY,2018-08-31,190295,80,Alesso,4AVFqumd2ogHFlRbKIjp1t,2766746,80,"big room,dance pop,edm,electro house,pop,progressive electro house,tropical house",0.601,0.775,0,-4.612,1,0.0473,0.26899999999999996,0.0,0.0883,0.483,119.964,4
Happy Now,14sOS5L36385FJ3OL8hew4,2019-05-17T17:41:02Z,Happy Now,2018-10-26,211362,83,Kygo,23fqKkggKUBHNkbKtXEls4,4838715,88,"edm,pop,tropical house",0.693,0.575,9,-6.997999999999999,1,0.0801,0.374,0.0,0.252,0.49200000000000005,117.999,4
You Deserve Better - Andrelli Remix,0JumfyG7GUshFjxouEXwhw,2019-05-17T17:41:02Z,You Deserve Better (Andrelli Remix),2018-06-29,196493,56,James Arthur,4IWBUUAFIplrNtaOHcJPRM,3934166,85,"dance pop,pop,post-teen pop,talent show",0.685,0.7120000000000001,6,-4.302,0,0.0894,0.33399999999999996,1.1e-06,0.047,0.483,114.98899999999999,4
Wherever You Go,14nIFzHQf1OBWf6VHVR8DF,2019-05-17T17:41:02Z,Blue,2018-11-09,208946,73,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,1909024,85,"dance pop,edm,pop,tropical house,uk dance",0.711,0.7240000000000001,7,-4.809,1,0.106,0.0835,0.0,0.0389,0.478,104.04799999999999,4
Happier - Frank Walker Remix,1IjuevPDJ8Sa97wFwQ5j4V,2019-05-17T17:41:02Z,Happier (Remixes),2018-10-19,196571,57,Marshmello,64KEffDW9EtZ1y2vBYgq8T,11954933,92,"brostep,egyptian pop,progressive electro house",0.7120000000000001,0.6459999999999999,5,-4.23,1,0.182,0.11599999999999999,0.0,0.12300000000000001,0.607,104.99799999999999,4
Try Not To Love You,3DiOnTOzRokGNlFaFUonCy,2019-05-17T17:41:02Z,Try Not To Love You,2018-07-06,225000,54,Dzeko,5vQfv3s2Z2SRdPZKr82ABw,25281,74,"big room,canadian electronic,deep big room,edm,electro house,pop edm,progressive electro house",0.526,0.773,1,-4.33,0,0.0419,0.03,0.0,0.131,0.39399999999999996,127.899,4
All The Lies (with Felix Jaehn & The Vamps),4Cy5f4JsH1yoeGks7FnoHw,2019-05-17T17:41:02Z,All The Lies (with Felix Jaehn & The Vamps),2019-03-15,179456,71,Alok,0NGAZxHanS9e0iNHpR8f2W,5573566,79,"brazilian edm,electro house,pop nacional",0.611,0.835,6,-4.107,1,0.139,0.16699999999999998,0.0,0.107,0.672,102.023,4
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,2019-05-17T17:41:02Z,I Found You (with Calvin Harris),2018-11-02,191495,76,benny blanco,5CiGnKThu5ctn9pBxv7DGa,240515,84,"dance pop,electropop,pop,tropical house",0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,4
Thursday - Nicky Romero Remix,7r4nPsLToVIPdsiEeZKF6Y,2019-05-17T17:41:02Z,Thursday (Nicky Romero Remix),2018-12-07,217804,55,Jess Glynne,4ScCswdRlyA23odg9thgIO,1525294,82,"dance pop,pop,post-teen pop,tropical house,uk pop",0.7390000000000001,0.622,11,-5.382000000000001,0,0.0394,0.532,0.0,0.0508,0.615,119.992,4
Missing You,5EHVz4AZDoQwf2zX3kXE6o,2019-05-17T17:41:02Z,Missing You,2018-06-22,188076,61,CAZZETTE,1IELhvOMg5VQlU7syRm6CS,301145,61,"big room,complextro,dance pop,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house",0.696,0.708,0,-7.994,1,0.162,0.0472,4.55e-05,0.0717,0.337,123.913,4
