track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
In Time,43ZeyBuql1TboyWE3ElHXj,2019-07-12T18:20:05Z,Stereo Mono,2018-10-12,191954,52,CAZZETTE,1IELhvOMg5VQlU7syRm6CS,304906,63,"big room,complextro,dance pop,deep tropical house,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house",0.6509999999999999,0.711,3,-5.062,0,0.0378,0.111,6.13e-05,0.0488,0.425,125.089,4
Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,3Mong1BzxMKwTZ0SbfLdcQ,2019-07-12T18:20:05Z,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],2019-03-08,156167,66,Clean Bandit,6MDME20pz9RveH9rEXvrOM,2962636,84,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky",0.684,0.95,1,-2.588,0,0.0809,0.0207,1.25e-06,0.105,0.436,125.97399999999999,4
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,2019-07-12T18:20:05Z,High On Life (feat. Bonn),2018-07-29,230761,78,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10676350,90,"big room,edm,pop,progressive house,tropical house",0.414,0.486,6,-6.431,0,0.0311,0.0129,0.0,0.111,0.368,128.03799999999998,4
Timebomb - Ryan Riback Remix,5EUwIxAgPyfP3Eeqkq3d7O,2019-07-12T18:20:05Z,Timebomb < LIVE >,2019-05-03,211974,40,WALK THE MOON,6DIS6PRrLS3wbnZsf7vYic,1336540,75,"indie pop,indie poptimism,indietronica,modern rock,pop,pop rock",0.63,0.743,5,-5.572,1,0.0386,0.0237,0.0,0.151,0.501,120.01299999999999,4
Let's Chat,3TLMqQ1nljlC9kZ5AnqNGo,2019-07-12T18:20:05Z,Let's Chat,2018-07-27,195840,2,Paris & Simo,1MZSqWo83IkVnYB1DSE9XB,2607,39,"big room,deep big room,progressive electro house,sky room",0.8540000000000001,0.75,6,-6.109,0,0.207,0.0563,0.0004969999999999999,0.136,0.259,124.984,4
Just Got Paid,0v3BMLcwUmAwyqJaf5997o,2019-07-12T18:20:05Z,Just Got Paid,2018-09-07,218250,74,Sigala,1IueXOQyABrMOprrzwQJWN,857725,80,"dance pop,edm,pop,tropical house,uk dance",0.732,0.922,6,-1.829,0,0.0975,0.0348,0.0,0.146,0.589,120.03299999999999,4
All I Am - THRDL!FE Remix,2tZkfIVdvriMXPu75cww9u,2019-07-12T18:20:05Z,All I Am (THRDL!FE Remix),2018-09-07,222400,40,Jess Glynne,4ScCswdRlyA23odg9thgIO,1639462,84,"dance pop,pop,post-teen pop,tropical house,uk pop",0.7090000000000001,0.8740000000000001,0,-5.676,1,0.0502,0.00875,0.00229,0.0386,0.585,124.008,4
Tired - Kygo Remix,3t0J8vI9StQD8KIBkT2Cp5,2019-07-12T18:20:05Z,Tired (Kygo Remix),2017-07-14,240000,64,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,11317764,89,electro house,0.598,0.74,2,-7.391,1,0.0684,0.026000000000000002,0.0,0.0895,0.342,123.945,4
Home with You - Alphalove Remix,51dvVs0wPh9wJ3HgFkBaRZ,2019-07-12T18:20:05Z,Home with You (Remixes),2018-07-13,283306,46,Madison Beer,2kRfqPViCqYdSGhYSM9R0Q,1160064,82,"dance pop,electropop,pop,post-teen pop,r&b",0.6920000000000001,0.7440000000000001,7,-5.447,0,0.0416,0.0297,0.000213,0.0514,0.902,124.022,4
Heaven (feat. Veronica),5ql2mP9FUhB3SgMzv2akuO,2019-07-12T18:20:05Z,Heaven (feat. Veronica),2019-01-04,195000,69,Dzeko,5vQfv3s2Z2SRdPZKr82ABw,28292,75,"big room,canadian electronic,deep big room,edm,electro house,pop edm,progressive electro house",0.657,0.882,0,-3.565,0,0.0456,0.247,0.00202,0.11199999999999999,0.179,127.994,4
