track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,2019-02-28T23:01:00Z,There's No Way (feat. Julia Michaels),2018-09-27,174860,83,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1198382,87,"dance pop,electropop,pop,post-teen pop",0.755,0.625,2,-7.114,1,0.0896,0.49,0.0,0.157,0.374,147.02,4
Don't Change,5GGEJhZ5xjbU7UhSlipuoq,2019-04-24T07:31:50Z,Don't Change,2019-04-19,176408,74,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1269718,82,"boy band,dance pop,pop,post-teen pop,teen pop",0.794,0.621,10,-4.935,0,0.168,0.20600000000000002,0.0,0.10300000000000001,0.237,106.053,4
Messy,0BOEuUKoHdy8in20fG5smd,2019-02-28T23:01:00Z,Messy,2018-05-11,169324,66,Kiiara,4u5smJBskI6Adzv08PuiUP,554766,72,"dance pop,electropop,indie poptimism,pop,post-teen pop",0.893,0.456,9,-5.82,1,0.16699999999999998,0.21600000000000003,0.0,0.326,0.6809999999999999,108.037,4
Motions,0Jxv3rG1ByeMVTntYqjHXP,2019-02-28T23:01:00Z,Motions,2018-08-31,186653,59,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,1002625,71,"pop,reggae fusion",0.46399999999999997,0.46399999999999997,9,-7.027,0,0.0752,0.609,0.0,0.106,0.335,180.235,4
Complex,7bs2g5h2gay1aqjXggRzZ1,2019-02-28T23:01:00Z,Complex,2018-08-24,191416,54,SHY Nodi,6sXDsB4h2hPUWIFk3XF5v3,690,49,scandipop,0.711,0.544,5,-10.436,0,0.299,0.42200000000000004,0.0,0.0777,0.58,92.99,4
Stay with Me,1tl9Yzv1lypVXR5pyWrNrb,2019-02-28T23:01:00Z,Stay with Me,2018-11-23,205617,57,louw,3LOWBENsEe0o5Ui5I0SIyW,171,45,,0.6609999999999999,0.578,6,-9.585,0,0.0278,0.0272,1.28e-05,0.0961,0.272,99.949,4
Spin With You (feat. Jeremy Zucker),1m7XbKhOvJst478ms8yUrr,2019-02-28T23:01:00Z,Spin With You (feat. Jeremy Zucker),2018-12-19,212154,69,Emma Sameth,0hac78iy32k7qYWLp6RPaz,5168,59,la pop,0.818,0.445,5,-7.4670000000000005,0,0.23,0.718,3.8799999999999994e-05,0.10800000000000001,0.423,95.944,4
Straight To The Heart,0MJGEZXkdMj7uQUGhI6gj3,2019-02-28T23:01:00Z,Straight To The Heart,2018-08-10,152913,59,Nick Talos,5pCzC0BOLY2MpqYr1qksg2,2338,52,german dance,0.46299999999999997,0.6759999999999999,5,-7.037999999999999,1,0.049,0.124,0.0,0.426,0.584,89.04,4
Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,2019-02-28T23:01:00Z,Dancing With A Stranger (with Normani),2019-01-11,171029,93,Sam Smith,2wY79sveU1sp5g7SokKOiI,8439988,90,"pop,post-teen pop",0.741,0.52,8,-7.513,1,0.0656,0.45,1.97e-06,0.222,0.34700000000000003,102.99799999999999,4
Throwaway,6TGoYBjxwsLgIzaw9lhfMG,2019-03-21T23:55:00Z,Throwaway,2019-03-15,180000,49,SG Lewis,0GG2cWaonE4JPrjcCCQ1EG,124821,68,"alternative r&b,electropop,indie poptimism,indie r&b,tropical house,vapor soul,vapor twitch",0.789,0.49,2,-6.587999999999999,1,0.0392,0.784,0.000598,0.11199999999999999,0.8690000000000001,140.034,4
