track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Easier,4tNXntkAzQ5A2dfYRYGIIQ,2019-05-31T08:12:05Z,Easier,2019-05-23,157492,85,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4658845,87,"boy band,dance pop,pop,post-teen pop",0.648,0.433,2,-5.5329999999999995,0,0.147,0.496,0.0,0.0996,0.614,87.99700000000001,4
Bad,3xRcQ04b0l5RiU2w7lJhCD,2019-05-31T08:12:05Z,Oh My Messy Mind,2019-05-10,225920,73,James Bay,4EzkuveR9pLvDVFNx6foYD,2300262,81,"neo mellow,pop,pop rock",0.5489999999999999,0.413,4,-5.587000000000001,1,0.0362,0.7559999999999999,0.0,0.0939,0.29,139.981,4
Favourite Ex,1a1SQeSqUKzH5OUVTEx4ae,2019-05-31T08:12:05Z,Favourite Ex,2019-04-12,201694,67,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,59229,70,"dance pop,indie anthem-folk,indie cafe pop,pop,uk pop,viral pop",0.396,0.177,5,-10.277000000000001,1,0.0378,0.718,0.0,0.139,0.221,177.215,3
End Like This,08dQKOhfHtLxgOLRONAqp3,2019-05-31T08:12:05Z,End Like This,2019-03-29,202314,61,Rhys Lewis,4T2k9bgIoC8bbqjqiEl9vZ,62255,68,"australian pop,indie anthem-folk,indie cafe pop,pop,uk pop",0.745,0.6729999999999999,8,-5.91,0,0.0711,0.662,0.0,0.18,0.525,122.851,4
1994,6VPdZLQmoTNu75CrnjhXay,2019-05-31T08:12:05Z,1994,2018-11-01,184028,13,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,558131,82,pop,0.774,0.619,8,-6.183,1,0.0641,0.27899999999999997,3.31e-06,0.19399999999999998,0.866,87.02,4
Till I Found You,2NsJh6vFQlruTkdm7LdUCB,2019-05-31T08:12:05Z,Living Hope,2018-08-03,240266,59,Phil Wickham,5d1JhBfyb58upMXCZOdbQu,278133,68,"anthem worship,ccm,christian alternative rock,christian indie,christian music,indiecoustica,world worship,worship",0.368,0.6809999999999999,4,-6.4510000000000005,1,0.0689,0.0645,0.0,0.0666,0.185,125.071,4
Sleepless Nights (feat. Nightly),2WPYetFgb9kYw5Inx8mD3o,2019-05-31T08:12:05Z,Sleepless Nights (feat. Nightly),2018-08-03,196200,15,ayokay,4BzCdhJTyTS3gumq9xmymb,55727,68,"electropop,indie electro-pop,indie poptimism,indie r&b,pop,pop edm,tropical house",0.6609999999999999,0.705,11,-5.949,1,0.0351,0.0405,6.51e-06,0.203,0.502,139.984,4
Incredible,5bZeugrr7oIATt1CLJuhT4,2019-05-31T08:12:05Z,Chapters,2019-04-26,246320,64,James TW,0B3N0ZINFWvizfa8bKiz4v,310236,78,"dance pop,indie cafe pop,neo mellow,pop,uk pop,viral pop",0.556,0.589,0,-6.209,1,0.0431,0.306,0.0,0.147,0.264,180.942,3
More & More,5oYMLJBYRv0I3D5GZEqODA,2019-05-31T08:12:05Z,More & More,2018-09-28,211133,60,Finding Hope,0QGDb8TBWIT06W4BoyAggg,59245,60,indie r&b,0.6890000000000001,0.256,1,-10.572000000000001,1,0.0514,0.7040000000000001,2.29e-06,0.051,0.547,82.936,4
Lost Sparks,7fZ2GktS3lfZuI6BbDamrS,2019-05-31T08:12:05Z,Lost Sparks,2018-09-21,226413,63,Canyon City,6TdfKQvrdHZdr4DIzjuWOr,36726,65,"acoustic pop,folk-pop,indie anthem-folk,indie cafe pop,indie folk,indiecoustica,neo mellow,viral pop",0.5489999999999999,0.303,4,-12.370999999999999,1,0.0288,0.556,1.7899999999999998e-05,0.0849,0.2,135.99,4
Let Me Live (feat. Anne-Marie & Mr Eazi) - Acoustic,7kStxK6rzxka5SRlg1lzhz,2019-05-31T08:12:05Z,Let Me Live (feat. Anne-Marie & Mr Eazi) [Acoustic],2018-08-17,218049,64,Rudimental,4WN5naL3ofxrVBgFpguzKo,1015166,79,"dance pop,edm,liquid funk,pop,tropical house,uk funky",0.68,0.547,8,-4.762,1,0.0414,0.539,0.0,0.0877,0.6409999999999999,142.053,4
Oh Dreamer,2Uu1hqObahlzFDbZqjC6CR,2019-05-31T08:12:05Z,Oh Dreamer,2018-11-02,204440,59,The Brilliance,26nltVmOVeIfYmwcmqTm7e,48609,53,"acoustic pop,ambient worship,anthem worship,ccm,christian uplift,deep ccm,indiecoustica,world worship,worship",0.524,0.627,9,-7.246,0,0.0885,0.0211,9.84e-06,0.19,0.53,195.729,4
Waving Through A Window - from Dear Evan Hansen,2GlsXuQV0YOOwPy3XKFIS9,2019-05-31T08:12:05Z,Waving Through A Window (from Dear Evan Hansen),2018-11-02,235986,60,Katy Perry,6jJ0s89eD6GaHleKKya26X,12992895,87,"dance pop,pop,post-teen pop",0.599,0.556,0,-7.732,1,0.0869,0.461,0.0,0.132,0.46,145.42700000000002,4
