track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Explorers (Instrumental),3pCXg1LVxAQVPFKQrMJ66W,2019-07-12T16:06:22Z,Kids (The Instrumentals),2018-09-14,256874,41,The Midnight,2NFrAuh8RQdQoS7iYFbckw,108242,63,"nightrun,retro electro",0.515,0.732,7,-9.41,1,0.0325,0.00199,0.796,0.153,0.0852,128.0,4
The Future,5KTHurbkWElVh4KkOmGn7S,2019-07-12T16:06:22Z,The Future,2018-12-21,359166,36,Tom Flynn,3lSeZGCmgYasoeYml0hQY8,1907,30,,0.804,0.628,11,-12.175,1,0.0483,0.0112,0.933,0.108,0.222,122.007,4
Do It Like You,5h1Gi50T9QxVfzvIF8vciC,2019-07-12T16:06:22Z,Do It Like You,2018-11-01,190624,54,Crooked Colours,0aA1GTrIMutjIh4GlPPUVN,61027,60,"australian indie,vapor soul",0.758,0.793,4,-5.05,0,0.0327,0.0117,0.139,0.108,0.279,122.95,4
Trust,5g3bc1ops0HyYBpr6oXuoy,2019-07-12T16:06:22Z,Trust,2018-11-02,203400,21,Prince Fox,1nf5yEVCfMbqm1OCYpntBT,25381,55,"indie electro-pop,indie poptimism,nyc pop,pop edm",0.729,0.47,7,-10.516,0,0.127,0.175,0.000837,0.179,0.445,99.987,4
Mala,5Fv4EVQN6GEYYnMZ3L6NOl,2019-07-12T16:06:22Z,Arkade Destinations Tulum,2018-08-03,301900,38,Classic Unknwn,1dZll1W7w0FMBahKsYi7F0,211,42,,0.728,0.451,6,-14.254,0,0.0454,0.886,0.892,0.986,0.164,104.987,4
Mr. Skitters,4XE9Ggjr33rRGbjDHbGaTQ,2019-07-12T16:06:22Z,Mr. Skitters,2019-02-08,182800,54,Medasin,62vbsDRAq0qHdezaCOzB0T,53021,66,vapor twitch,0.5,0.311,1,-13.137,1,0.044,0.75,0.899,0.109,0.0398,74.981,4
Falling,6JmRVEBNPIxEtAXWKPSsi5,2019-07-12T16:06:22Z,Falling,2019-04-12,205363,49,Lipless,0XmmX4fE4SiRMu3ICsP5sA,2766,53,"deep tropical house,pop edm,tropical house",0.797,0.764,5,-5.94,0,0.0389,0.097,0.000333,0.138,0.302,109.996,4
Hypnotised,1SGVOqchDwrBehJIOnGuyT,2019-07-12T16:06:22Z,Bloom,2016-01-22,246962,46,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,425968,72,"australian electropop,tropical house",0.708,0.636,2,-9.254,1,0.0379,0.264,0.0746,0.109,0.557,119.979,4
In My Arms - Flyboy Chillmix,6s8OQeEXC44AdZcGIpaV5n,2019-07-12T16:06:22Z,In My Arms (Remixes),2019-06-07,186232,32,Ferreck Dawn,3cnAJv9gydgm52KFIsdvO8,17606,59,"deep groove house,deep house,disco house,edm,electro house,funky tech house,house,progressive house,tropical house,vocal house",0.771,0.572,6,-9.073,0,0.0485,0.251,0.415,0.0931,0.555,116.005,4
Pray for Us,49X931MF0VVnHFkhVU3M5r,2019-07-12T16:06:22Z,Air,2016-06-10,286431,3,FEYNMAN,5bpKJkKb5h112Fy5eLMbWt,42579,46,,0.753,0.693,0,-6.545,1,0.0849,0.0107,0.0104,0.503,0.45,97.034,4
