track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
True Colors,5zyA2mKhndIIHnfuXohwCI,2019-05-23T20:18:58Z,True Colors,2018-05-08,236181,56,Hoodboi,1521R3ksLyQyFeqdtaSZUZ,12610,49,vapor twitch,0.838,0.586,10,-9.075,0,0.111,0.601,0.779,0.32899999999999996,0.16,110.009,4
PLACES,3eSmjY0PxxTlX6UxRDKaul,2019-05-23T20:18:58Z,DANCEHALL,2018-09-07,214826,52,The Blaze,1Dt1UKLtrJIW1xxRBejjos,135652,65,"french indie pop,french indietronica,new french touch",0.772,0.42700000000000005,4,-9.576,0,0.0437,0.495,0.7240000000000001,0.10800000000000001,0.0368,99.995,4
Mana,6BO5kq5A7XCntn2SoQws0v,2019-05-23T20:18:58Z,Mana,2018-11-20,212054,52,Fakear,4eFImh8D3F15dtZk0JQlpT,148555,61,"french indie pop,french indietronica,new french touch,tropical house",0.643,0.667,9,-8.305,0,0.0454,0.0173,0.898,0.109,0.292,93.01,4
Mystery,0X852h1EwdywAiTkrpRZCa,2019-05-23T20:18:58Z,Mystery,2018-10-09,285694,8,Adriatique,02DWGcShQivFepRvGJ7xhB,66763,51,"deep disco house,deep melodic euro house,house,microhouse,minimal tech house,minimal techno,tech house",0.526,0.515,7,-8.255,0,0.0298,0.226,0.0539,0.0944,0.0368,103.04700000000001,4
show me,5eSpXdMMcdQoLNaAnqrX7g,2019-05-23T20:18:58Z,album1,2018-09-21,341475,24,San Holo,0jNDKefhfSbLR9sFvcPLHo,462879,70,"edm,electronic trap,pop,pop edm,tropical house,vapor twitch",0.474,0.731,0,-5.582000000000001,1,0.0406,0.235,0.00536,0.223,0.0876,135.056,4
Fading Memories,3iO88Yon2jOOeT9AefoGF2,2019-05-23T20:18:58Z,Fading Memories,2018-10-26,160000,53,Adon,7l7IyxqOyGDSU6iF4FzisA,995,53,"deep tropical house,tropical house",0.588,0.596,7,-6.115,1,0.085,0.0715,0.264,0.32799999999999996,0.228,104.834,4
No Way Back,5pt3fpHOY7hevMXxyj8P4S,2019-05-23T20:18:58Z,Weird Kid,2018-10-12,242264,35,Chris Malinchak,5UVzX8pQe6bb5ueNdfViih,50624,60,"deep house,nu disco,tropical house",0.7440000000000001,0.5539999999999999,1,-11.097999999999999,1,0.2,0.134,0.000185,0.059000000000000004,0.584,110.016,4
Save Us,2gGs5GIOPRiQawcGVAEye3,2019-05-23T20:18:58Z,Arkade Destinations Tulum,2018-08-03,210683,36,Classic Unknwn,1dZll1W7w0FMBahKsYi7F0,124,36,,0.812,0.7040000000000001,1,-9.634,0,0.0444,0.0531,0.8320000000000001,0.106,0.121,103.015,4
Our Love Is Our Love,61m6aeqYw9pI9OlqMGZQH7,2019-05-23T20:18:58Z,Weird Kid,2018-10-12,209871,38,Chris Malinchak,5UVzX8pQe6bb5ueNdfViih,50624,60,"deep house,nu disco,tropical house",0.789,0.519,7,-10.825,0,0.059000000000000004,0.0292,0.0108,0.0906,0.575,97.01,4
More Delicate,0sKRKyoxV8K4evaaJKCNat,2019-05-23T20:18:58Z,More Delicate,2018-07-06,304670,43,Titeknots,0CdxxbmCwuQ0dV9LvvyqlO,1688,38,brighton indie,0.612,0.903,6,-5.487,0,0.0381,0.0375,0.899,0.179,0.491,119.98299999999999,4
