track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Love Syndrome,7jja8oqBSBmUKQlqOWRY36,2019-07-24T14:59:21Z,Run Away,2019-04-11,284000,44,Enamour,6D1PUSzHf2Z4jTFIdhjJoO,3648,43,progressive house,0.721,0.7290000000000001,1,-9.835,1,0.0369,9.93e-05,0.833,0.0808,0.21100000000000002,120.006,4
Looped,0J3BNRNxMxiLyWvG9hn3t6,2019-07-24T14:59:21Z,Faze #45: Butch,2015-12-18,377402,35,Kiasmos,6X8lhZ7YaRUBlOsOYimlyD,144279,60,"electronic,icelandic electronic,icelandic pop,tropical house",0.8140000000000001,0.414,7,-11.353,0,0.0492,0.0271,0.843,0.32,0.114,120.015,4
Mirror Play,0mcMy6ItV0K0uD4k6HrT9i,2019-07-24T14:59:21Z,Brainsugar,2016-09-16,356844,37,Cubicolor,4nMIbZxtt1kWqUZ8VNKvjU,28459,50,progressive house,0.6709999999999999,0.391,5,-11.755999999999998,0,0.0335,0.68,0.187,0.37799999999999995,0.363,117.03,4
One Time,6DBCn77bRaiZjKJrfWBElB,2019-07-24T14:59:21Z,One Time,2019-05-11,170250,4,Bob Juburi,4LOhQlFTKM4iFTNlpueiqM,41,7,,0.629,0.622,11,-9.622,0,0.314,0.569,1.37e-06,0.27699999999999997,0.653,93.28399999999999,4
Get Free - Chrome Sparks Remix,2hINIqIvhaJ11bvcnS5v3d,2019-07-24T14:59:21Z,Get Free (Chrome Sparks Remix),2019-02-13,260728,43,Major Lazer,738wLrAtLtCtFOLvQBXOXp,5546664,82,"dance pop,edm,electro house,moombahton,pop,tropical house",0.433,0.877,11,-4.061,0,0.0403,0.0643,0.0021100000000000003,0.628,0.251,175.95,4
Mighty Pretty,2yxJYuvpuAiGNqfAu5V8xq,2019-07-24T14:59:21Z,Sumatra,2019-05-03,268233,34,Gullen,61k6okbUw17fpK27TFEXtI,213,30,,0.8109999999999999,0.5720000000000001,8,-12.767000000000001,0,0.0425,0.45899999999999996,0.8590000000000001,0.10800000000000001,0.696,104.038,4
Maker,6w32mXhIaosDV03bo216QI,2019-07-24T14:59:21Z,Joypunks / Maker,2018-10-30,251428,19,Big Wild,0PxzGnCYBpSuaI49OR94cA,102741,64,"electropop,indie poptimism,indietronica,tropical house,vapor soul,vapor twitch",0.638,0.75,4,-6.831,1,0.0295,0.11699999999999999,0.501,0.0904,0.161,104.988,4
On Your Mind,3aK1KXKA07ZQ0Nwzhf88ia,2019-07-24T14:59:21Z,Ninjawerks (Vol.1),2018-12-14,320280,51,Kaskade,6TQj5BFPooTa08A7pk8AQ1,711191,72,"big room,chicago house,dance pop,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house,vocal house",0.835,0.828,4,-4.512,0,0.0949,0.00235,0.743,0.0602,0.17800000000000002,107.995,4
brighter days,0OidLNIUhWSBX2UEXbaqQS,2019-07-24T14:59:21Z,album1,2018-09-21,236718,8,San Holo,0jNDKefhfSbLR9sFvcPLHo,487298,69,"edm,electro house,electronic trap,pop,pop edm,tropical house,vapor twitch",0.603,0.5329999999999999,0,-6.742000000000001,1,0.0832,0.4,0.0,0.124,0.282,128.037,4
Waiting for You,2L0wPdpLIZBSMmkS8RDFtw,2019-07-24T14:59:21Z,Waiting for You,2019-06-07,152000,49,Y.V.E. 48,5zSWGyWE5d0PYaYrtdVwOz,21833,53,"deep house,deep tropical house,pop edm,tropical house",0.69,0.608,9,-8.006,0,0.0311,0.0052899999999999996,0.00473,0.193,0.33,102.984,4
Zoom Out,0pHH4mmhGZT2W41lUQZUar,2019-07-24T14:59:21Z,Zoom Out,2018-10-26,211573,46,Moods,14uVJsPC4DByeuD0cq36ez,24954,57,"alternative r&b,chillhop,neo r&b,vapor soul,vapor twitch",0.643,0.5710000000000001,6,-8.226,0,0.303,0.0645,8.97e-05,0.0931,0.688,82.73100000000001,4
Rudeboy Lovesong (feat. Sweetie Irie & Cara Delevingne),4cZRjRwTZ8fhKmpJ6xFFhH,2019-07-24T14:59:21Z,Rudeboy Lovesong (feat. Sweetie Irie & Cara Delevingne),2019-02-25,217982,44,SHY FX,5oDtp2FC8VqBjTx1aT4P5j,71887,61,"bass house,drum and bass,house,jungle,liquid funk,uk alternative hip hop,uk garage",0.5870000000000001,0.645,6,-9.84,0,0.0365,0.3,0.10400000000000001,0.35700000000000004,0.34600000000000003,144.931,4
Violet,0xThyjuoZYfHVhA5WZshE9,2019-07-24T14:59:21Z,Violet,2019-07-08,292881,35,Lstn,0OO1zgX3CUfJQwoOEBSKSp,4405,56,"chill beats,tropical house",0.815,0.659,10,-12.13,0,0.069,0.0409,0.865,0.052000000000000005,0.204,117.991,4
No Way Back,5pt3fpHOY7hevMXxyj8P4S,2019-07-24T14:59:21Z,Weird Kid,2018-10-12,242264,13,Chris Malinchak,5UVzX8pQe6bb5ueNdfViih,52707,61,"deep house,deep tropical house,house,nu disco,tropical house",0.7440000000000001,0.5539999999999999,1,-11.097999999999999,1,0.2,0.134,0.000185,0.059000000000000004,0.584,110.016,4
Love Me - Felix Cartal's Chill Mix,7yaMJeDKiDCGC35LrP6EYU,2019-07-24T14:59:21Z,Love Me (Remixes),2019-05-03,221900,50,Felix Cartal,6roDXEmZ6AARdOUv6x5U2v,46785,65,"big room,canadian electronic,deep tropical house,edm,electro house,electropop,indie electro-pop,indie poptimism,pop edm,tropical house",0.6509999999999999,0.8059999999999999,8,-3.458,1,0.0532,0.0235,0.256,0.10400000000000001,0.21,121.054,4
Nomade,2gNfiokhNCOgrAfWLEdTDr,2019-07-24T14:59:21Z,Arkade Destinations Tulum,2018-08-03,303944,38,Martin Tillman,4AeXym6l8sQlRKvUNZkaYp,516,43,,0.579,0.26899999999999996,7,-15.017000000000001,1,0.0275,0.746,0.905,0.122,0.165,100.03299999999999,4
Youth (Instrumental),2B7uH2eyDBROM2qJG9QE9Z,2019-07-24T14:59:21Z,Kids (The Instrumentals),2018-09-14,189630,42,The Midnight,2NFrAuh8RQdQoS7iYFbckw,111509,62,"nightrun,retro electro",0.13699999999999998,0.222,2,-25.826,1,0.046,0.9259999999999999,0.904,0.315,0.107,168.658,4
Just Like a Melody,1dcYf6gQ6Dox3dad0vTDeW,2019-07-24T14:59:21Z,Just Like a Melody,2018-11-26,285585,40,Poldoore,3ph6BKBPsjP7Vhtd1IXhkc,30633,51,chillhop,0.615,0.5529999999999999,7,-9.086,0,0.0432,0.35600000000000004,0.16399999999999998,0.114,0.37200000000000005,82.984,4
Pray for Us,49X931MF0VVnHFkhVU3M5r,2019-07-24T14:59:21Z,Air,2016-06-10,286431,3,FEYNMAN,5bpKJkKb5h112Fy5eLMbWt,43519,46,,0.753,0.693,0,-6.545,1,0.0849,0.0107,0.0104,0.503,0.45,97.03399999999999,4
As If It Was You - Beach House Mix,2h6pldBTUGLH1JxYCZhYzM,2019-07-24T14:59:21Z,As If It Was You,2018-09-28,314698,48,Schwarz & Funk,5tOiT7pdFoQN3hf2OWj2fv,3904,49,chill lounge,0.674,0.812,10,-7.939,1,0.0324,0.000306,0.746,0.0521,0.7879999999999999,109.993,4
Test the Waters,4zDZY6XnZRjGlRDr9h5gOG,2019-07-24T14:59:21Z,Love & Retrograde,2019-06-07,228000,47,Autograf,0FVj4JuzTyudaXAwfqDQ20,70739,59,"deep tropical house,edm,indian indie,indie electro-pop,indie poptimism,nu disco,pop edm,tropical house,vapor soul,vapor twitch",0.635,0.634,1,-6.808,0,0.0443,0.597,0.0202,0.12300000000000001,0.41200000000000003,159.957,4
Miracle (Body Rock) - Edit,6YtMWKgiq2ODZDFma4vxWy,2019-07-24T14:59:21Z,Miracle (Body Rock),2019-07-05,190819,54,Nic Fanciulli,7btR5VXutQv39SDEzcfXEk,39232,49,"house,tech house,tribal house",0.6809999999999999,0.8859999999999999,8,-8.745,1,0.0339,0.22699999999999998,0.78,0.0617,0.078,122.001,4
Enough to Believe - Eagles & Butterflies Remix,6tAAuNXlwzUlRAiEicoGCx,2019-07-24T14:59:21Z,Enough to Believe (Remixes),2019-01-31,594447,46,Bob Moses,6LHsnRBUYhFyt01PdKXAF5,166084,60,"canadian electronic,tropical house",0.7509999999999999,0.759,1,-7.99,1,0.0392,0.0035,0.677,0.22399999999999998,0.26,116.98299999999999,4
I Can Feel It,4Pw69Uhom98fGlM0y3dYqb,2019-07-24T14:59:21Z,Surface,2019-06-28,326653,45,Goldroom,4eZebkMFU3xelF8mbZYXyl,81720,53,"alternative dance,chillwave,filter house,indie poptimism,indietronica,nu disco,shimmer pop,tropical house,vapor soul",0.688,0.784,7,-10.144,0,0.043,0.0704,0.89,0.0506,0.369,124.008,4
17 - 6am Remix,6R3PciZdMvvkQGkhpdeL1k,2019-07-24T14:59:21Z,17 (Remixes),2017-12-15,263887,53,MK,1yqxFtPHKcGcv6SXZNdyT9,143403,72,"deep groove house,house,pop,tropical house",0.71,0.625,8,-8.331,1,0.0346,0.0039299999999999995,0.47100000000000003,0.318,0.139,120.023,4
Bound,61K9jWJy33FUAm1RIdn2cL,2019-07-24T14:59:21Z,Bound,2018-11-02,298213,32,RY X,2KjAo6wVc9d2WcxdxSArpV,217630,66,"chamber pop,indie anthem-folk,indie folk,indie r&b,vapor soul",0.517,0.389,5,-17.285,0,0.0391,0.887,0.38,0.0982,0.0363,116.917,4
Snow In Gothenburg,4IbcdVjkNp0EmHvObb0FIK,2019-07-24T14:59:21Z,Places We Don't Know,2018-03-23,223218,51,Kasbo,1ikID9RZZMvkuBGDWrqajq,72630,64,"catstep,edm,electropop,indie electro-pop,indie poptimism,pop edm,swedish electropop,tropical house,vapor soul,vapor twitch",0.39299999999999996,0.632,5,-8.118,1,0.0378,0.3,0.00339,0.36700000000000005,0.156,100.056,4
Letting People Go (feat. Prinze George),3xVfvbf4EEcgh4vnvgdjeO,2019-07-24T14:59:21Z,Letting People Go (feat. Prinze George),2019-03-15,240024,56,Carnage,7CCjtD0hCK005Bvg2WG1a7,236889,69,"edm,pop rap,rap,southern hip hop,trap music,underground hip hop",0.795,0.695,9,-9.097000000000001,1,0.0384,0.324,0.00746,0.107,0.418,119.999,4
Kuaga - Yotto Remix,07cYmq0CtK0CEdy4eW3XsK,2019-07-24T14:59:21Z,Miami 2016,2016-03-04,380570,32,Pierce Fulton,5p0zkKpBuRguKebwRe0RI2,34058,58,"big room,edm,electro house,pop edm,progressive electro house,progressive house",0.774,0.818,1,-6.891,1,0.0779,0.00528,0.159,0.11,0.546,122.0,4
Feld,0upmaRJ3u80GMkzpC6lIF1,2019-07-24T14:59:21Z,Feld / Anthracite,2019-04-30,255737,49,Lane 8,27gtK7m9vYwCyJ04zz0kIb,116984,64,"gauze pop,house,progressive house,tropical house",0.532,0.772,0,-7.644,1,0.0316,0.439,0.9329999999999999,0.142,0.078,121.995,4
Ignis,6BT4H5z2UCDvyTxl2WfsQA,2019-07-24T14:59:21Z,Ignis,2018-11-09,211636,49,Rompasso,7dJzxVffEZI5MuHOJiQB5A,11093,53,groove room,0.6679999999999999,0.865,7,-5.614,1,0.102,0.009170000000000001,0.0017699999999999999,0.203,0.24100000000000002,110.056,4
Trauma - Joachim Pastor Remix,4cJXV6VDNDfDsMIbgGR6x1,2019-07-24T14:59:21Z,Trauma (Joachim Pastor Remix),2018-11-09,435176,5,N'to,7ry8L53T4oJtSIogGYuioq,81500,57,"deep euro house,minimal melodic techno,minimal techno,new french touch,tech house,tropical house",0.6890000000000001,0.746,1,-9.377,0,0.0474,0.14,0.893,0.10800000000000001,0.045,125.006,4
Fondness,6imvrMl7lgBPWsl4P7gkdC,2019-07-24T14:59:21Z,Fondness,2019-01-02,142366,22,Late June,5zMJZTfga0uJURmLLymnoh,11370,48,"vapor soul,vapor twitch,wave",0.408,0.5770000000000001,2,-10.776,1,0.263,0.0656,0.006959999999999999,0.102,0.0665,108.06,4
Hypnotised,1SGVOqchDwrBehJIOnGuyT,2019-07-24T14:59:21Z,Bloom,2016-01-22,246962,46,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,434169,72,"australian electropop,tropical house",0.708,0.636,2,-9.254,1,0.0379,0.264,0.0746,0.109,0.557,119.979,4
Palms,1DxdiIZi2cjwz24jeD5iAG,2019-07-24T14:59:21Z,Palms,2018-11-16,255030,9,Crvvcks,1coHxhBPteDGeU23Kf1E98,2350,43,"deep groove house,uk dance",0.737,0.774,7,-7.505,1,0.0542,0.00542,0.721,0.0751,0.29,124.005,4
Stars (feat. Haley),3CBSazHvVcqFDP9EnOmk5N,2019-07-24T14:59:21Z,Summer Feels - EP,2016-08-26,232177,3,Project 46,2RhRT6DNOVoDTfS0rG31pZ,41041,47,"big room,catstep,chillstep,complextro,edm,electro house,pop edm,progressive electro house,tracestep",0.42700000000000005,0.743,4,-6.33,1,0.0562,0.385,0.00187,0.322,0.23199999999999998,122.012,4
Leaving Home,2S3UsA5sFyCGdpdWqkusTe,2019-07-24T14:59:21Z,Vette / Leaving Home,2019-02-08,388965,42,16BL,0u2qG4roqULELVVO9fMgSG,34541,50,"deep melodic euro house,progressive house,progressive trance house,tech house",0.733,0.836,2,-10.770999999999999,1,0.0372,0.0198,0.867,0.061,0.156,116.001,4
