track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Polka Dots and Moonbeams,283h1iiG7BVoKvTVAr5bSc,2019-04-05T07:01:00Z,The Moon and I,2019-04-05,329680,60,Gabriel Latchin Trio,79PWBQ4rekAQItLBfqIdzl,313,48,,0.576,0.132,2,-19.928,0,0.0399,0.97,0.898,0.122,0.122,63.078,4
Up Jumped Spring,4NAhOoe6Tp5SU4z0r7Nygx,2019-04-12T06:01:00Z,Everybody Gets the Blues,2019-04-12,528946,58,Eric Reed,6aIBBSprVv4xXTT6vzONXU,4175,54,,0.389,0.169,10,-14.333,1,0.0453,0.913,0.0781,0.114,0.186,77.79,3
New Morning,4aUrYkpfMzm2DVfG1Pplzk,2019-04-05T07:01:00Z,New Morning,2019-04-04,570786,57,Eric Reed,6aIBBSprVv4xXTT6vzONXU,4175,54,,0.374,0.118,2,-16.48,1,0.0365,0.97,0.829,0.083,0.0954,145.312,5
Come What May,4CY09ZCdgvjtCaw0fGITbN,2019-03-29T14:49:22Z,Come What May,2019-03-29,406920,57,Joshua Redman Quartet,53HPdlKWDIGFF4GvVrCtEV,4773,47,"bebop,contemporary jazz,contemporary post-bop,cool jazz,hard bop,jazz,jazz fusion",0.53,0.225,10,-13.663,0,0.0414,0.941,0.691,0.284,0.195,135.262,4
Up Jumped Spring,4eEQe7imsy6IbltZeH4Rfh,2019-03-22T15:12:20Z,Up Jumped Spring,2019-03-21,528946,57,Eric Reed,6aIBBSprVv4xXTT6vzONXU,4175,54,,0.389,0.169,10,-14.333,1,0.0456,0.913,0.0781,0.114,0.187,77.793,3
Infant Eyes,6J8Z1UJG7uTS1mhZsgmJCp,2018-07-20T17:31:05Z,Heartsongs,2018-07-20,457267,58,Fred Hersch Trio,6iBvBotxtLvyFZoUPytqgP,4699,47,"contemporary jazz,contemporary post-bop,jazz trio",0.429,0.118,10,-19.942,0,0.039,0.898,0.569,0.298,0.172,112.864,3
Lighter Shades,4cG4S3LHdqibrEXgj87ZNx,2019-03-08T15:51:40Z,Lighter Shades,2019-03-08,348253,55,Jan Harbeck Quartet,7JGHjWlWkG5A8cB7HzQL0x,588,44,,0.508,0.162,7,-12.7,0,0.0302,0.928,0.418,0.101,0.38,71.541,4
>>>>>>Becoming,07BmM24UshepfB2PeBxu7Y,2019-04-05T07:01:00Z,A Wall Becomes A Bridge,2019-04-05,292413,55,Kendrick Scott Oracle,0IyuDlCVbMa3TAoVaDKEeL,4759,45,"contemporary jazz,contemporary post-bop,indie jazz",0.349,0.123,1,-14.247,1,0.0333,0.968,0.375,0.275,0.138,45.646,4
I Fall in Love Too Easily,2BjX0EYypxakiidBW18QmC,2019-03-08T15:54:07Z,Waves of Calm,2019-03-08,323640,55,Jim Snidero,210tC5HRo1NpbeqCvWlJuv,1026,44,jazz saxophone,0.424,0.0301,0,-15.316,0,0.0483,0.96,0.0299,0.21,0.349,67.541,4
Soultrane,43tLjduNA04oMB8ljgMI6P,2019-03-22T15:12:20Z,Soultrane,2019-03-22,323696,49,Walt Weiskopf,0tdWD3Wpf0kyUYI6zeT1w3,1068,46,jazz saxophone,0.546,0.101,5,-15.582,0,0.0482,0.862,0.416,0.119,0.27,114.105,4
Peace,1y0FhVFVZ2eG82sn0M7H7v,2019-02-01T07:01:00Z,Peace,2019-01-31,436000,55,Steve Davis,37SVnwHrnnfBR1Gb0Yq7GD,1339,44,,0.442,0.0595,5,-18.279,1,0.0328,0.976,0.909,0.102,0.102,99.034,4
Cianna,25cJePcRAgKUKtjH8Wm1MQ,2019-03-01T07:01:00Z,The Secret Between the Shadow and the Soul,2019-03-01,452066,54,Branford Marsalis Quartet,795yvukGj0UOfcP8uftDq9,11658,47,,0.563,0.451,3,-9.438,1,0.0317,0.883,0.835,0.129,0.47,99.868,4
Part Trio,03k3pTFdvFcZIyt6WgNIL4,2019-04-05T07:01:00Z,Colour,2019-04-05,306111,53,Anat Fort,32OuYoQkedAGs4hKig6oUi,719,41,jazz piano,0.356,0.216,1,-21.862,0,0.0391,0.909,0.877,0.101,0.109,105.092,4
After You've Gone,1z2FcRqCR6byfXDSvHq8E4,2018-04-06T16:34:20Z,After You've Gone,2018-04-06,424243,56,Eddie Henderson,4LMsUGCTzMsLYcL90zb8sF,5913,46,"jazz funk,soul jazz",0.382,0.158,10,-12.962,1,0.0466,0.986,0.823,0.127,0.314,46.95,4
Popkoral,6escBA2tVhUpcc2M5YmtVk,2019-03-01T07:01:00Z,Popkoral,2019-03-01,267358,54,Helge Lien Trio,4kWBvU5JdoohnGYl7SMlfY,6949,45,"contemporary jazz,dark jazz,fourth world,jazz trio,norwegian jazz",0.367,0.116,5,-21.437,1,0.0336,0.95,0.832,0.104,0.188,134.488,4
When You Are Near,7dWzkzCjOVVkJDTEeWrCZ0,2018-11-16T15:24:40Z,At the Edge of the World,2018-11-16,502619,55,Aaron Goldberg,0BTfBwYC5Mw5ezDg91JBma,4692,45,"contemporary jazz,contemporary post-bop",0.409,0.0777,9,-23.493,0,0.0408,0.952,0.866,0.0979,0.088,106.333,4
Pretty Women,6qTF7EjSSecc1rip7xckgN,2018-10-19T15:09:06Z,Crime Zone,2018-10-19,381050,56,Connie Han,05u1DXPSD35OnIBPXFogTG,701,44,,0.515,0.184,0,-16.969,1,0.0426,0.858,0.18,0.12,0.218,122.744,3
Polka Dots And Moonbeams,5FXIXX9FniNJfHd9DJrOop,2018-07-27T15:21:06Z,Polka Dots and Moonbeams,2018-07-27,588760,59,Chet Baker,3rxeQlsv0Sc2nyYaZ5W71T,443852,67,"adult standards,bebop,christmas,cool jazz,jazz,jazz trumpet,vocal jazz",0.476,0.19,2,-17.266,0,0.0432,0.989,0.733,0.588,0.249,109.795,4
Uphill,6g6U5Ip7Tvm1xsctpflOuk,2018-10-12T14:12:48Z,Circles,2018-10-11,241200,54,Karin Hammar,6PpRVXmqjgmgFPg9gEJfWc,549,44,"jazz brass,swedish jazz",0.427,0.0445,8,-18.994,1,0.0381,0.989,0.902,0.112,0.153,117.815,3
Seeds Of Change,1UJMQtiCSotiEyEvB65Na1,2018-12-14T16:36:53Z,Seeds Of Change,2018-12-14,313693,57,Joe Lovano,36YE6h8aN09ZKG4EhneDSf,15532,52,"avant-garde jazz,bebop,contemporary jazz,contemporary post-bop,cool jazz,free jazz,hard bop,italian jazz,japanese jazz,jazz,jazz fusion,jazz saxophone,soul jazz,vocal jazz",0.336,0.0452,8,-20.593,0,0.033,0.987,0.086,0.16,0.219,87.25,4
Easy Living,78RAfPGFpTUqnPSTV0LcmT,2018-07-20T17:24:53Z,How My Heart Sings,2018-07-18,293253,55,Massimo Faraò Trio,58dTi4Xr0bd6yd8XKgimAr,2162,48,dinner jazz,0.523,0.188,5,-14.701,1,0.0345,0.609,0.597,0.285,0.0744,112.092,4
