track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
All Over The World,0XS2z0E0ox7F4JHYKKR4wK,2019-06-14T02:54:54Z,All Over The World,2019-02-08,145727,64,Fedde Le Grand,7dc6hUwyuIhrZdh80eaCEE,245007,67,"big room,deep big room,disco house,dutch house,edm,electro house,house,progressive electro house,progressive house,tech house,tropical house",0.657,0.976,6,-3.842,0,0.0437,0.171,0.0315,0.318,0.794,125.98299999999999,4
This Groove,6ZvLKwgPKlyZtDPkTWjPI7,2019-06-14T02:54:54Z,This Groove,2019-01-25,188174,74,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,735027,75,"big room,dance pop,deep big room,edm,electro house,future house,house,progressive electro house,progressive house,tropical house",0.823,0.909,1,-4.508,1,0.0635,0.007790000000000001,0.0407,0.126,0.787,124.025,4
Dirty Talk,6afz6WNkVxp0q3anZU72bh,2019-06-14T02:54:54Z,Dirty Talk,2018-12-07,175039,64,LOthief,3thMwq9J3a0UeLnPGhA4Qn,18439,60,brazilian edm,0.562,0.8859999999999999,11,-7.436,0,0.129,0.0019399999999999999,0.94,0.637,0.0628,122.977,4
Like This Like That,36pnXanMd4616gs6dIOVfV,2019-06-14T02:54:54Z,Like This Like That,2019-02-08,139047,55,MOTi,1vo8zHmO1KzkuU9Xxh6J7W,170918,73,"big room,deep big room,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house,uk dance",0.682,0.9229999999999999,2,-4.027,0,0.159,0.0307,0.000455,0.262,0.642,126.09899999999999,4
Anthem (We Love House Music),7uObfbegIGow74NAVBCnRV,2019-06-14T02:54:54Z,Anthem (We Love House Music),2018-06-08,157024,21,Don Diablo,1l2ekx5skC4gJH8djERwh1,1348947,78,"big room,deep big room,edm,electro house,future house,pop,pop edm,progressive electro house,progressive house,tropical house",0.67,0.968,8,-2.515,0,0.055999999999999994,0.0778,0.209,0.317,0.39899999999999997,125.991,4
Party Starter,2dJyoz4FU3yDrkH6ObwKpo,2019-06-14T02:54:54Z,Party Starter,2019-04-05,155238,58,Kenneth G,3qqvCq7mFIy9UfaXoj5w1w,6682,48,,0.682,0.889,11,-5.125,0,0.0717,0.0431,0.006520000000000001,0.5920000000000001,0.845,126.17299999999999,4
Bella Ciao,6wAtKnPKFvyCEoP9uDGDQ0,2019-06-14T02:54:54Z,Bella Ciao,2018-07-13,173333,11,Leandro Da Silva,5hCv8oMMxHb3FoHMGLN8Vx,11339,56,"electro house,funky tech house,house",0.659,0.956,6,-3.302,0,0.035,0.0020399999999999997,0.0148,0.375,0.35700000000000004,125.99799999999999,4
(It Happens) Sometimes,4cWafPsRizm6woL5j4HNTD,2019-06-14T02:54:54Z,(It Happens) Sometimes,2018-08-31,202276,65,Jack Back,4bXUaTjc7TQTvLqqCAlfYt,46028,63,"big room,edm,electro house,progressive electro house",0.833,0.8859999999999999,11,-6.767,1,0.0573,0.00043099999999999996,0.00451,0.11,0.604,122.025,4
Believe It,3H2IvML3Xi2Tqa7E4PcrTI,2019-06-14T02:54:54Z,Believe It,2018-02-09,179758,59,Holl & Rush,0gT2b7kbRgn15nSNPe3lgf,24721,52,"big room,deep big room,electro house,house,pop edm,progressive electro house,sky room",0.619,0.951,10,-3.403,0,0.0409,0.006999999999999999,0.00054,0.19399999999999998,0.38,126.06700000000001,4
Gotta Know,4R83vyqZAR3ZVotFnwMa4r,2019-06-14T02:54:54Z,Gotta Know,2017-06-16,220800,59,Andy Bianchini,2j3ss5ZwVoRqRuDWHP7U5P,2070,49,,0.638,0.8809999999999999,3,-4.157,0,0.0433,0.0155,0.0158,0.24,0.207,124.976,4
