track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Ritual,3M9Apu4OZfylLTFKvgEtKa,2019-07-05T22:04:08Z,Ritual,2019-05-31,198995,86,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4447645,85,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,4
Hold Me While You Wait - Steve Void Remix,5dy3WUywjZcalTno1io8TQ,2019-07-05T22:04:08Z,Hold Me While You Wait (Steve Void Remix),2019-06-21,172800,60,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,743572,89,pop,0.675,0.76,11,-7.037,1,0.0434,0.104,0,0.33,0.468,124.933,4
Talk - Disclosure VIP,3uXHSf9sSIpOJWuC1H8DiU,2019-07-05T22:04:08Z,Talk (Disclosure VIP),2019-03-27,273229,62,Khalid,6LuN9FCkKOj5PcnpouEgny,7177406,98,pop,0.775,0.867,4,-7.388,0,0.204,0.0158,0.0117,0.0355,0.565,128.956,4
Want You Back - Cedric Gervais Remix,2Bms4pXVpPeaoiHAnZwFcA,2019-07-05T22:04:08Z,Want You Back (Remixes),2019-02-28,301213,47,Grey,4lDBihdpMlOalxy1jkUbPl,39271,78,"pop,pop edm",0.776,0.849,0,-4.557,1,0.0628,0.00193,0.285,0.109,0.534,121.981,4
365 - Zedd Remix,0ywzvARVqoxQOJpaswRe9E,2019-07-05T22:04:08Z,365 (Remixes),2019-03-22,236286,61,Zedd,2qxJFvFYMEDqd7ui6kSAcq,4468837,86,"complextro,dance pop,edm,electro house,german techno,pop,post-teen pop,tropical house",0.784,0.595,2,-6.816,1,0.0413,0.00476,0.00727,0.059,0.183,124.019,4
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,2019-07-05T22:04:08Z,Pretty Girl (Cheat Codes X CADE Remix),2017-03-02,193613,76,Maggie Lindemann,0uGk2czvcpWQA383Im6ajf,730730,72,"australian pop,dance pop,indie cafe pop,pop,post-teen pop,viral pop",0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,4
Only Want You - Sam Feldt Remix,2wOVXsIRIoniqipE9I5ZVx,2019-07-05T22:04:08Z,Only Want You (Sam Feldt Remix),2019-04-05,179150,63,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,4471968,88,"dance pop,edm,pop,post-teen pop,r&b,tropical house,uk pop",0.578,0.786,9,-4.665,1,0.13,0.232,0.000106,0.122,0.347,105.945,4
Creep On Me (feat. French Montana & DJ Snake) - MIME Remix,1UUMw2PSv5TddNzuqu4MVY,2019-07-05T22:04:08Z,Creep On Me (Remixes) (feat. French Montana & DJ Snake),2018-12-07,237923,48,GASHI,0JOxt5QOwq0czoJxvSc5hS,85331,73,"trap music,trap soul",0.844,0.459,9,-9.481,0,0.188,0.183,5.02e-06,0.0772,0.335,129.998,4
Happy Now - R3HAB Remix,7AkLPOwjju8taQCJCaIUts,2019-07-05T22:04:08Z,Happy Now (R3HAB Remix),2019-02-01,189268,67,Kygo,23fqKkggKUBHNkbKtXEls4,5089122,91,"edm,pop,tropical house",0.623,0.84,9,-5.446,1,0.123,0.0173,0,0.363,0.539,123.068,4
Happier - Matt Medved Remix,508lUjbGcPrL0CfvHC7UvI,2019-07-05T22:04:08Z,Happier (Remixes Pt. 2),2018-11-30,170163,60,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13696534,93,"brostep,egyptian pop,progressive electro house",0.816,0.833,5,-5.972,1,0.0511,0.126,9.09e-06,0.0625,0.793,122.032,4
