track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Best Friend's Ass,1hZ7LSB05aNMX2Nw73DFiR,2019-05-14T01:26:23Z,Best Friend's Ass,2019-05-10,171740,63,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2403762,76,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.968,0.677,6,-6.343999999999999,0,0.207,0.0306,0.0,0.0852,0.767,124.975,4
Right Now - GATTÜSO Remix,7aXc1H2HNr26F8LNnkx0MA,2019-05-14T01:26:23Z,Right Now (GATTÜSO Remix),2019-03-22,198398,52,VAVO,44re77WwNG34C182Jq3WIK,6187,50,,0.6629999999999999,0.884,8,-4.391,1,0.0429,0.0841,0.00255,0.128,0.693,127.988,4
Dancing Alone - CYA Remix,65WqEzofajxX7uJG2U1zmJ,2019-05-14T01:26:23Z,Dancing Alone (Remixes),2018-09-21,241920,47,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,1767300,75,"big room,dance pop,edm,electro house,pop,tropical house",0.5920000000000001,0.951,1,-5.6610000000000005,0,0.113,0.00477,0.00011499999999999999,0.647,0.5529999999999999,125.12799999999999,4
Brave,0GRoERSBBky3YgdKW2w2Vc,2019-05-14T01:26:23Z,Brave,2019-04-26,184026,71,Don Diablo,1l2ekx5skC4gJH8djERwh1,1331396,77,"big room,deep big room,edm,electro house,future house,pop,progressive electro house,tropical house",0.654,0.8740000000000001,6,-3.885,1,0.0543,0.16899999999999998,1.77e-06,0.134,0.542,119.85,4
When You Leave - Breathe Carolina Remix,1hr5Y2i4NlE3LPvQZ9Q5Ao,2019-05-14T01:26:23Z,When You Leave (Breathe Carolina Remix),2019-04-19,155080,61,Nikki Vianna,5YyGLejM00snCF1RJKlocJ,1955,59,,0.679,0.909,1,-2.929,1,0.105,0.0334,0.0,0.26899999999999996,0.8190000000000001,119.885,4
Fantasy - R3HAB Remix,3iGMErA58MMTYT1mBkUkRf,2019-05-14T01:26:23Z,Fantasy (R3HAB Remix),2019-04-19,188346,61,Sofi Tukker,586uxXMyD5ObPuzjtrzO1Q,227482,70,indietronica,0.7,0.7509999999999999,4,-3.853,0,0.0566,0.113,0.0012900000000000001,0.24100000000000002,0.24600000000000002,124.027,4
Symphony (feat. Zara Larsson) - CYA Remix,4DQovlBpw5nUXyzlmCp8EU,2019-05-14T01:26:23Z,Symphony (feat. Zara Larsson) [Remixes],2017-08-25,365480,42,Clean Bandit,6MDME20pz9RveH9rEXvrOM,2701398,83,"dance pop,edm,pop,post-teen pop,tropical house,uk dance,uk funky",0.512,0.852,0,-4.6739999999999995,0,0.0492,0.009470000000000001,0.165,0.10099999999999999,0.265,125.022,4
Locked Out Of Heaven,6ovA76DoiohvLvG2GR3DL4,2019-05-14T01:26:23Z,Locked Out Of Heaven,2019-03-15,159873,52,Dash Berlin,1xT5p0VBpnZDrvVSjX9sri,401640,64,"big room,edm,progressive house,progressive trance,trance,uplifting trance",0.5670000000000001,0.987,2,-1.232,0,0.0614,0.00576,0.0834,0.18899999999999997,0.111,127.98299999999999,4
Old Town Road - Diplo Remix,3kgKVcBpBGuSeaEC0AZGlb,2019-05-14T01:26:23Z,Old Town Road (Diplo Remix),2019-04-29,204026,74,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,227904,90,country rap,0.7659999999999999,0.7709999999999999,6,-9.107999999999999,1,0.0576,0.004070000000000001,3.76e-06,0.113,0.297,140.036,4
Creep On Me (feat. French Montana & DJ Snake) - Dark Heart Remix,6bDADdSfuz9WssHlb8EfZt,2019-05-14T01:26:23Z,Creep On Me (Remixes) (feat. French Montana & DJ Snake),2018-12-07,167058,45,GASHI,0JOxt5QOwq0czoJxvSc5hS,78536,71,"trap music,trap soul",0.358,0.7709999999999999,9,-3.208,0,0.0464,0.0716,0.0,0.145,0.298,102.175,4
