track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
FRIENDS - Borgeous Remix,1QdG3nKKTrNWlN9x9t1cH6,2019-07-12T13:02:15Z,FRIENDS (Borgeous Remix),2018-04-06,202440,55,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13963021,93,"brostep,egyptian pop,progressive electro house",0.439,0.847,0.0,-6.257999999999999,1.0,0.242,0.0246,0.0,0.139,0.298,114.09899999999999,4.0
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,1mC2UjWt25Oixtqu7C6suL,2019-07-12T13:02:15Z,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],2019-05-08,210967,61,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,19211935,91,"dance pop,edm,pop",0.684,0.818,4.0,-4.477,0.0,0.128,0.0469,3.39e-06,0.11900000000000001,0.336,123.93799999999999,4.0
Here With Me,5icOoE6VgqFKohjWWNp0Ac,2019-07-12T13:02:15Z,Here With Me,2019-03-08,156346,88,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13963021,93,"brostep,egyptian pop,progressive electro house",0.7909999999999999,0.565,5.0,-3.9330000000000003,0.0,0.0439,0.0623,0.0,0.156,0.18100000000000002,99.961,4.0
American Boy - Brooks Remix,6B2NRQjtSOtqi67d72r5cx,2019-07-12T13:02:15Z,American Boy (Brooks Remix),2019-06-14,200624,56,Estelle,5T0MSzX9RC5NA6gAI6irSn,159687,72,r&b,0.609,0.764,5.0,-4.564,0.0,0.111,0.0994,0.0,0.19699999999999998,0.531,128.082,4.0
Carry On - Nicky Romero Remix,4fK2NU9UyQJV74ZGiSVYsr,2019-07-12T13:02:15Z,Carry On (Nicky Romero Remix),2019-05-30,175312,68,Kygo,23fqKkggKUBHNkbKtXEls4,5132013,91,"edm,pop,tropical house",0.447,0.684,9.0,-4.721,0.0,0.09,0.175,0.0,0.478,0.43700000000000006,125.655,4.0
Home We'll Go (Take My Hand) - Michael Brun Remix,7ApiM6Uz81EyYsqwyDdHXj,2019-07-12T13:02:15Z,Home We'll Go (Take My Hand) [Remixes],2015-12-11,233734,50,Steve Aoki,77AiFEVeAVj2ORpC85QVJs,3161607,83,"big room,dance pop,edm,electro house,pop,tropical house",0.6579999999999999,0.611,7.0,-4.754,1.0,0.0356,0.36,0.00813,0.28,0.611,122.039,4.0
With You,1xK7enJZVdv37fnnxoZlPq,2019-07-12T13:02:15Z,With You,2019-06-14,180840,71,Kaskade,6TQj5BFPooTa08A7pk8AQ1,705532,75,"big room,chicago house,dance pop,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house,vocal house",0.36200000000000004,0.9209999999999999,1.0,-3.815,0.0,0.486,0.12300000000000001,0.0,0.19,0.529,172.19099999999997,3.0
Giant (with Rag'n'Bone Man) - Audien Remix,43IWqSUbgHujwQ6YFGVPth,2019-07-12T13:02:15Z,Giant (with Rag'n'Bone Man) [Remixes],2019-03-08,213333,60,Calvin Harris,7CajNmpbOovFoOoasH2HaY,17369602,91,"edm,electro house,house,pop,progressive house,uk dance",0.698,0.792,1.0,-3.583,0.0,0.0418,0.0296,3.9e-05,0.0925,0.33299999999999996,125.976,4.0
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-07-12T13:02:15Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,98,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,10319726,99,"electropop,pop",0.701,0.425,7.0,-10.965,1.0,0.375,0.32799999999999996,0.13,0.1,0.562,135.128,4.0
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],6m8SIT10j41SPpPFOknTmP,2019-07-12T13:02:15Z,Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],2019-07-12,247384,38,ILLENIUM,45eNHdiiabvmbp4erw26rg,594728,79,"edm,electro house,electropop,pop,pop edm,tropical house",0.563,0.81,2.0,-2.9210000000000003,1.0,0.0522,0.005220000000000001,0.0,0.0846,0.495,129.975,4.0
