track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Street Dancer - Radio Edit,730nSsqkSNhUUebgyrLgPJ,2019-08-23T18:29:21Z,The Singles,2011,207533,1,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14708556,89,"big room,edm,pop",0.606,0.952,0,-3.992,1,0.0544,0.0729,0.618,0.35,0.646,128.237,4
Sun Is Shining,4b2tcjrG1qUkSdsqEFP2dB,2019-08-23T18:29:21Z,More Than You Know,2017-07-28,254653,70,Axwell /\ Ingrosso,2XnBwblw31dfGnspMIwgWz,1904068,74,"big room,dance pop,edm,electro house,pop,tropical house",0.467,0.757,2,-3.01,1,0.0517,0.0866,0,0.0742,0.383,131.993,4
I'll Never Dream I'm in Love - Radio Edit,6zczw9zfjGpoHL5EydIU2v,2019-08-23T18:29:21Z,I Remember,2014-07-22,317109,44,Kaskade,6TQj5BFPooTa08A7pk8AQ1,717106,74,"big room,chicago house,dance pop,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house,vocal house",0.446,0.853,4,-3.977,1,0.07,0.0289,2.07e-05,0.707,0.228,127.987,4
All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,1mzGywacjpeik00PVLBPpF,2019-08-23T18:29:21Z,All of Me (Tiësto's Birthday Treatment Remix) [Radio Edit],2014-02-25,251613,62,John Legend,5y2Xq6xcjJb2jVM54GHK3t,4647638,83,"neo mellow,neo soul,pop,r&b,urban contemporary",0.606,0.72,5,-6.253,0,0.0283,0.000151,0.00165,0.0745,0.179,127.986,4
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-08-23T18:29:21Z,TIM,2019-06-06,277261,84,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14708556,89,"big room,edm,pop",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4
Bong,29Y1EuVknd2d5OjfWgZdHb,2019-08-23T18:29:21Z,Bong,2012,362929,34,Deniz Koyu,39PhMWg1aAuuZcph0OXGu6,71465,61,"big room,deep big room,edm,electro house,german techno,progressive electro house,progressive house,sky room",0.464,0.995,6,-3.705,1,0.163,0.0126,0.777,0.241,0.351,127.994,4
Walls,35eDC4sKVDU1BGNHhbNbCP,2019-08-23T18:29:21Z,Walls,2012-06-19,255234,5,Sultan + Shepard,14Tg9FvbNismPR1PJHxRau,34952,63,"big room,canadian electronic,deep big room,deep house,deep tropical house,edm,electro house,house,pop edm,progressive electro house,progressive house,tropical house",0.454,0.726,9,-5.482,1,0.035,0.0256,7.86e-05,0.0604,0.0971,127.926,4
Silhouettes - Original Radio Edit,06h3McKzmxS8Bx58USHiMq,2019-08-23T18:29:21Z,Silhouettes,2012-01-01,211880,62,Avicii,1vCWHaC5f2uS3yhpwWbIA6,14708556,89,"big room,edm,pop",0.604,0.788,5,-6.248,0,0.0639,0.171,0.0689,0.132,0.801,128.085,4
If I Lose Myself - Alesso vs OneRepublic,64VzxgaIpjB52YUtsF9St7,2019-08-23T18:29:21Z,Forever,2015-05-26,213480,53,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,8267747,86,"dance pop,neo mellow,piano rock,pop,pop rap,pop rock",0.518,0.829,2,-3.322,1,0.0414,0.198,5.57e-06,0.13,0.149,125.991,4
Fire In My Soul,0M0FvSNRZmDz0Z769rewlI,2019-08-23T18:29:21Z,Fire In My Soul,2018-10-26,175253,68,Oliver Heldens,5nki7yRhxgM509M5ADlN1p,758662,74,"big room,dance pop,edm,electro house,future house,house,progressive electro house,progressive house,tropical house",0.592,0.977,6,-3.389,1,0.312,0.206,0.000103,0.0703,0.496,126.178,4
