track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Go Bang,0B6DcuwyubDDbomysc57KC,2019-07-12T03:35:31Z,Changa,2017-11-10,189092,27,PNAU,6n28c9qs9hNGriNa72b26u,106714,68,"alternative dance,aussietronica,australian dance,australian electropop,australian pop,dance-punk,edm,indietronica,new rave",0.598,0.893,2,-3.072,1,0.0319,0.0714,0.0159,0.146,0.485,120.97200000000001,4
Ocean (feat. Khalid),3nc420PXjTdBV5TN0gCFkS,2019-07-12T03:35:31Z,Ocean (feat. Khalid),2018-06-15,216419,78,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10676353,90,"big room,edm,pop,progressive house,tropical house",0.506,0.693,0,-7.265,0,0.0412,0.584,9.58e-05,0.0891,0.221,139.912,4
Speechless (feat. Erika Sirola),5SZlmqxoXgSLbLouwpx7CK,2019-07-12T03:35:31Z,All This Love (feat. Harlœ),2019-05-03,217133,46,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,2071202,85,"dance pop,deep euro house,deep house,edm,german dance,pop,tropical house",0.569,0.715,1,-4.82,1,0.0598,0.0195,1.46e-06,0.077,0.233,125.016,4
Ching Ching,3dxvjyC8LJ5kH2iFqfne8j,2019-07-12T03:35:31Z,Ching Ching,2018-03-30,192026,52,Wolfgang Gartner,3534yWWzmxx8NbKVoNolsK,165114,57,"big room,complextro,edm,electro house,house,progressive electro house,progressive house",0.727,0.75,1,-6.221,1,0.0392,0.00255,1.23e-06,0.11599999999999999,0.354,124.98,4
Liberate,6X0WsSsMMwam5AzVxlUUzo,2019-07-12T03:35:31Z,Liberate,2014-01-01,313388,50,Eric Prydz,5sm0jQ1mq0dusiLtDJ2b4R,315520,68,"big room,disco house,edm,electro house,house,progressive electro house,progressive house,vocal house",0.515,0.877,5,-5.412999999999999,1,0.0356,0.0024,0.802,0.623,0.434,126.99600000000001,4
Gold Dust,3lcuERI7leyYwfFGv1ZP5e,2019-07-12T03:35:31Z,Pharmacy,2015-06-05,234254,51,Galantis,4sTQVOfp9vEMCemLw50sbu,2633422,80,"big room,dance pop,edm,electro house,pop,tropical house",0.242,0.746,2,-4.496,1,0.0361,0.00635,0.0039700000000000004,0.107,0.128,127.99700000000001,4
Wild Wild Son,3QC33AxvY2sdxq22ym3aSL,2019-07-12T03:35:31Z,Wild Wild Son,2018-10-12,213706,59,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,2918954,82,"edm,progressive house,progressive trance,trance",0.446,0.573,3,-5.081,1,0.0279,0.0416,0.0,0.10800000000000001,0.16699999999999998,135.96,4
Chameleon,6400BZ7REh8DshcZKU7Pfp,2019-07-12T03:35:31Z,Chameleon,2017-08-07,198426,46,PNAU,6n28c9qs9hNGriNa72b26u,106714,68,"alternative dance,aussietronica,australian dance,australian electropop,australian pop,dance-punk,edm,indietronica,new rave",0.723,0.9309999999999999,4,-3.185,1,0.0402,0.00205,0.000356,0.273,0.20600000000000002,119.988,4
Reload - Vocal Version / Radio Edit,40AYRnDKhhrH4JZO4KS9Dj,2019-07-12T03:35:31Z,Reload (Vocal Version / Radio Edit),2013-01-01,221272,8,Sebastian Ingrosso,6hyMWrxGBsOx6sWcVj1DqP,738214,69,"big room,deep big room,edm,electro house,progressive electro house,progressive house,tropical house",0.485,0.736,4,-4.617,0,0.0515,0.0731,0.0,0.061,0.434,128.053,4
Piece Of Me,5xCKDXzh2JPFFcyHr39ROH,2019-07-12T03:35:31Z,Piece Of Me,2016-04-08,187510,51,MK,1yqxFtPHKcGcv6SXZNdyT9,140099,74,"deep groove house,house,pop,tropical house",0.6779999999999999,0.917,5,-2.318,0,0.0796,0.007209999999999999,0.0,0.26899999999999996,0.7,121.962,4
