track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Sweet (feat. Alex Hosking),2bpi0OpvfOjuErjDD2FXEf,2019-06-07T12:48:22Z,Sweet (feat. Alex Hosking),2019-05-10,175081,48,Max Styler,3NKKngINK1tP6BFy0WOyWk,9609,60,"brostep,pop edm",0.717,0.909,6,-3.985,0,0.0948,0.00192,0.007,0.261,0.487,121.987,4
Love Is,5JPvIytIUsRMFXdoTMuMFQ,2019-06-07T12:48:22Z,Love Is,2019-01-25,205853,41,Sons Of Maria,2SfhiNVhk8w8xCQ89P3NPU,33918,61,"deep house,deep tropical house,groove room,house,tropical house",0.747,0.885,7,-5.209,0,0.0938,0.0211,5.93e-05,0.0913,0.443,123.04,4
4 MIND (with josh pan and X&G),2JJGWZA1bno6sSGgtb61sy,2019-06-07T12:48:22Z,Turn Off The Lights,2019-05-31,210335,55,Dog Blood,2amyu5pkgYMYdNQZmB3GgY,26412,58,"brostep,edm,electro house,electronic trap,moombahton",0.679,0.898,6,-4.466,0,0.0729,0.00085,0.507,0.248,0.589,123.99,4
All My Friends,7sGTH1fber0bhncNMfNxmt,2019-06-07T12:48:22Z,All My Friends,2019-05-31,204626,67,Madeon,4pb4rqWSoGUgxm63xmJ8xc,442675,66,"big room,complextro,edm,electro house,electropop,filter house",0.669,0.757,8,-4.259,0,0.0469,0.0248,0,0.283,0.708,106.018,4
Space (feat. Quinn XCII),2aivSjmdKjg8pp2ssdSSkh,2019-06-07T12:48:22Z,"ALL THIS MUSIC, Vol. 1",2019-05-31,177000,35,Prince Fox,1nf5yEVCfMbqm1OCYpntBT,23869,58,"electropop,indie electro-pop,indie poptimism,nyc pop,pop edm",0.655,0.569,10,-6.856,1,0.0552,0.237,0,0.124,0.301,97.855,4
The Love,3tr3e9aPWWiKaRDMsJAqdL,2019-06-07T12:48:22Z,The Love,2019-03-08,140487,53,Promise Land,0ktujbOLx1L1K8wj8o8dpJ,10099,53,"big room,deep big room,edm,electro house,pop edm,progressive electro house",0.641,0.938,5,-4.129,1,0.0564,0.0831,0.057,0.388,0.381,123.008,4
Summer Air (feat. Trevor Guthrie),3eW2EDwNRAiQKkgom96dUa,2019-06-07T12:48:22Z,Summer Air (feat. Trevor Guthrie),2019-05-31,201904,39,Hardwell,6BrvowZBreEkXzJQMpL174,2857676,77,"big room,dance pop,deep big room,dutch house,edm,electro house,pop,progressive electro house,progressive house,tropical house",0.632,0.574,4,-8.584,1,0.053,0.0942,0,0.215,0.557,125.989,4
Renaissance,5DprKz35pYir1JQN75V28n,2019-06-07T12:48:22Z,Renaissance,2019-03-18,233859,47,Maxim Lany,3yGz81qZItOli1RL5vgUeB,1056,41,belgian edm,0.404,0.427,2,-12.578,1,0.0683,0.227,0.856,0.0907,0.0388,162.668,4
Go Slow (with Kaskade),4V7phnA6Q5Z2w3Vj9cZwe4,2019-06-07T12:48:22Z,Go Slow (with Kaskade),2019-05-09,218706,63,Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,255126,69,"deep groove house,disco house,future garage,house,pop,progressive house,tropical house,uk dance",0.717,0.757,4,-7.21,0,0.0442,0.0438,1.95e-05,0.422,0.43,124.005,4
Animal (feat. Elanese),2kW6zJCsJ7JbPBlXSK67b6,2019-06-07T12:48:22Z,Animal (feat. Elanese),2019-02-22,187741,39,Max Styler,3NKKngINK1tP6BFy0WOyWk,9609,60,"brostep,pop edm",0.748,0.852,3,-4.329,0,0.0463,0.0123,0.000659,0.394,0.512,123.994,4
