track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Paradise,3DO4r1LcdreYzoMR9gEKjq,2019-07-12T04:09:45Z,Paradise,2019-07-05,171428,41,Rompasso,7dJzxVffEZI5MuHOJiQB5A,10516,53,,0.6729999999999999,0.861,2.0,-5.404,1.0,0.0516,0.00399,0.0113,0.14400000000000002,0.32799999999999996,112.042,4.0
Waking Up,40CAiRmr9j4tSdcJok5PJZ,2019-07-12T04:09:45Z,Waking Up,2019-07-05,198042,56,MJ Cole,49GY4uPAwdlk5lSGtfKWYl,20654,56,"bass house,house,speed garage,uk funky,uk garage",0.629,0.845,11.0,-5.2860000000000005,0.0,0.0339,0.00627,0.14400000000000002,0.12300000000000001,0.21600000000000003,124.00200000000001,4.0
Raindrops,0ASr58kMkkfRcZr8Ghu8qj,2019-07-12T04:09:45Z,Raindrops,2019-04-19,173185,55,Sikdope,3EXfNuPuR3OFEdlyoSutcG,43305,58,"bass house,brostep,deep big room,electro house,electronic trap,zapstep",0.546,0.976,4.0,-0.9,1.0,0.0596,0.00231,0.628,0.18899999999999997,0.142,139.98,4.0
The Bump,6y8SWSks7t2ANvmwunke0m,2019-07-12T04:09:45Z,The Bump,2019-07-01,166852,44,LOthief,3thMwq9J3a0UeLnPGhA4Qn,18969,60,brazilian edm,0.7879999999999999,0.8059999999999999,0.0,-6.074,1.0,0.11599999999999999,0.00511,0.92,0.309,0.374,122.96600000000001,4.0
In Your Eyes - Dante Klein Remix,4WeKDxtxgn7fMbUq2V1pAC,2019-07-12T04:09:45Z,In Your Eyes (Dante Klein Remix),2019-07-05,135238,33,Steve Brian,4xSQ9zt3zGyyiCXazv4mhf,3828,59,,0.655,0.8740000000000001,1.0,-3.478,0.0,0.0445,0.00793,0.0,0.0701,0.607,126.073,4.0
Put Yo Hands Up,4srEnH4a9pgerTW1qSGluW,2019-07-12T04:09:45Z,Joytime III,2019-07-03,196000,67,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13963038,93,"brostep,egyptian pop,progressive electro house",0.583,0.932,8.0,-2.485,1.0,0.0871,0.00149,0.633,0.0815,0.244,150.034,4.0
Pony,26AIHH0JMIP8sd7YBM5uWb,2019-07-12T04:09:45Z,Pony,2019-05-10,210937,56,Valentino Khan,0deIjoDjl9g9Zpw0sCIOHh,135838,64,"brostep,edm,electro house,electronic trap,moombahton",0.8029999999999999,0.9840000000000001,1.0,-3.93,1.0,0.0548,0.00027,0.846,0.0434,0.371,127.994,4.0
This Is House,2RIKIqH22odnHX8xGIfmd7,2019-07-12T04:09:45Z,This Is House,2019-03-22,222195,45,Victor Lou,063wYkWkHrq5L5YWdrqjEt,19797,49,brazilian edm,0.8640000000000001,0.927,2.0,-3.6630000000000003,1.0,0.20600000000000002,0.106,0.175,0.0757,0.0384,122.973,4.0
Saltwater - Rework,7yMOlhEdPW0q6QhZvXHTD5,2019-07-12T04:09:45Z,Saltwater (Rework),2019-07-05,188964,37,Mike Candys,24Sxfn1uAoJmuR9N72drt9,123217,61,"pop house,tropical house",0.585,0.836,8.0,-4.438,1.0,0.0367,0.0249,0.0218,0.159,0.0785,128.009,4.0
Raveille,1dvSYgjmkHhxX9pLh8k0xG,2019-07-12T04:09:45Z,Raveille,2019-07-05,172357,54,Timmy Trumpet,0CbeG1224FS58EUx4tPevZ,475829,75,"australian dance,catstep,edm,melbourne bounce,melbourne bounce international",0.8540000000000001,0.975,7.0,-2.907,1.0,0.0536,0.0529,0.836,0.0542,0.48200000000000004,125.01299999999999,4.0
Falling To Pieces,6VEUzJzGo16QRnFvUpv4pQ,2019-07-12T04:09:45Z,Joytime III,2019-07-03,166000,65,Marshmello,64KEffDW9EtZ1y2vBYgq8T,13963038,93,"brostep,egyptian pop,progressive electro house",0.607,0.875,4.0,-2.6860000000000004,0.0,0.0476,5.12e-05,0.00318,0.445,0.131,146.188,4.0
I Dare You,2CRz2pMU6A46P1cK30HQIT,2019-07-12T04:09:45Z,I Dare You,2019-06-07,296307,59,Jauz,5ttgIeUVka6FLyi00Uu5h8,286769,67,"bass house,brostep,edm,electro house,electronic trap,house,moombahton",0.634,0.953,10.0,-2.9339999999999997,0.0,0.0633,0.195,8.08e-05,0.115,0.5870000000000001,130.016,4.0
Don't Stop (feat. Moe Mitchell),0C4nF89474iqlF4HBVhfEI,2019-07-12T04:09:45Z,Don't Stop (feat. Moe Mitchell),2019-07-01,168048,44,Moguai,4xgFgBZ7CRtgtHcziClOwQ,57544,63,"big room,deep big room,deep tropical house,edm,electro house,german techno,house,progressive electro house,progressive house",0.754,0.9740000000000001,0.0,-4.6419999999999995,1.0,0.168,0.209,1.05e-05,0.331,0.402,122.99799999999999,4.0
Body 2 Body - MEDUZA Remix,5cW5ymFHmahYL0ZIMtpuZN,2019-07-12T04:09:45Z,Body 2 Body (MEDUZA Remix),2019-06-14,163200,50,MK,1yqxFtPHKcGcv6SXZNdyT9,140099,74,"deep groove house,house,pop,tropical house",0.733,0.889,4.0,-5.933,0.0,0.0377,0.0037,0.000376,0.0636,0.604,125.0,4.0
Starlight,4OCeeZu1EueDLkmJCDQbAE,2019-07-12T04:09:45Z,ANTI-SOBER,2019-07-05,238095,36,Türküm,6OmEJA1myxyRYNgU016xHY,13617,53,"bass trap,electronic trap,traprun,turkish trap",0.6890000000000001,0.79,4.0,-3.0610000000000004,0.0,0.044000000000000004,0.616,0.0,0.203,0.531,126.00399999999999,4.0
