track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Heaven Can Wait - The Aston Shuffle Remix,3C4fzUgIP3ahkhOBdP38GM,2019-07-05T06:51:31Z,Heaven Can Wait (The Aston Shuffle Remix),2019-05-24,218373,61,Sia,5WUlDfRSoLAfcVSX1WnrxN,12666922,90,"australian dance,australian pop,pop",0.622,0.8590000000000001,5.0,-7.626,1.0,0.0636,0.000609,0.746,0.0909,0.442,121.96799999999999,4.0
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-07-05T06:51:31Z,TIM,2019-06-06,277261,90,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13986575,93,"big room,edm,pop",0.5920000000000001,0.873,9.0,-5.65,1.0,0.0275,0.0715,0.00982,0.142,0.516,122.01100000000001,4.0
Keeping Secrets,1ktmtPm0PicIcv8JQLAqEd,2019-07-05T06:51:31Z,Keeping Secrets,2019-04-26,213034,38,KANDY,4mPFPLedaotlYFB3GLn6r7,6462,43,,0.6920000000000001,0.764,0.0,-4.239,1.0,0.0461,0.0133,0.0,0.10400000000000001,0.43200000000000005,124.001,4.0
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-07-05T06:51:31Z,Higher Love,2019-06-28,228267,84,Kygo,23fqKkggKUBHNkbKtXEls4,5089124,91,"edm,pop,tropical house",0.693,0.6779999999999999,8.0,-7.159,1.0,0.0324,0.0154,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,4.0
Solid Gold,7DQ5CZjAQdhgDgdnSXxJ7Z,2019-07-05T06:51:31Z,Solid Gold,2019-05-02,208367,68,PNAU,6n28c9qs9hNGriNa72b26u,105985,68,"alternative dance,aussietronica,australian dance,australian electropop,australian pop,dance-punk,edm,indietronica,new rave",0.5670000000000001,0.946,5.0,-2.245,0.0,0.0541,0.0978,1.37e-06,0.0836,0.295,104.98299999999999,4.0
Sparking My Fire (feat. ROE),6H4Z4Sl0QYihizCTPzhEZm,2019-07-05T06:51:31Z,Sparking My Fire,2019-05-17,186213,60,SACHI,6kG0WKHsAOfWp5IsizmQxR,9264,53,"nz electronic,nz pop",0.624,0.758,8.0,-6.039,1.0,0.0413,0.153,1.6100000000000002e-05,0.10400000000000001,0.413,122.01899999999999,4.0
Get Dirty,6uBkcZ5xhb6mmakqu4afOV,2019-07-05T06:51:31Z,Get Dirty,2019-06-28,167404,52,Brooke Evers,7KkfsUfXaB3RNWHKczS6s1,11183,46,,0.7809999999999999,0.9309999999999999,7.0,-6.246,1.0,0.177,0.0029100000000000003,0.0008869999999999999,0.209,0.49,124.96,4.0
Little Bit Of Love - GATTÜSO Remix,4Sj3D6zwFeh0BttQPb9OCZ,2019-07-05T06:51:31Z,Little Bit Of Love (GATTÜSO Remix),2019-06-28,188031,45,Tritonal,521qvhdobR0GzhvU6TFw76,166833,69,"big room,dance pop,edm,electro house,electropop,pop,pop edm,progressive electro house,progressive house,tropical house",0.606,0.758,1.0,-4.4910000000000005,1.0,0.0467,0.353,0.0,0.24600000000000002,0.51,126.18,4.0
Anything For You,4HmuPzVgJtdhRI1YUL5XHp,2019-07-05T06:51:31Z,Anything For You,2019-04-26,173217,60,VAVO,44re77WwNG34C182Jq3WIK,6391,52,,0.7390000000000001,0.78,8.0,-5.356,1.0,0.0384,0.309,1.08e-06,0.114,0.452,114.978,4.0
Ain't Thinkin Bout You (feat. Louisa),1tjxQYoB2OS2fRZS43ODLQ,2019-07-05T06:51:31Z,Ain't Thinkin Bout You (feat. Louisa),2019-05-31,165616,64,KREAM,0DdDnziut7wOo6cAYWVZC5,56726,69,"dance pop,edm,electro house,house,pop,pop edm,tropical house,uk dance",0.784,0.7609999999999999,9.0,-4.533,1.0,0.0351,0.006529999999999999,0.000463,0.0984,0.525,123.971,4.0
Concrete Heart,4jEJEJHmbR7WyZF6mz9Uvr,2019-07-05T06:51:31Z,Concrete Heart,2019-03-15,182659,53,VASSY,7HqEmV7FeCi16bQyHMpIrF,18307,63,australian dance,0.7340000000000001,0.862,4.0,-2.793,0.0,0.115,0.271,0.0,0.0681,0.7909999999999999,123.009,4.0
Mood,169JhLk9ysWRnxgYMxJ1bl,2019-07-05T06:51:31Z,Mood,2019-04-19,168773,55,Zack Martino,2US2mjK9hW7QGSBNpprlbu,3831,58,pop edm,0.82,0.775,11.0,-4.618,1.0,0.132,0.225,0.0,0.166,0.29100000000000004,114.964,4.0
Nobody Else,7dX17Wj6NWLALffTQURbNa,2019-07-05T06:51:31Z,Nobody Else,2018-11-30,237096,53,Axwell,1xNmvlEiICkRlRGqlNFZ43,1323480,70,"big room,deep big room,disco house,edm,electro house,house,progressive electro house,progressive house,tech house,tropical house,vocal house",0.664,0.8,1.0,-6.587000000000001,1.0,0.0448,0.0008609999999999999,0.163,0.0832,0.318,123.994,4.0
So Cold (feat. Lily Denning),0j1CiuNObut67Rw72mUNy0,2019-07-05T06:51:31Z,So Cold (feat. Lily Denning),2019-03-08,197520,55,Mahalo,1SeU8Y2rEUpEoeWmUCdQIR,9255,54,"deep groove house,pop edm",0.778,0.759,8.0,-6.228,0.0,0.0426,0.0913,0.0278,0.12,0.10800000000000001,124.008,4.0
All My Friends,7sGTH1fber0bhncNMfNxmt,2019-07-05T06:51:31Z,All My Friends,2019-05-31,204626,69,Madeon,4pb4rqWSoGUgxm63xmJ8xc,453843,67,"complextro,edm,electro house,electropop,filter house",0.669,0.757,8.0,-4.2589999999999995,0.0,0.0469,0.0248,0.0,0.28300000000000003,0.708,106.01799999999999,4.0
Flying By Candlelight - Above & Beyond Club Mix,5DoksQHNCoZsI3tXQCl3dV,2019-07-05T06:51:31Z,Common Ground Companion EP,2019-03-29,242812,41,Above & Beyond,10gzBoINW3cLJfZUka8Zoe,505190,70,"edm,progressive house,progressive trance,trance,uplifting trance",0.46799999999999997,0.693,1.0,-6.039,1.0,0.0607,0.0154,0.00018600000000000002,0.172,0.133,128.04399999999998,4.0
