track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
What We Call Home,6uddOaYobZ26MA4lXmPtR9,2019-05-31T22:06:58Z,What We Call Home,2019-02-08,229150,52,U137,5Js8zUcr9OCEyoWjw3joxY,17511,53,"compositional ambient,focus,nordic post-rock",0.40299999999999997,0.758,6,-9.267999999999999,1,0.0355,0.0435,5.7799999999999995e-05,0.0758,0.0601,119.96,4
Paper,1yUFga1e5dKdRlQlNIgKDC,2019-05-31T22:06:58Z,Paper,2017-12-15,274743,46,Poppy Ackroyd,5q3wKuiaCK8BRPZQSvehFd,14967,63,"bow pop,compositional ambient,focus,neo-classical",0.613,0.493,5,-14.337,0,0.027000000000000003,0.914,0.9059999999999999,0.0842,0.32899999999999996,115.008,4
Deserts,4WCQ7UciC6Auy2DqruqVK1,2019-05-31T22:06:58Z,Deserts,2019-03-29,167429,49,Lost Horse Mine,6IAXzJ1w04k1y0IoDujIBV,7,38,,0.466,0.507,4,-10.423,1,0.0267,1.21e-05,0.857,0.121,0.17800000000000002,94.96600000000001,4
A Lonesome Place,5ShTFTsRlJffAAKHGctxo2,2019-05-31T22:06:58Z,A Lonesome Place,2019-05-01,114016,47,Gradient Layer,5ySNkmwfljYELipELJjQyl,9,46,,0.311,0.0641,4,-27.595,1,0.0373,0.9940000000000001,0.882,0.10300000000000001,0.205,161.639,4
Euphoria,2srKKTOmWUOEUZogGDTCIm,2019-05-31T22:06:58Z,Euphoria,2018-05-24,210731,49,Lucy Vincent,3aZqkX0ePw0fBoERFYCD6Z,682,42,,0.591,0.0664,7,-23.346999999999998,0,0.0418,0.99,0.9279999999999999,0.0931,0.106,82.01700000000001,4
Numb,1UxbOJn4xayygB84FgRDLS,2019-05-31T22:06:58Z,Numb,2018-06-04,203084,50,Lacy Magic,2otMr0SVaBIHvh5sDBkk0k,126,39,chill beats,0.5529999999999999,0.235,9,-14.93,0,0.0324,0.415,0.8009999999999999,0.11900000000000001,0.20199999999999999,120.027,4
Pale Lights,12xTeDRkdcJdyCEjQ7FPvk,2019-05-31T22:06:58Z,Pale Lights,2017-08-04,282906,4,This Patch of Sky,5SizWbJ5S7KxIR8e07jvqf,9118,47,"american post-rock,compositional ambient,instrumental post-rock,post-rock",0.13,0.534,2,-17.304000000000002,0,0.0498,0.28600000000000003,0.7809999999999999,0.12,0.185,73.337,4
The First Day of Spring,4Bcc2BGR8izlIPId78ves8,2019-05-31T22:06:58Z,Homemade Recordings 2009 - 2012,2017-06-28,117142,48,A Dancing Beggar,728YMd5rIL5FkGaRLNdAv8,2368,45,compositional ambient,0.504,0.5579999999999999,7,-12.664000000000001,1,0.0439,0.384,0.902,0.336,0.21100000000000002,83.92299999999999,4
Guided by the Glowing Sea,3sWUYaw47pKRkgADfNSoyJ,2019-05-31T22:06:58Z,Guided by the Glowing Sea,2017-07-01,269375,14,The American Dollar,5r4OqYJL7JrtZlffx7FJlb,38593,54,"american post-rock,compositional ambient,focus,post-rock",0.461,0.695,4,-11.523,1,0.0351,0.000138,0.861,0.0987,0.134,115.999,4
Thunder Rising,6ssI2e4kR5YA78MRoeskKS,2019-05-31T22:06:58Z,Thunder Rising,2017-10-01,346643,14,The American Dollar,5r4OqYJL7JrtZlffx7FJlb,38593,54,"american post-rock,compositional ambient,focus,post-rock",0.42100000000000004,0.48100000000000004,9,-10.804,0,0.0351,0.213,0.866,0.16399999999999998,0.0572,114.943,3
