track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Tú de Qué Vas,66iygyOSvvoQQsKJ1vEXfT,2019-05-23T14:26:56Z,Stop,2004-04-28,238160,71,Franco De Vita,4NEYQeEYBUjfaXgDQGvFvu,1757287,73,"latin,latin arena pop,latin pop,rock en espanol,tropical",0.607,0.629,11,-5.931,1,0.0316,0.405,0,0.203,0.567,80.11,4
Prometiste - MTV Unplugged [En Vivo],4UuVcf9nvpqyPsOk0P9oBH,2019-05-23T14:26:56Z,Pepe Aguilar MTV Unplugged [(MTV Unplugged) [En Vivo]],2014-10-21,305120,37,Pepe Aguilar,03Yb3iBy9GCifXiATEFcit,1597867,74,"grupera,latin pop,latin talent show,mariachi,ranchera",0.602,0.398,0,-9.503,1,0.104,0.807,0,0.703,0.603,126.285,4
Fuiste Tú,29csiYMOfBmLmGwxmISrMy,2019-05-23T14:26:56Z,Independiente + Demos,2011,265306,72,Ricardo Arjona,0h1zs4CTlU9D2QtgPxptUD,3510787,79,"cantautor,latin,latin arena pop,latin pop,rock en espanol,tropical",0.591,0.672,5,-3.515,1,0.0375,0.622,0,0.112,0.267,139.939,4
Me Dediqué a Perderte,4NUt1fcnO9aQAELBgXq3Kr,2019-05-23T14:26:56Z,A Corazón Abierto,2004-09-01,231773,75,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,2236046,79,"latin,latin arena pop,latin pop,mexican pop,ranchera,tropical",0.642,0.442,8,-9.115,1,0.074,0.491,1.58e-06,0.102,0.465,148.01,4
La Incondicional,6F9yAYUaNbUhdlQyt5uZ3b,2019-05-23T14:26:56Z,Busca Una Mujer,1988-11-25,257026,74,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,3475117,84,"bolero,latin,latin pop",0.374,0.727,10,-4.352,1,0.0309,0.237,0,0.134,0.283,155.127,4
Abrázame Muy Fuerte,2nejvFyJeTDtMRP2nUMt0J,2019-05-23T14:26:56Z,Abrázame Muy Fuerte,1990-01-01,239426,69,Juan Gabriel,2MRBDr0crHWE5JwPceFncq,3272832,77,"latin,latin pop",0.515,0.387,4,-7.343,0,0.0567,0.689,0,0.126,0.312,135.739,4
Mi Historia Entre Tus Dedos,4X4eypK7U3nCtOegosnciD,2019-05-23T14:26:56Z,Destino Paraiso,1995-01-01,310400,65,Gianluca Grignani,0H1InhXaXQPL1aj0mvHemU,126113,62,"classic italian pop,italian pop,mexican pop",0.628,0.506,0,-6.835,1,0.0387,0.426,0,0.069,0.482,157.784,4
El Sol No Regresa,1npDfdIgKSiOwtDJJqgeBw,2019-05-23T14:26:56Z,Flores De Alquiler,2004-06-10,228960,9,La Quinta Estacion,7FZj349hdLfD6qzXkJLuAh,1164530,69,"latin,latin arena pop,latin pop,rock en espanol,spanish pop,spanish pop rock,tropical",0.615,0.88,3,-4.057,1,0.0352,0.0399,0,0.373,0.697,127.878,4
El Privilegio De Amar,0xRoT1t8m86HX7ZiUMxP51,2019-05-23T14:26:56Z,La Más Completa Colección (Vol. 2),2015-09-18,235826,48,Manuel Mijares,6ZEPPQlmrtnZAdhfTEM6NY,344246,65,"grupera,latin,latin pop,mexican pop,rock en espanol",0.678,0.49,9,-5.814,1,0.0267,0.723,0,0.119,0.256,92.079,4
Luz De Dia,71AMvL4Fey4MwxQShk4VBR,2019-05-23T14:26:56Z,En Vivo,2004-01-01,293226,70,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,1594196,74,"argentine rock,latin,latin alternative,latin pop,latin rock,mexican pop,rock en espanol,ska argentino",0.627,0.697,0,-8.183,1,0.0282,0.244,0,0.966,0.409,121.948,4
Déjala que vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,2019-05-23T14:26:56Z,Ubuntu,2018-05-11,220116,70,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,3578055,83,"colombian pop,latin",0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,4
Amores extranos,2FeYK41Grs7KdR9Nqoy1MK,2019-05-23T14:26:56Z,Lo Mejor De Laura Pausini - Volvere Junto A Ti,2001-10-08,257440,64,Laura Pausini,2e4nwiX8ZCU09LGLOpeqTH,1142708,74,"europop,italian pop,latin,latin arena pop,latin pop,mexican pop",0.541,0.387,0,-7.334,1,0.031,0.618,0,0.0716,0.273,78.003,4
No Podrás,2nHPFrjfDcB7XZhd1ASlvh,2019-05-23T14:26:56Z,Singles,2016-07-22,245106,3,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,1084065,74,"latin,latin arena pop,latin pop,tropical",0.696,0.808,10,-6.862,1,0.0259,0.02,0.00232,0.289,0.854,117.699,4
Mía,7sZJnGa1a3iCm74SIiNRxU,2019-05-23T14:26:56Z,El tiempo,1994-09-02,211560,59,Benny,3YHFRVdfHlJ98iAc50PIYk,128013,61,"latin,latin alternative,latin pop,rock en espanol",0.601,0.536,0,-6.349,1,0.0397,0.575,0,0.169,0.349,137.354,3
Colgando en tus manos (con Marta Sánchez),3UI9I3e1g1y5T3SMfdgfGO,2019-05-23T14:26:56Z,De mi puño y letra - Edicion Coleccionista,2009,230280,73,Carlos Baute,3smfreCkyJt7bShaTYpG77,969292,70,"dance pop,latin,latin pop,pop,spanish pop,tropical",0.836,0.637,6,-4.803,1,0.0367,0.535,0,0.129,0.875,120.025,4
Amiga,5GxyKXhr5OyFJqoM4Vs5Vh,2019-05-23T14:26:56Z,La vida es,2011-06-21,195746,53,Alexander Acha,3JkgQ8Jjwt2mkeOsg5yhqh,230559,59,"latin,latin arena pop,latin pop,mexican pop",0.344,0.517,5,-5.505,1,0.0322,0.0337,0,0.113,0.0784,113.827,3
Dígale,2ov4mApsCl1vXLLZvjhxHW,2019-05-23T14:26:56Z,Corazón Latino,2002-01-01,264440,10,David Bisbal,5gOJTI4TusSENizxhcG7jB,1973300,76,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock,tropical",0.574,0.479,2,-6.684,1,0.0297,0.592,0,0.156,0.303,129.993,4
Por Amarte Así,2bvO1KXbUd4vySCWGNqIIa,2019-05-23T14:26:56Z,Mi Vida Sin Tu Amor,1999-01-05,272200,69,Cristian Castro,2AZOALDIBORfbzKTuliwdJ,1084065,74,"latin,latin arena pop,latin pop,tropical",0.61,0.637,1,-5.881,1,0.027,0.61,0,0.0952,0.322,128.863,4
Te Mando Flores,6OpHDI8lRiqHLqmUIYUxVr,2019-05-23T14:26:56Z,Corazon,2005-01-01,227735,69,Fonseca,53KTldaJ8tHSkYU3nigfwP,1008079,74,"colombian pop,cumbia,latin,latin pop,tropical",0.696,0.848,0,-7.839,1,0.0602,0.214,0,0.0987,0.898,102.038,4
Para Amarnos Más,5VstdEyGsUzyS4UXtKGAMG,2019-05-23T14:26:56Z,La Historia,2003-03-02,209253,54,Manuel Mijares,6ZEPPQlmrtnZAdhfTEM6NY,344246,65,"grupera,latin,latin pop,mexican pop,rock en espanol",0.58,0.633,3,-6.977,1,0.0354,0.729,3.58e-05,0.12,0.29,140.273,4
