track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Dígale,2ov4mApsCl1vXLLZvjhxHW,2019-05-15T18:10:40Z,Corazón Latino,2002-01-01,264440,10,David Bisbal,5gOJTI4TusSENizxhcG7jB,1933808,75,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock,tropical",0.574,0.479,2,-6.684,1,0.0297,0.5920000000000001,0.0,0.156,0.303,129.993,4
Déjala que vuelva (feat. Manuel Turizo),1j6xOGusnyXq3l6IryKF3G,2019-05-15T18:10:40Z,Ubuntu,2018-05-11,220116,70,Piso 21,4bw2Am3p9ji3mYsXNXtQcd,3392083,83,"colombian pop,latin",0.6809999999999999,0.7879999999999999,1,-4.323,1,0.0785,0.0482,0.0,0.0753,0.8390000000000001,170.019,4
Me Dediqué a Perderte,4NUt1fcnO9aQAELBgXq3Kr,2019-05-15T18:10:40Z,A Corazón Abierto,2004-09-01,231773,75,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,2170633,78,"grupera,latin,latin arena pop,latin pop,mexican pop,ranchera,tropical",0.642,0.442,8,-9.115,1,0.07400000000000001,0.491,1.58e-06,0.102,0.465,148.01,4
Luz De Dia,71AMvL4Fey4MwxQShk4VBR,2019-05-15T18:10:40Z,En Vivo,2004-01-01,293226,70,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,1543197,73,"argentine rock,latin,latin alternative,latin pop,latin rock,mexican pop,rock en espanol,ska argentino",0.627,0.6970000000000001,0,-8.183,1,0.0282,0.244,0.0,0.966,0.409,121.948,4
Colgando en tus manos (con Marta Sánchez),3UI9I3e1g1y5T3SMfdgfGO,2019-05-15T18:10:40Z,De mi puño y letra - Edicion Coleccionista,2009,230280,73,Carlos Baute,3smfreCkyJt7bShaTYpG77,953378,69,"cumbia,dance pop,latin,latin pop,pop,spanish pop,tropical",0.836,0.637,6,-4.803,1,0.0367,0.535,0.0,0.129,0.875,120.025,4
Tú de Qué Vas,66iygyOSvvoQQsKJ1vEXfT,2019-05-15T18:10:40Z,Stop,2004-04-28,238160,71,Franco De Vita,4NEYQeEYBUjfaXgDQGvFvu,1717995,72,"latin,latin arena pop,latin pop,rock en espanol,tropical",0.607,0.629,11,-5.931,1,0.0316,0.405,0.0,0.203,0.5670000000000001,80.11,4
La Incondicional,6F9yAYUaNbUhdlQyt5uZ3b,2019-05-15T18:10:40Z,Busca Una Mujer,1988-11-25,257026,74,Luis Miguel,2nszmSgqreHSdJA3zWPyrW,3327254,83,"bolero,latin,latin pop",0.374,0.727,10,-4.352,1,0.0309,0.237,0.0,0.134,0.28300000000000003,155.127,4
Que Lo Nuestro Se Quede Nuestro,3rtxFFGZ10e2vYBo7PsPf2,2019-05-15T18:10:40Z,Yo Creo,2016-02-05,222826,69,Carlos Rivera,39yVoqm6sYFvvqF1RciUVf,881755,77,"latin,latin arena pop,latin pop,mexican pop",0.46399999999999997,0.444,4,-8.583,0,0.027000000000000003,0.488,2.3199999999999998e-05,0.166,0.294,144.092,4
Fuiste Tú,29csiYMOfBmLmGwxmISrMy,2019-05-15T18:10:40Z,Independiente + Demos,2011,265306,72,Ricardo Arjona,0h1zs4CTlU9D2QtgPxptUD,3384319,78,"cantautor,latin,latin arena pop,latin pop,rock en espanol,tropical",0.591,0.672,5,-3.515,1,0.0375,0.622,0.0,0.11199999999999999,0.267,139.939,4
Fotografía,0dEPlb8waIqRtKpLb3l6So,2019-05-15T18:10:40Z,Un Día Normal,2002-01-01,238133,67,Juanes,0UWZUmn7sybxMCqrw9tGa7,2288839,79,"colombian pop,cumbia,dance pop,latin,latin pop,mexican pop,pop,rock en espanol,tropical",0.602,0.7120000000000001,7,-4.375,1,0.0453,0.303,0.0,0.185,0.631,84.86399999999999,4
