track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Algo Más,3bJBWsVNUJ3hOIO6lQUKCj,2019-05-23T14:26:56Z,Flores De Alquiler,2004-03-02,269080,68,La Quinta Estacion,7FZj349hdLfD6qzXkJLuAh,1157424,69,"latin,latin arena pop,latin pop,rock en espanol,spanish pop,spanish pop rock,tropical",0.5670000000000001,0.665,5,-5.465,1,0.0473,0.498,0.0,0.648,0.465,149.70600000000002,4
Tu,7xMfjdjZWMrxc78qKOXpXE,2019-05-23T14:26:56Z,Noelia,1999-07-01,291578,2,Noelia,0uMBj1TX0cktGnVzLlgWux,76598,49,"latin,latin arena pop,latin pop",0.679,0.598,4,-5.526,1,0.0367,0.54,0.0,0.0743,0.72,144.838,4
Aunque no te pueda ver,4vwKT7x8aoT3C9Zv26ViD7,2019-05-23T14:26:56Z,Hoy tengo ganas de ti,2015-02-03,266666,43,Alex Ubago,2tY2GFdhH0Wa2VBvsxew5X,881565,67,"latin,latin arena pop,latin pop,spanish pop,spanish pop rock",0.594,0.457,4,-8.673,1,0.0303,0.612,0.0,0.1,0.205,117.98899999999999,4
Que Lo Nuestro Se Quede Nuestro,3rtxFFGZ10e2vYBo7PsPf2,2019-05-23T14:26:56Z,Yo Creo,2016-02-05,222826,69,Carlos Rivera,39yVoqm6sYFvvqF1RciUVf,914032,78,"latin,latin arena pop,latin pop,mexican pop",0.46399999999999997,0.444,4,-8.583,0,0.027000000000000003,0.488,2.3199999999999998e-05,0.166,0.294,144.092,4
Andar Conmigo,05iMQqncVBIm4AE26EvaTL,2019-05-23T14:26:56Z,Si,2003-11-18,193373,68,Julieta Venegas,2QWIScpFDNxmS6ZEMIUvgm,937412,73,"latin,latin alternative,latin pop,latin rock,pop,rock en espanol",0.77,0.585,0,-8.06,1,0.0285,0.3,0.0,0.11599999999999999,0.912,116.994,4
Contigo,3StCElHKaN6ASLf7Pymdum,2019-05-23T14:26:56Z,Radio la Colifata Presenta: El Canto del Loco,2009-11-24,214853,62,El Canto Del Loco,5RK6c1tyaKpwcDpbgCGNgj,508626,68,"latin arena pop,latin pop,spanish pop,spanish pop rock",0.727,0.628,1,-7.3,0,0.0269,0.213,0.0,0.12,0.6859999999999999,118.007,4
En Ésta No,1zRqRmZyE0bgXkSoVVaCwK,2019-05-23T14:26:56Z,Una Última Vez (Delux Edition),2016-06-10,233346,65,Sin Bandera,7xeM7V59cA1X8GKyKKQV87,2408471,75,"latin,latin arena pop,latin pop,mexican pop,pop,tropical",0.5920000000000001,0.503,7,-7.7139999999999995,1,0.0382,0.358,0.0,0.107,0.4,137.73,4
"Y, ¿Si Fuera Ella? - + Es +",114xlNyBqwTIkOdrU8LajN,2019-05-23T14:26:56Z,+ Es + (El Concierto / En Directo En El Estadio Vicente Calderón / 2017),2017-12-08,250000,70,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,2564606,78,"latin,latin arena pop,latin pop,spanish pop",0.342,0.542,5,-5.7170000000000005,1,0.031,0.316,0.0,0.218,0.214,151.246,4
Nada Fue Un Error - Live In Spain / 2005,4DtFbe2JQrH3dDQVcOkVp6,2019-05-23T14:26:56Z,Esta Mañana Y Otros Cuentos,2005-01-01,225680,62,Coti,1OUDQLymoysITxprkd0Qvj,129588,63,"cantautor,latin,latin pop,rock en espanol,spanish pop,spanish pop rock",0.61,0.946,9,-1.955,1,0.087,0.0366,7.59e-05,0.9390000000000001,0.536,138.501,4
Quiero Que Vuelvas,6DO6RhWMkNezxS5PD44SJT,2019-05-23T14:26:56Z,Rompiendo Fronteras,2017-01-13,157200,53,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,2221504,79,"grupera,latin,latin arena pop,latin pop,mexican pop,ranchera,tropical",0.8109999999999999,0.48100000000000004,0,-7.053999999999999,1,0.0512,0.12300000000000001,0.0,0.28,0.7609999999999999,120.001,4
