track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Ransom (with Juice WRLD) - Remix,5DSfqrLkUHLZ9bW0SS3rVy,2019-08-16T04:32:51Z,Ransom (Remix),2019-08-15,171226,67,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,341468,87,trap music,0.683,0.667,2,-6.436,0,0.276,0.0105,0,0.076,0.373,180.005,4
Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,2019-08-09T04:01:00Z,The Best In The World Pack,2019-06-15,205426,92,Drake,3TVXtAsR1Inumwj472S9r4,39661387,99,"canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap",0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
Bad Bad Bad,1GeNui6m825V8jP4uKiIaH,2019-08-16T04:32:51Z,So Much Fun,2019-08-16,149040,67,Young Thug,50co4Is1HCEo8bhOyUWKpn,4268614,93,"atl hip hop,atl trap,gangster rap,pop,pop rap,rap,trap music",0.974,0.596,6,-8.888,1,0.184,0.0976,0,0.151,0.892,111.959,4
"Pink Toes (Offset, DaBaby feat. Gunna)",0W1ZfgXpC23RYQPDq7RM5I,2019-08-16T04:32:51Z,Quality Control: Control The Streets Volume 2,2019-08-16,217220,60,Quality Control,6i392l38cR3uBPF0DbNs7S,362046,79,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.958,0.782,5,-5.084,1,0.112,0.0521,0,0.116,0.517,110.49,4
Jet Lag,0AUurCHJ6A8Ua4yXyKXNuM,2019-08-16T04:32:51Z,Floor Seats,2019-08-16,203720,60,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,2025620,81,"hip hop,pop,pop rap,rap,southern hip hop,trap music,underground hip hop",0.85,0.803,11,-3.297,1,0.292,0.0085,2.41e-05,0.104,0.433,169.986,4
Suge,2gwkD6igEhQbDQegRCcdoB,2019-08-09T04:01:00Z,Baby On Baby,2019-03-01,163320,87,DaBaby,4r63FhuTkUYltbVAg5TQnk,663635,88,"nc hip hop,trap music",0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
My Type,5KBARWIxeMGkvUax9VtVC9,2019-08-09T04:01:00Z,ICY,2019-03-29,126446,80,Saweetie,6cK3NBO6uP7hh0oyuVELFl,394868,76,"cali rap,pop,pop rap,trap queen",0.899,0.811,2,-6.294,1,0.258,0.000677,0,0.0672,0.587,105.038,4
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,2019-08-09T04:01:00Z,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2019-08-09,199427,80,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,303710,81,"houston rap,pop,trap queen",0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,4
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,2019-08-09T04:01:00Z,Indigo,2019-06-28,260640,85,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,9226363,94,"dance pop,pop,pop rap,r&b,rap",0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,4
The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,2019-08-09T04:01:00Z,The London (feat. J. Cole & Travis Scott),2019-05-23,200106,89,Young Thug,50co4Is1HCEo8bhOyUWKpn,4268614,93,"atl hip hop,atl trap,gangster rap,pop,pop rap,rap,trap music",0.796,0.586,4,-6.946,0,0.147,0.0247,0,0.132,0.179,97.981,4
