track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Ransom (with Juice WRLD) - Remix,5DSfqrLkUHLZ9bW0SS3rVy,2019-08-16T04:32:51Z,Ransom (Remix),2019-08-15,171226,67,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,341468,87,trap music,0.6829999999999999,0.667,2,-6.436,0,0.276,0.0105,0.0,0.076,0.373,180.005,4
Bad Bad Bad,1GeNui6m825V8jP4uKiIaH,2019-08-16T04:32:51Z,So Much Fun,2019-08-16,149040,67,Young Thug,50co4Is1HCEo8bhOyUWKpn,4268614,93,"atl hip hop,atl trap,gangster rap,pop,pop rap,rap,trap music",0.9740000000000001,0.596,6,-8.888,1,0.184,0.0976,0.0,0.151,0.892,111.959,4
"Pink Toes (Offset, DaBaby feat. Gunna)",0W1ZfgXpC23RYQPDq7RM5I,2019-08-16T04:32:51Z,Quality Control: Control The Streets Volume 2,2019-08-16,217220,60,Quality Control,6i392l38cR3uBPF0DbNs7S,362046,79,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.958,0.782,5,-5.084,1,0.11199999999999999,0.0521,0.0,0.11599999999999999,0.517,110.49,4
Jet Lag,0AUurCHJ6A8Ua4yXyKXNuM,2019-08-16T04:32:51Z,Floor Seats,2019-08-16,203720,60,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,2025620,81,"hip hop,pop,pop rap,rap,southern hip hop,trap music,underground hip hop",0.85,0.8029999999999999,11,-3.2969999999999997,1,0.292,0.0085,2.4100000000000003e-05,0.10400000000000001,0.433,169.986,4
Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,2019-08-16T04:36:54Z,Won't Be Late (feat. Drake),2019-08-16,218709,66,Swae Lee,1zNqQNIdeOUZHb8zbZRFMX,474322,88,trap music,0.915,0.588,7,-6.3020000000000005,0,0.0677,0.0824,0.000169,0.10400000000000001,0.32899999999999996,123.936,4
Big Rocks (Offset feat. Young Thug),2JdIqJBbIiwEah4ejqIWGj,2019-08-18T03:05:15Z,Quality Control: Control The Streets Volume 2,2019-08-16,144000,59,Quality Control,6i392l38cR3uBPF0DbNs7S,362046,79,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.903,0.444,7,-7.481,0,0.155,0.156,0.0,0.17600000000000002,0.503,119.98700000000001,4
Juicy,7qvsl2pYzrsYgPeFBN5jxp,2019-08-16T04:32:51Z,Juicy,2019-08-15,202333,51,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,398444,71,"electropop,escape room,la indie,pop",0.7859999999999999,0.6579999999999999,0,-2.61,1,0.0661,0.0856,0.0,0.0689,0.45799999999999996,170.037,4
Did It Again,01Qb6dN5suQNu87VJ1mIpf,2019-08-16T04:32:51Z,Did It Again,2019-07-24,116240,77,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,341468,87,trap music,0.6990000000000001,0.575,1,-9.922,1,0.159,0.218,0.0,0.11199999999999999,0.23399999999999999,148.767,4
Double Trouble (Quavo feat. Meek Mill),5YSfZJE0EYrGVsWeYqv9xo,2019-08-16T04:32:51Z,Quality Control: Control The Streets Volume 2,2019-08-16,176911,59,Quality Control,6i392l38cR3uBPF0DbNs7S,362046,79,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.8740000000000001,0.636,2,-3.75,1,0.24100000000000002,0.0776,2.17e-06,0.114,0.49,164.928,4
Surf,6igOR5QCn09zAVF2ikZjsV,2019-08-16T04:32:51Z,So Much Fun,2019-08-16,184093,63,Young Thug,50co4Is1HCEo8bhOyUWKpn,4268614,93,"atl hip hop,atl trap,gangster rap,pop,pop rap,rap,trap music",0.9279999999999999,0.616,0,-7.329,1,0.24600000000000002,0.0343,0.0,0.10400000000000001,0.609,141.006,4
