track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Bossanova,12MGFZIqiXncwMsufAwfC9,2019-08-09T04:01:00Z,Bossanova,2019-07-18,123600,73,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,289591,85,trap music,0.7120000000000001,0.493,5,-7.129,0,0.278,0.00474,0.0,0.158,0.24600000000000002,139.84,4
Real LA Shit (feat. Joe Moses),7bhXHH7bpRgoJNI727a6tC,2019-08-09T04:01:00Z,On God,2019-08-09,168460,34,RJMrLA,6kQWPGBItT0oMCHZy3M9DN,51189,57,"cali rap,west coast trap",0.862,0.802,5,-4.811,0,0.32799999999999996,0.0505,0.0,0.171,0.759,104.015,4
Welcome To The Party,4KTFcXJcayX6ZhWXgPeJia,2019-08-09T04:01:00Z,Welcome To The Party,2019-05-22,215760,60,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,12769,61,,0.594,0.644,2,-7.271,1,0.133,0.012,1.98e-05,0.182,0.233,143.129,4
Potential (feat. Lil Uzi Vert & Young Dolph),1CiR9MK8zVPKtGrHe4LFPb,2019-08-09T04:01:00Z,Delusions of Grandeur,2019-06-21,290325,68,Gucci Mane,13y7CgLHjMVRMDqxdx0Xdo,2810716,86,"atl hip hop,dirty south rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.9570000000000001,0.46,1,-7.513,1,0.325,0.00418,0.0007480000000000001,0.0947,0.191,123.95100000000001,4
Salute (feat. French Montana),4JIPyaaceaEZtOJAWmzBzF,2019-08-09T04:01:00Z,Heart Full of Rage,2019-02-22,182956,63,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,49017,65,cali rap,0.768,0.7290000000000001,9,-4.079,0,0.102,0.331,0.0,0.126,0.588,152.03799999999998,4
Three Point Stance (feat. City Girls & Megan Thee Stallion),5g7pNBb6ySnFUJknKiCkEE,2019-08-09T04:01:00Z,Three Point Stance (feat. City Girls & Megan Thee Stallion),2019-06-28,202226,62,Juicy J,5gCRApTajqwbnHHPbr2Fpi,1841289,80,"crunk,dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,trap music",0.862,0.75,1,-5.03,1,0.368,0.00116,0.0,0.43700000000000006,0.626,172.041,4
Wow. - Remix,3IKRHd9ihUdGffgz4Mbgv0,2019-08-09T04:01:00Z,Wow. (Remix),2019-03-15,170053,27,Post Malone,246dkjvS1zLTtiykXe5h60,16247975,96,"dfw rap,pop,rap",0.797,0.64,11,-6.272,0,0.19399999999999998,0.14800000000000002,0.0,0.209,0.486,100.00200000000001,4
"West Coast (feat. Blueface, ALLBLACK & YG)",4EnEGf9JzAJhF1XNY9DJcD,2019-08-09T04:01:00Z,"West Coast (feat. Blueface, ALLBLACK & YG)",2019-03-28,256966,71,G-Eazy,02kJSzxNuaWGqwubyUba0Z,4008396,86,"hip hop,indie pop rap,pop,pop rap,rap",0.882,0.775,10,-4.986000000000001,1,0.33399999999999996,0.0738,0.0,0.701,0.805,98.023,4
Bang,4WstRtdgYjwPvpCekgYAhs,2019-08-09T04:01:00Z,B-Sides,2019-06-28,193979,68,G-Eazy,02kJSzxNuaWGqwubyUba0Z,4008396,86,"hip hop,indie pop rap,pop,pop rap,rap",0.929,0.606,1,-7.356,1,0.242,0.0234,0.0,0.0925,0.207,103.01899999999999,4
Slide (feat. Blueface & Lil Tjay),40Zb4FZ6nS1Hj8RVfaLkCV,2019-08-09T04:01:00Z,Slide (feat. Blueface & Lil Tjay),2019-04-16,186344,73,French Montana,6vXTefBL93Dj5IqAWq6OTv,2932469,85,"hip hop,pop,pop rap,rap,southern hip hop,trap music",0.532,0.7040000000000001,5,-3.895,0,0.26,0.09300000000000001,0.0,0.184,0.591,96.00399999999999,4
Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,2019-08-09T04:01:00Z,Drip Too Hard,2018-09-12,145603,21,Lil Baby,5f7VJjfbwm532GiveGC0ZK,2498510,89,"atl hip hop,atl trap,pop,rap,trap music",0.9,0.653,1,-6.962000000000001,0,0.289,0.0945,0.0,0.528,0.39899999999999997,112.50299999999999,4
In The Dark,6l26j7uCiDstBiYTuiaInV,2019-08-09T04:01:00Z,4REAL 4REAL,2019-05-24,191813,69,YG,0A0FS04o6zMoto8OKPsDwY,1827132,87,"cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.943,0.261,0,-8.067,1,0.16,0.0045,0.0114,0.10400000000000001,0.0635,102.001,4
Style Ain’t Free (feat. Offset),7JuB63pWkmxIxSazNB6F5m,2019-08-09T04:01:00Z,43VA HEARTLESS,2019-05-24,155283,63,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,907736,74,"rap,southern hip hop,trap music",0.91,0.8220000000000001,11,-4.244,1,0.28600000000000003,0.00892,0.0,0.26899999999999996,0.5870000000000001,130.001,4
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",6mCqxnyOhr4tHMbRbQL4Yn,2019-08-09T04:01:00Z,"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",2019-04-24,248043,66,DJ Snake,540vIaP2JwjQb9dm3aArA4,5351257,88,"dance pop,edm,electronic trap,pop",0.787,0.728,2,-4.0489999999999995,1,0.0417,0.0902,0.0,0.316,0.198,119.945,4
Cut Up,5wxP48hyJlNAMASN0bqZnu,2019-08-09T04:01:00Z,Cut Up,2019-05-03,157380,61,Blac Youngsta,41klVmDluQZmGGqoidNfbe,851920,64,"pop rap,rap,southern hip hop,trap music",0.8390000000000001,0.578,11,-5.957000000000001,1,0.0727,0.000404,0.000132,0.121,0.581,164.09099999999998,4
Tic Toc (with Tory Lanez),7cWmR9RLLMY6bj28q4bhvz,2019-08-09T04:01:00Z,Tic Toc (with Tory Lanez),2019-03-15,150040,23,Rich The Kid,1pPmIToKXyGdsCF6LmqLmI,1711475,84,"atl hip hop,pop rap,rap,southern hip hop,trap music",0.78,0.643,1,-4.154,1,0.121,0.0381,0.0,0.115,0.21100000000000002,169.995,4
