track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mind Playing Tricks on Me,63BokRfXSQhEU6Qi2dSJpZ,2019-06-10T18:57:25Z,We Can't Be Stopped,1991-07-02,308733,65,Geto Boys,3f5fB1YUbkUnW7cf7I0R48,317748,61,"conscious hip hop,dirty south rap,g funk,gangster rap,hardcore hip hop,hip hop,old school hip hop,pop rap,rap,southern hip hop",0.886,0.512,10,-11.825,0,0.237,0.207,0,0.0991,0.454,93.997,4
Check Yo Self - Remix,3NGT0Td7H4Is1qrlDQJxma,2019-06-10T18:57:25Z,Bootlegs And B-Sides,1994-11-22,273106,70,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,2925360,76,"conscious hip hop,g funk,gangster rap,hardcore hip hop,hip hop,pop rap,rap,west coast rap",0.934,0.735,1,-6.668,1,0.251,0.031,8.6e-06,0.107,0.768,101.368,4
C.R.E.A.M.,119c93MHjrDLJTApCVGpvx,2019-06-10T18:57:25Z,Enter The Wu-Tang (36 Chambers) [Expanded Edition],1993-11-09,252186,72,Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,1344756,74,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap",0.479,0.549,11,-10.551,0,0.373,0.57,0.0239,0.127,0.576,180.985,4
Who Shot Ya,2KFg8kjYy0rYjWsXGhEQHN,2019-06-10T18:57:25Z,Ready To Die The Remaster,1994-09-13,319373,69,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,4007235,82,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,pop rap,rap",0.828,0.686,11,-5.689,0,0.218,0.273,0,0.524,0.617,91.713,4
Ruffneck,5BC50dLe7dZKVc3gPvJRx9,2019-06-10T18:57:25Z,Ain't No Other,1993,237266,45,MC Lyte,2ZbWlThDW0qSbI3hinpl0w,158250,55,"east coast hip hop,electro,gangster rap,hardcore hip hop,hip hop,hip house,hip pop,new jack swing,old school hip hop,rap",0.709,0.902,1,-3.392,0,0.188,0.0364,0,0.0219,0.878,204.317,4
The Humpty Dance,3OcQkcvTcohs8vO8Rd3sKF,2019-06-10T18:57:25Z,Sex Packets,1990-03-26,391693,63,Digital Underground,7jocoSCuCtpCxCI6IbP8ye,205154,63,"conscious hip hop,funk,gangster rap,hardcore hip hop,hip hop,hip house,rap,west coast rap",0.813,0.693,10,-8.0,0,0.266,0.0341,0,0.121,0.618,103.508,4
We Want Some P--sy,62ZlScwF8VZuGEFaAo3TNZ,2019-06-10T18:57:25Z,Is What We Are,1987-01-01,169000,53,2 LIVE CREW,58Dx4HPzeOO3dbpD9YYEes,192132,54,"electro,gangster rap,hip hop,miami bass,miami hip hop,old school hip hop,rap",0.916,0.519,2,-12.409,0,0.077,0.293,0,0.379,0.761,125.137,4
O.G. Original Gangster,0G3ImRQDWtOTwTK1oL5uWF,2019-06-10T18:57:25Z,O.G. Original Gangster,1991,283293,48,Ice-T,0eGh2jSWPBX5GuqIHoZJZG,501976,54,"conscious hip hop,electro,gangster rap,hardcore hip hop,hip hop,new jersey rap,old school hip hop,rap,rap rock,west coast rap",0.887,0.847,7,-10.885,1,0.253,0.115,8.24e-05,0.216,0.739,103.008,4
We're All In The Same Gang,62fQHIiTsimptHHliO8nOn,2019-06-10T18:57:25Z,"West Coast Livin', Volume Three",2013-10-08,298446,46,King Tee,0zCyco6JHJv7zKHbyMmsut,23988,41,"gangster rap,hardcore hip hop,hip hop,old school hip hop,west coast rap",0.855,0.874,11,-4.548,0,0.228,0.0659,0,0.0898,0.894,101.704,4
Damn It Feels Good to Be a Gangsta,0HOqINudNgQFpg1le5Hnqe,2019-06-10T18:57:25Z,Uncut Dope,1992-11-17,310600,58,Geto Boys,3f5fB1YUbkUnW7cf7I0R48,317748,61,"conscious hip hop,dirty south rap,g funk,gangster rap,hardcore hip hop,hip hop,old school hip hop,pop rap,rap,southern hip hop",0.785,0.793,1,-7.915,1,0.163,0.22,0.718,0.124,0.655,88.902,4
