track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Mind Playing Tricks on Me,63BokRfXSQhEU6Qi2dSJpZ,2019-06-10T18:57:25Z,We Can't Be Stopped,1991-07-02,308733,65,Geto Boys,3f5fB1YUbkUnW7cf7I0R48,319830,61,"conscious hip hop,dirty south rap,g funk,gangster rap,hardcore hip hop,hip hop,old school hip hop,pop rap,rap,southern hip hop",0.8859999999999999,0.512,10,-11.825,0,0.237,0.207,0.0,0.0991,0.45399999999999996,93.99700000000001,4
Ruffneck,5BC50dLe7dZKVc3gPvJRx9,2019-06-10T18:57:25Z,Ain't No Other,1993,237266,46,MC Lyte,2ZbWlThDW0qSbI3hinpl0w,159123,55,"east coast hip hop,electro,gangster rap,hardcore hip hop,hip hop,hip house,hip pop,new jack swing,old school hip hop,rap",0.7090000000000001,0.902,1,-3.392,0,0.188,0.0364,0.0,0.0219,0.878,204.317,4
We Want Some P--sy,62ZlScwF8VZuGEFaAo3TNZ,2019-06-10T18:57:25Z,Is What We Are,1987-01-01,169000,54,2 LIVE CREW,58Dx4HPzeOO3dbpD9YYEes,193502,54,"electro,gangster rap,hip hop,miami bass,miami hip hop,old school hip hop,rap",0.9159999999999999,0.519,2,-12.409,0,0.077,0.293,0.0,0.379,0.7609999999999999,125.137,4
O.G. Original Gangster,0G3ImRQDWtOTwTK1oL5uWF,2019-06-10T18:57:25Z,O.G. Original Gangster,1991,283293,48,Ice-T,0eGh2jSWPBX5GuqIHoZJZG,505188,54,"conscious hip hop,electro,gangster rap,hardcore hip hop,hip hop,new jersey rap,old school hip hop,rap,west coast rap",0.887,0.847,7,-10.885,1,0.253,0.115,8.240000000000001e-05,0.21600000000000003,0.7390000000000001,103.008,4
We're All In The Same Gang,62fQHIiTsimptHHliO8nOn,2019-06-10T18:57:25Z,"West Coast Livin', Volume Three",2013-10-08,298446,47,King Tee,0zCyco6JHJv7zKHbyMmsut,24180,41,"gangster rap,hardcore hip hop,hip hop,old school hip hop,west coast rap",0.855,0.8740000000000001,11,-4.548,0,0.228,0.0659,0.0,0.0898,0.894,101.704,4
Is It Good To You,4WHQzXnWyTlE1UOmmxRDOw,2019-06-10T18:57:25Z,Peaceful Journey,1991-01-01,292226,48,Heavy D & The Boyz,4KHdmkq99PXA6QEJ2lKpA3,180262,53,"east coast hip hop,electro,funk,hardcore hip hop,hip hop,hip house,hip pop,new jack swing,old school hip hop,quiet storm,rap,urban contemporary",0.711,0.595,1,-12.99,1,0.036000000000000004,0.0484,0.0327,0.20800000000000002,0.836,107.473,4
Slow Down,6i4Gu9ogL4kClgBzj3NZ6g,2019-06-10T18:57:25Z,One for All,1990-11-30,303040,52,Brand Nubian,3YyZFf9ZN2YbkqeZia8zHX,97139,51,"alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,turntablism",0.731,0.857,9,-13.357999999999999,1,0.19,0.0798,8.8e-06,0.0772,0.691,95.87899999999999,4
Case of the P.T.A.,0bskKGZvp1HsNn6oD8Q8Jl,2019-06-10T18:57:25Z,A Future Without A Past,1991,222733,41,Leaders of the New School,5V2urhkwH9CIcojcYnvKRg,40340,37,"east coast hip hop,hardcore hip hop,hip hop",0.805,0.8220000000000001,11,-6.805,0,0.198,0.149,0.0,0.115,0.7879999999999999,107.579,4
Ever So Clear,5ycTwkLUFRzuTgULpzcSHM,2019-06-10T18:57:25Z,Little Big Man (Explicit),1992-09-08,357440,42,Bushwick Bill,3Cjv4IeE8gjeiXvwRjwSHb,38666,39,"dirty south rap,dirty texas rap,g funk,gangster rap",0.7559999999999999,0.365,1,-14.252,0,0.348,0.151,0.000338,0.222,0.64,159.882,4
It's a Shame,1vjSc13n9xGrQo364x2z0W,2019-06-10T18:57:25Z,"4,5,6",1995-09-05,242573,42,Kool G Rap,099tLNCZZvtjC7myKD0mFp,109183,50,"alternative hip hop,boom bap,east coast hip hop,gangster rap,hardcore hip hop,hip hop,old school hip hop",0.669,0.8059999999999999,4,-6.836,0,0.308,0.0376,0.0,0.292,0.799,82.44,4
