track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Still Fly,563vSy3HB5NHxel1VGQCW6,2019-08-01T18:17:41Z,Hood Rich,2002-01-01,335613,58,Big Tymers,4jWGfUCFeTu5e0wprRhHXR,285572,55,"crunk,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,trap music",0.674,0.61,11,-3.5460000000000003,1,0.22699999999999998,0.0349,1.12e-05,0.34299999999999997,0.5479999999999999,177.94299999999998,4
Slow Motion,6ihObRBTB8xdSH2mlERtOX,2019-08-01T18:17:41Z,Juve The Great,2003-01-01,248200,59,Juvenile,0rG0AZBscc8S8q1ahIsasI,525022,67,"bounce,crunk,dirty south rap,gangster rap,hip hop,hip pop,new orleans rap,pop rap,rap,southern hip hop,trap music",0.711,0.733,0,-4.96,0,0.34,0.526,0.0,0.0675,0.87,172.925,4
Sunshine (feat. Lea) - Explicit Album Version,4s0o8TJHfX9LLHa0umnOzT,2019-08-01T18:17:41Z,U Gotta Feel Me,2004-03-30,225173,58,Lil' Flip,4Q5sPmM8j4SpMqL4UA1DtS,257157,58,"crunk,deep southern trap,dirty south rap,gangster rap,houston rap,pop rap,southern hip hop,trap music",0.8140000000000001,0.387,0,-9.867,1,0.0945,0.0248,0.0,0.131,0.792,93.961,4
Always On Time,4hrae8atte6cRlSC9a7VCO,2019-08-01T18:17:41Z,Pain Is Love,2001-01-01,245063,69,Ja Rule,1J2VVASYAamtQ3Bt8wGgA6,864860,73,"dance pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,r&b,rap,urban contemporary",0.607,0.7140000000000001,5,-6.007000000000001,0,0.278,0.205,0.0,0.301,0.8270000000000001,96.619,4
Hypnotized (feat. Akon),3LN41NUdHkyNqQhi9gExMm,2019-08-01T18:17:41Z,The Real Testament,2007-08-06,188493,61,Plies,3jksrX4oBklxR78ft8gv3j,915786,67,"dirty south rap,gangster rap,hip hop,miami hip hop,pop rap,r&b,rap,southern hip hop,trap music",0.84,0.5710000000000001,10,-7.421,1,0.0797,0.16,0.0,0.406,0.617,116.59,4
"So Fresh, So Clean",6glsMWIMIxQ4BedzLqGVi4,2019-08-01T18:17:41Z,Stankonia,2000-10-31,240026,63,OutKast,1G9G7WwrXka3Z1r7aIDjI7,1141518,76,"atl hip hop,dirty south rap,hip hop,pop rap,rap,southern hip hop",0.725,0.64,5,-7.905,0,0.332,0.0278,0.0,0.099,0.915,166.02900000000002,3
U Don't Know Me,2SuMoyOaAVBg5AzfKyZaKV,2019-08-01T18:17:41Z,Urban Legend,2004-11-29,243506,51,T.I.,4OBJLual30L7gRl5UkeRcT,2927138,80,"atl hip hop,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",0.779,0.66,1,-4.854,1,0.17,0.0496,0.0,0.0825,0.526,83.914,4
Push It,39SQnz9u6zd91nZdaPmmJK,2019-08-01T18:17:41Z,Port Of Miami,2006-01-01,208600,57,Rick Ross,1sBkRIssrMs1AbVkOJbc7a,3277004,86,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",0.665,0.779,7,-7.085,1,0.258,0.24600000000000002,0.0,0.364,0.75,150.952,4
Knuck If You Buck (feat. Lil' Scrappy),0RZXNlGPvfMo54fd6uCvAT,2019-08-01T18:17:41Z,Crime Mob (U.S. PA Version),2004-07-13,205120,58,Crime Mob,5A7d4sfe5ZY1RRf90zlUeo,183096,52,"atl hip hop,crunk,dirty south rap,gangster rap,hip pop,pop rap,rap,southern hip hop,trap music",0.865,0.8440000000000001,8,-4.946000000000001,1,0.311,0.0582,0.0,0.373,0.755,150.09,4
Like A Pimp,0DW5anNzTO7h0OlKqFsVQ6,2019-08-01T18:17:41Z,Mississippi: The Album,2003-05-20,254706,53,David Banner,7jFaoqWPhYLrKzjzlpXmUO,353149,54,"conscious hip hop,crunk,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap music",0.8440000000000001,0.846,7,-5.167000000000001,1,0.17600000000000002,0.00487,0.0,0.0784,0.91,144.079,4
Get Your Roll On,4HpCT9jeCzBfpCaF3aTVWX,2019-08-01T18:17:41Z,I Got That Work,2000-01-01,242666,49,Big Tymers,4jWGfUCFeTu5e0wprRhHXR,285572,55,"crunk,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,trap music",0.865,0.703,7,-7.877000000000001,1,0.152,0.0211,0.00144,0.0976,0.434,88.92200000000001,4
Pull Over,6M33HiUHLC3R3gfXYNGMAy,2019-08-01T18:17:41Z,Da Baddest B***h,2000-01-01,194025,46,Trina,4PrinKSrmILmo0kERG0Ogn,439135,61,"deep pop r&b,escape room,hip pop,miami hip hop,pop,pop rap,r&b,rap,rap latina,southern hip hop,trap music,trap queen",0.955,0.768,1,-5.54,0,0.18100000000000002,0.0134,0.0,0.308,0.741,125.04,4
Break Ya Neck,0svl7cK07gK1ia5ainczU5,2019-08-01T18:17:41Z,Genesis,2001-11-13,231240,66,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,1207823,75,"east coast hip hop,hardcore hip hop,hip hop,hip pop,pop rap,rap",0.82,0.809,4,-6.7589999999999995,0,0.251,0.44299999999999995,0.00175,0.0613,0.737,83.01100000000001,4
Candy Shop,5D2mYZuzcgjpchVY1pmTPh,2019-08-01T18:17:41Z,The Massacre,2005,209106,75,50 Cent,3q7HBObVc0L8jNeTe5Gofh,5422146,85,"east coast hip hop,gangster rap,hip hop,pop rap,rap",0.614,0.574,11,-7.961,1,0.466,0.0253,3.2e-05,0.38,0.755,125.17299999999999,5
Snap Yo Fingers,6o3s08kk2fQI37vxGZDrJ1,2019-08-01T18:17:41Z,Snap Yo Fingers - Single,2006-05-02,274386,65,Youngbloodz,2OqENqJFXPORP4BUGnu2Qq,243167,59,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",0.835,0.757,8,-5.029,0,0.23,0.00647,0.0,0.29,0.626,82.038,4
It's Goin' Down (feat. Nitti),05Sgj1Hx03ZXc57gsV1kfX,2019-08-01T18:17:41Z,New Joc City (Explicit Content U.S. Version),2006-06-06,241840,64,Yung Joc,23LbwefIODbyGdRbAz3urj,357025,67,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",0.888,0.5770000000000001,1,-7.702000000000001,0,0.0612,0.0986,0.0,0.131,0.609,84.00299999999999,4
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,2019-08-01T18:17:41Z,souljaboytellem.com,2007-01-01,221933,73,Soulja Boy,6GMYJwaziB4ekv1Y6wCDWS,850486,71,"atl hip hop,dance pop,dirty south rap,pop,pop rap,rap,southern hip hop,trap music",0.732,0.7240000000000001,0,-2.104,1,0.10099999999999999,0.511,0.0,0.0491,0.8079999999999999,140.13,4
"Lean Wit It, Rock Wit It",7cVmKBwzPsh4Fmb6SplfEm,2019-08-01T18:17:41Z,On Top Of Our Game,2006-01-01,229813,58,Dem Franchize Boyz,0VKTLKamj4IH8OfQbUL0kq,184002,52,"atl hip hop,crunk,dirty south rap,gangster rap,hip pop,pop rap,rap,southern hip hop,trap music",0.8859999999999999,0.62,5,-5.854,1,0.307,0.08199999999999999,0.0,0.1,0.6,76.035,4
Freek-A-Leek,4MeDnO5yA2Zi6IMlVApRci,2019-08-01T18:17:41Z,Still Writing In My Diary: 2nd Entry,2004,235186,62,Petey Pablo,4Js9eYwAf9rypNtV8pNSw9,227911,60,"crunk,dirty south rap,gangster rap,hip pop,nc hip hop,pop rap,southern hip hop",0.7559999999999999,0.691,2,-3.718,1,0.17800000000000002,0.0744,0.0,0.364,0.632,104.999,4
Some Cut (feat. Cutty),71mDjdeVK9sqXmamMHaAfX,2019-08-01T18:17:41Z,The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,2009-08-21,283386,56,Trillville,3jahzTuztFVegfKXChatkY,132782,48,"atl hip hop,crunk,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap music",0.9009999999999999,0.512,1,-6.468,1,0.37,0.0027300000000000002,0.0,0.0979,0.638,85.012,4
