track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Glad He's Gone,6aIAuKNU8JlVaTmoCYYN6U,2019-07-11T23:48:17Z,Glad He's Gone,2019-05-31,196348,75,Tove Lo,4NHQUGzhtTLFvgF5SZesLK,2054977,81,"dance pop,electropop,indie poptimism,metropopolis,pop,post-teen pop,r&b,swedish electropop,swedish pop,swedish synthpop,tropical house",0.795,0.595,1,-8.073,1,0.0698,0.0823,0,0.128,0.502,91.025,4
Don't You Worry,43vtkUwdHwI2B7hO9c2HK9,2019-07-11T23:48:17Z,Don't You Worry,2019-06-21,172773,51,Hot Shade,3GtCKJA4SkOxN65MWjm82R,25168,66,"deep pop edm,deep tropical house,norwegian pop,pop edm,swedish pop,tropical house",0.608,0.767,3,-4.628,1,0.0456,0.0278,2.98e-06,0.0928,0.597,122.954,4
I Say a Little Prayer,3NfxSdJnVdon1axzloJgba,2019-07-11T23:48:17Z,Aretha Now,1968-06-14,216773,73,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,1933685,77,"classic soul,jazz blues,memphis soul,soul,southern soul",0.59,0.355,9,-14.051,1,0.0352,0.48,0,0.0585,0.499,133.03,4
Perfect Melody,1OBlp2GgUQbPMtGNYg4Kdn,2019-07-11T23:48:17Z,Perfect Melody,2015-09-25,203520,47,Nano,48Z0MG7G6UQeWYibHpXgQe,12621,51,swedish pop,0.693,0.613,3,-6.209,1,0.0268,0.125,0,0.111,0.453,117.993,4
Be the One,7FCfMXYTIiQ9b4hDYs4Iol,2019-07-11T23:48:17Z,Dua Lipa (Deluxe),2017-06-02,202914,66,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,12373504,89,"dance pop,pop,post-teen pop,uk pop",0.661,0.651,7,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-07-11T23:48:17Z,Sucker,2019-03-01,181040,90,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2559683,91,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
Speechless (feat. Erika Sirola),1rCcsYnmqbMYdkG7kS9GC5,2019-07-11T23:48:17Z,Speechless (feat. Erika Sirola),2018-11-16,214941,80,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,2071202,85,"dance pop,deep euro house,deep house,edm,german dance,pop,tropical house",0.574,0.728,1,-4.777,1,0.062,0.0161,1.42e-06,0.0851,0.266,125.047,4
Cassy O',47npAmYQaQDQAeVzxN1JGG,2019-07-11T23:48:17Z,Cassy O' (EP),2014-12-02,186480,49,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2393112,82,"neo-singer-songwriter,pop",0.536,0.87,2,-4.521,1,0.0391,0.0439,0,0.305,0.169,97.982,4
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,2019-07-11T23:48:17Z,MAP OF THE SOUL : PERSONA,2019-04-12,229773,89,BTS,3Nrfpe0tUJi4K4DXYWgMUX,12096850,95,"k-pop,k-pop boy group",0.645,0.862,11,-4.757,0,0.0965,0.0923,0,0.192,0.798,119.991,4
True Colors (feat. Maya Avedis),4AMY0oGSt7vZwgxDnHCJBr,2019-07-11T23:48:17Z,True Colors (feat. Maya Avedis),2018-09-21,184019,73,XO Cupid,1Fy4Vnoq3HspYLrgEs9VNc,1474,64,"dance pop,edm,pop,tropical house",0.636,0.63,0,-6.396,1,0.0346,0.0796,0,0.13,0.454,104.845,4
