track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Selfish,6xUy203RnyyOfbqf96Nven,2019-04-26T14:42:21Z,Selfish,2019-02-15,167857,72,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2395888,76,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.40700000000000003,0.789,7,-4.229,0,0.282,0.17,0.0,0.126,0.687,92.93299999999999,4
All For Love,5VGBgPVFO3e0lWz4WHYntQ,2019-04-26T14:42:21Z,All For Love,2018-03-23,180484,72,Tungevaag & Raaban,4cSYNpczcvTUpnPMFDLsIc,235986,70,"big room,dance pop,deep pop edm,edm,norwegian pop,pop,tropical house",0.6890000000000001,0.9009999999999999,7,-1.431,1,0.0678,0.145,1.0300000000000001e-05,0.45899999999999996,0.6509999999999999,125.115,4
We Can Do Better,1hLjLWrzO18acdCFcccFWk,2019-04-26T14:42:21Z,We Can Do Better,2018-04-04,179895,74,Matt Simons,1g0fXhQMHAxlRyIBkCbuE7,135853,72,"dutch pop,neo mellow,neo-singer-songwriter",0.629,0.6859999999999999,8,-4.851,1,0.0626,0.0365,2.37e-05,0.0709,0.731,91.05,4
Love Me Less (feat. Quinn XCII),2tOOcDDYkh0PSjr6GwPEAJ,2019-04-26T14:42:21Z,Love Me Less (feat. Quinn XCII),2019-04-05,177669,78,MAX,1bqxdqvUtPWZri43cKHac8,283857,75,"dance pop,indie poptimism,pop,post-teen pop,viral pop",0.732,0.856,11,-2.2,0,0.0929,0.0828,0.0,0.32299999999999995,0.7709999999999999,145.034,4
Why So Serious,50tGR9MkWXug4dCvshHo8s,2019-04-26T14:42:21Z,Why So Serious,2018-09-07,223933,43,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,182637,68,modern rock,0.856,0.462,10,-7.478,1,0.059000000000000004,0.273,0.0,0.11,0.7140000000000001,108.012,4
Heaven (feat. Veronica),5ql2mP9FUhB3SgMzv2akuO,2019-04-26T14:42:21Z,Heaven (feat. Veronica),2019-01-04,195000,71,Dzeko,5vQfv3s2Z2SRdPZKr82ABw,24906,74,"big room,deep big room,edm,electro house,pop edm,progressive electro house,progressive house",0.657,0.882,0,-3.565,0,0.0456,0.247,0.00202,0.11199999999999999,0.179,127.994,4
Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,2019-04-26T14:42:21Z,MAP OF THE SOUL : PERSONA,2019-04-12,229773,95,BTS,3Nrfpe0tUJi4K4DXYWgMUX,10742570,94,k-pop,0.645,0.862,11,-4.757,0,0.0965,0.0923,0.0,0.192,0.7979999999999999,119.991,4
"Hey Look Ma, I Made It",22oEJW6r2rMb9z4IntfyEa,2019-04-26T14:42:21Z,Pray For The Wicked,2018-06-22,169666,84,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,6803589,88,"emo,modern rock,pop punk",0.5770000000000001,0.833,5,-3.3369999999999997,1,0.0695,0.0137,0.0,0.121,0.58,107.936,4
Sing It With Me,60DwQiwwglVkTkTwDTTEId,2019-05-02T22:01:02Z,Sing It With Me,2019-05-03,201198,72,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,344940,77,"australian pop,dance pop,indie cafe pop,neo mellow,pop,r&b,tropical house,uk pop",0.54,0.7929999999999999,5,-4.379,1,0.0493,0.0744,0.0,0.354,0.39899999999999997,112.219,4
Truth Hurts,5Qel1sTrU4LM8HlJSPT2jd,2019-05-02T22:01:02Z,Truth Hurts,2017-09-19,173325,79,Lizzo,56oDRnqbIiwx4mymNEv7dS,326483,83,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.715,0.624,4,-3.0460000000000003,0,0.114,0.11,0.0,0.12300000000000001,0.41200000000000003,158.08700000000002,4
Rich & Famous (with Isac Elliot),5zjesnnX1y2PkYKNZl5Jl0,2019-04-26T14:42:21Z,Rich & Famous (with Isac Elliot),2018-04-13,163220,64,SJUR,1X6dfPmF8f5C5EW3WIGfvm,11462,59,"deep tropical house,norwegian pop,pop edm,scandipop,tropical house",0.7040000000000001,0.8809999999999999,9,-5.502000000000001,1,0.0381,0.026000000000000002,7.84e-06,0.113,0.8220000000000001,118.025,4
Your Song,4c2W3VKsOFoIg2SFaO6DY5,2019-04-26T14:42:21Z,Your Song,2017-05-25,180757,76,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,4218194,86,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.855,0.624,1,-4.093,1,0.0488,0.158,0.0,0.0513,0.9620000000000001,117.959,4
No New Friends,3Y7a0typ6ik1KscmebXd6D,2019-04-26T14:42:21Z,No New Friends,2019-03-14,175823,76,Sia,5WUlDfRSoLAfcVSX1WnrxN,11784897,89,"australian dance,australian pop,pop",0.7240000000000001,0.7020000000000001,7,-4.622,1,0.0429,0.0648,0.000256,0.121,0.688,106.044,4
Dive With Me,1NldMriIXmMdChqZtHCGbW,2019-04-26T14:42:21Z,Dive With Me EP,2017-11-03,220432,22,LVNDSCAPE,2QlwnS23KrBeshXFyK5U6M,59393,66,"deep house,deep tropical house,edm,electro house,house,pop edm,tropical house",0.68,0.541,2,-5.909,1,0.032,0.341,1.02e-06,0.23,0.447,97.005,4
Paradise,0wGxHftiB6j0SDzrFkF2G7,2019-04-26T14:42:21Z,Paradise,2018-09-28,215336,67,Nicky Romero,5ChF3i92IPZHduM7jN3dpg,1592275,72,"big room,dance pop,deep big room,edm,electro house,house,pop,pop edm,progressive electro house,progressive house,tropical house",0.623,0.6809999999999999,7,-3.49,1,0.0268,0.139,0.0,0.0946,0.45299999999999996,121.98,4
Can You Feel It,6rC55vFj1dBuxN5zjuOIF1,2019-04-26T14:42:21Z,Can You Feel It,2017-08-22,193813,59,Birgir,2hCU6EhDEmPjpqe8cAHAcm,1025,49,icelandic indie,0.606,0.685,7,-7.486000000000001,1,0.0343,0.0208,0.0009279999999999999,0.107,0.22399999999999998,116.994,4
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,2019-04-26T14:42:21Z,All Your Fault: Pt. 2,2017-08-11,163870,83,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,3551973,87,"dance pop,electropop,pop,post-teen pop",0.643,0.7829999999999999,10,-6.457999999999999,1,0.0856,0.047,0.0,0.083,0.579,154.084,4
Castle on the Hill,6PCUP3dWmTjcTtXY02oFdT,2019-04-26T14:42:21Z,÷ (Deluxe),2017-03-03,261153,80,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,43741520,93,"pop,uk pop",0.461,0.8340000000000001,2,-4.868,1,0.0989,0.0232,1.1400000000000001e-05,0.14,0.47100000000000003,135.007,4
I'm With You,6sVA6iAl2ykqzQtR4uMWcY,2019-04-26T14:42:21Z,I'm With You,2018-09-28,180937,55,Nause,4PVn1b2WnnXdq80C7uaZLZ,190955,53,"edm,progressive electro house,swedish pop",0.732,0.8170000000000001,5,-5.787999999999999,1,0.192,0.128,0.0,0.34600000000000003,0.621,114.01,4
Ready To Love You,2gJIL7h1fCpFh6NjCZUJyQ,2019-04-26T14:42:21Z,Ready To Love You,2017-10-20,209047,19,HEDEGAARD,2ZuweXv0TkfsidZOLZZoM2,52528,58,"danish pop,scandipop",0.662,0.772,0,-5.131,1,0.0656,0.037000000000000005,0.0,0.335,0.414,103.26799999999999,4
No More,6oA7NzN7FgmXv7l7Y638HL,2019-04-26T14:42:21Z,No More,2018-03-23,183292,57,Olivera,4iFfQpzvTJDhqmSi28EhYu,939,49,,0.7959999999999999,0.5710000000000001,1,-7.099,0,0.0526,0.07200000000000001,0.0077599999999999995,0.0812,0.396,130.983,4
Mixtape,138z3pmiVinj6I9lOrZHXG,2019-04-26T14:42:21Z,Mixtape,2018-04-13,196133,55,jens,71o1oWpLHVDNbfw7TwXKDg,956,46,scandipop,0.8270000000000001,0.524,0,-7.18,1,0.0445,0.11699999999999999,2.61e-06,0.0814,0.584,105.964,4
Paradise,7c71baHwrGDOeIFl1gVO14,2019-04-26T14:42:21Z,Paradise,2018-01-19,222044,26,George Ezra,2ysnwxxNtSgbb9t1m2Ur4j,2159198,82,"neo-singer-songwriter,pop",0.642,0.8809999999999999,11,-3.537,1,0.0393,0.209,0.0,0.21,0.9129999999999999,138.03,4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,2019-04-26T14:42:21Z,"Don't Forget About Me, Demos",2018-10-16,177666,88,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,65104,76,alternative pop rock,0.815,0.518,7,-6.593999999999999,0,0.0897,0.223,0.0,0.10400000000000001,0.877,151.891,4
Body Heat,1hJ6x0VhpIlrrjnbqKHtfn,2019-04-26T14:42:21Z,Yesterday Was Forever,2018-03-30,184675,54,Kate Nash,5vBKu1igxFo6g1sHADkIdg,288573,58,"anti-folk,folk-pop,piano rock",0.585,0.542,5,-9.113,1,0.102,0.12,0.0,0.0486,0.584,167.825,4
Just a Little Longer,74d9QhneUCIUvO00ev5kyX,2019-04-26T14:42:21Z,Overthinking,2018-12-07,206204,64,SHY Martin,7eCmccnRwPmRnWPw61x6jM,56567,70,"dance pop,electropop,indie cafe pop,norwegian pop,pop,pop edm,swedish electropop",0.85,0.551,0,-7.197,1,0.0572,0.0559,0.0,0.161,0.634,104.96700000000001,4
