track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Does It Matter,7FxidSR6IoL3qMRXxFJ8pd,2019-07-18T23:13:01Z,Does It Matter,2017-12-08,208016,64,Janieck,1bZDq4po4dMIpN74Zendm0,12334,67,dutch pop,0.728,0.7559999999999999,10,-6.167000000000001,0,0.0581,0.0158,0.0,0.11,0.292,126.02,4
Sunday Smile,3U2imIBWN0BnTS516Lhjfr,2019-07-18T23:13:01Z,Sunday Smile,2016-07-22,208643,59,Jake Troth,4YYFbWfMM8Gr55Hddzkcrl,1015,49,,0.6859999999999999,0.654,11,-6.73,1,0.0472,0.541,0.0,0.111,0.395,124.647,4
Take Me Out,0ancVQ9wEcHVd0RrGICTE4,2019-07-18T23:13:01Z,Franz Ferdinand,2004-02-16,237026,14,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,1523431,70,"alternative rock,dance-punk,garage rock,indie rock,modern rock,new rave,rock,scottish rock",0.27899999999999997,0.664,9,-8.851,1,0.0371,0.000389,0.000655,0.133,0.49,104.56,4
Tonight I Have To Leave It,4OLlcgkQR9V9Eqk8sUEjtY,2019-07-18T23:13:01Z,Our Ill Wills,2007-04-25,213706,37,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,43791,45,"indie pop,swedish alternative rock,swedish indie rock",0.5820000000000001,0.946,9,-2.9730000000000003,1,0.0916,0.0336,8.53e-05,0.11,0.43,136.114,4
Best of Me,022KUgS0Q5c3MTePafMLai,2019-07-18T23:13:01Z,Best of Me,2019-04-19,213123,56,Blake Rose,7wLyGTO9vUS7ndlq4BvBGe,4313,59,australian electropop,0.47600000000000003,0.775,7,-6.95,1,0.172,0.00155,0.0,0.46399999999999997,0.247,139.967,4
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,2019-07-18T23:13:01Z,All Your Fault: Pt. 2,2017-08-11,163870,80,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,3828918,88,"dance pop,pop,post-teen pop",0.643,0.7829999999999999,10,-6.457999999999999,1,0.0856,0.047,0.0,0.083,0.579,154.084,4
"You're The One That I Want - From ""Grease"" Original Motion Picture Soundtrack",1pj3RzpA5AoXkZln0NockI,2019-07-18T23:13:01Z,Grease (Limited Edition),1998-01-01,169840,17,John Travolta,4hKkEHkaqCsyxNxXEsszVH,58187,68,hollywood,0.762,0.608,0,-11.36,1,0.0644,0.294,0.00148,0.11699999999999999,0.841,106.931,4
Forever Young,0o9bHFc8Lt5tZFvTjNZTNf,2019-07-18T23:13:01Z,Forever Young,2018-07-27,167911,68,John De Sohn,3TVjdmhfFoYJLgBEkkZTBm,66158,64,"big room,dance pop,deep pop edm,edm,progressive electro house,swedish pop,swedish tropical house,tropical house",0.6509999999999999,0.617,8,-6.077000000000001,1,0.0309,0.179,0.0,0.113,0.591,121.977,4
I Don't Belong In This Club,45ZGEdLxCZvdMX9jWlsAAx,2019-07-18T23:13:01Z,I Don't Belong In This Club,2019-03-20,222620,79,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1415263,81,"boy band,dance pop,pop,post-teen pop,teen pop",0.797,0.5429999999999999,11,-5.744,1,0.0439,0.0202,0.0,0.0726,0.16399999999999998,115.036,4
Why So Serious,50tGR9MkWXug4dCvshHo8s,2019-07-18T23:13:01Z,Why So Serious,2018-09-07,223933,37,Alice Merton,7f0OLhGgBMX9fUjm1dcPip,195358,65,modern rock,0.856,0.462,10,-7.478,1,0.059000000000000004,0.273,0.0,0.11,0.7140000000000001,108.012,4
I.F.L.Y.,4R9ATNRRl1uth17i5qDCc0,2019-07-18T23:13:01Z,I.F.L.Y.,2019-07-18,165714,64,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,1805203,85,"dance pop,pop,post-teen pop",0.812,0.519,2,-4.823,1,0.0385,0.379,0.0,0.13,0.5539999999999999,104.954,4
Take on Me,2WfaOiMkCvy7F5fcp2zZ8L,2019-07-18T23:13:01Z,Hunting High And Low,1985-06-01,225280,80,a-ha,2jzc5TC5TVFLXQlBNiIUzE,877702,73,"dance rock,new romantic,new wave,new wave pop,permanent wave,soft rock,synthpop",0.573,0.902,6,-7.638,0,0.054000000000000006,0.018000000000000002,0.00125,0.0928,0.8759999999999999,84.412,4
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-07-18T23:13:01Z,Ivy To Roses (Mixtape),2019-01-18,178480,87,Mabel,1MIVXf74SZHmTIp4V4paH4,311216,83,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.674,0.8809999999999999,9,-2.853,1,0.147,0.29600000000000004,3.01e-06,0.0793,0.23399999999999999,98.994,4
A Thousand Miles,5y69gQtK33qxb8a24ACkCy,2019-07-18T23:13:01Z,Be Not Nobody,2002-04-30,237493,17,Vanessa Carlton,5ILrArfIV0tMURcHJN8Q07,322402,69,"dance pop,folk-pop,lilith,neo mellow,piano rock,pop rock",0.5589999999999999,0.845,11,-3.8710000000000004,1,0.0379,0.222,0.0,0.16399999999999998,0.304,94.915,4
Ritual,3M9Apu4OZfylLTFKvgEtKa,2019-07-18T23:13:01Z,Ritual,2019-05-31,198995,85,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4481280,84,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.647,0.726,3,-4.388999999999999,0,0.0552,0.157,0.0,0.0844,0.767,114.99600000000001,4
A Town Called Malice,1KP1j8sCQADCc8eXrtAUP6,2019-07-18T23:13:01Z,The Matador (Original Motion Picture Soundtrack),2006-04-21,176146,48,The Jam,0q8aHXla7UUtJ2ppwtV0Nd,637,38,,0.5379999999999999,0.9570000000000001,6,-5.5889999999999995,0,0.071,0.000746,0.042,0.0604,0.7440000000000001,101.887,4
"I Can't Help Myself (Sugar Pie, Honey Bunch)",3aSWQJcWnnqgwYbAgidvlV,2019-07-18T23:13:01Z,The Definitive Collection,2008-01-01,163680,63,Four Tops,7fIvjotigTGWqjIz6EP1i4,495599,70,"brill building pop,classic soul,disco,funk,mellow gold,motown,quiet storm,soft rock,soul",0.6859999999999999,0.7140000000000001,0,-4.809,1,0.0287,0.204,0.0,0.0592,0.9640000000000001,126.736,4
Here Comes The Sun - Remastered,45yEy5WJywhJ3sDI28ajTm,2019-07-18T23:13:01Z,Abbey Road (Remastered),1969-09-26,185733,29,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,12731598,89,"british invasion,merseybeat,psychedelic rock,rock",0.557,0.54,9,-10.484000000000002,1,0.0347,0.0339,0.00248,0.179,0.39399999999999996,129.171,4
Riptide,7yq4Qj7cqayVTp3FF9CWbm,2019-07-18T23:13:01Z,Dream Your Life Away,2014-09-08,204280,74,Vance Joy,10exVja0key0uqUkk6LJRT,1732629,78,"indie folk,modern rock,neo mellow,pop",0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4
Rude,6RtPijgfPKROxEzTHNRiDp,2019-07-18T23:13:01Z,Don't Kill the Magic,2014-06-25,224840,74,MAGIC!,0DxeaLnv6SyYk2DOqkLO8c,1030505,72,"pop,reggae fusion",0.774,0.7559999999999999,1,-4.995,1,0.0389,0.0423,0.0,0.305,0.9309999999999999,144.032,4
Girls Just Want to Have Fun,0QVgZCAnasHo3TevIz7XLW,2019-07-18T23:13:01Z,Twelve Deadly Cyns...And Then Some,1983,234600,56,Cyndi Lauper,2BTZIqw0ntH9MvilQ3ewNY,936181,73,"dance pop,dance rock,disco,europop,new wave pop,permanent wave,pop rock,soft rock",0.7040000000000001,0.721,6,-7.346,1,0.0369,0.37799999999999995,0.000113,0.373,0.769,120.54299999999999,4
Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,2019-07-18T23:13:01Z,Lost In Japan (Remix),2018-09-27,201253,75,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,18250920,95,"canadian pop,dance pop,pop,viral pop",0.6940000000000001,0.852,7,-5.34,0,0.257,0.0882,0.0,0.33399999999999996,0.377,107.178,4
Come On Eileen,5uzNa0SBGOe5pPnstWHMCt,2019-07-18T23:13:01Z,Too Rye Ay (Deluxe Edition),1982-08,273720,25,Dexys Midnight Runners,4QTVePrFu1xuGM9K0kNXkk,104923,67,"bow pop,dance rock,new wave pop",0.466,0.615,0,-9.102,1,0.0492,0.413,0.0,0.34299999999999997,0.812,108.016,4
We Built This City,7aHRctaQ7vjxVTVmY8OhAA,2019-07-18T23:13:01Z,Knee Deep In The Hoopla,1985,296080,26,Starship,0kObWap02DEg9EAJ3PBxzf,377287,68,"album rock,dance rock,mellow gold,new romantic,new wave pop,soft rock",0.6609999999999999,0.9079999999999999,5,-4.897,1,0.039,0.052000000000000005,0.0,0.0708,0.6559999999999999,144.091,4
Selfish,6xUy203RnyyOfbqf96Nven,2019-07-18T23:13:01Z,Selfish,2019-02-15,167857,68,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2487856,78,"belgian dance,belgian edm,big room,dance pop,deep big room,edm,electro house,progressive electro house,tropical house",0.40700000000000003,0.789,7,-4.229,0,0.282,0.17,0.0,0.126,0.687,92.93299999999999,4
Ready To Love You,2gJIL7h1fCpFh6NjCZUJyQ,2019-07-18T23:13:01Z,Ready To Love You,2017-10-20,209047,14,HEDEGAARD,2ZuweXv0TkfsidZOLZZoM2,53273,57,"danish electronic,danish pop,pop edm,scandipop",0.662,0.772,0,-5.131,1,0.0656,0.037000000000000005,0.0,0.335,0.414,103.26799999999999,4
I Will Wait,71O1jD7bF3cdMPvPi186V6,2019-07-18T23:13:01Z,Babel (Deluxe Version),2012-09-21,276720,18,Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,5196347,79,"folk-pop,modern rock,stomp and holler,uk americana",0.47700000000000004,0.7759999999999999,1,-5.056,1,0.0349,0.0155,0.00314,0.203,0.429,131.004,4
