track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Youngblood,2iUXsYOEPhVqEBwsqP70rE,2019-06-20T19:33:05Z,Youngblood (Deluxe),2018-06-15,203417,82,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,5053045,87,"boy band,dance pop,pop,post-teen pop,uk pop",0.596,0.854,7,-5.114,0,0.463,0.0169,0,0.124,0.152,120.274,4
Back To You,514rhnksEwHUh6LxXsQ4Y9,2019-06-20T19:33:05Z,13 Reasons Why (Season 2),2018-05-18,210240,73,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,16436722,87,"dance pop,pop,post-teen pop,uk pop",0.6,0.683,6,-6.271,1,0.0493,0.0984,1.26e-06,0.11,0.494,102.036,4
Blank Space,2sC2P3BN0IXujNaaSyDmtP,2019-06-20T19:33:05Z,1989 (Deluxe Edition),2014-10-27,231826,58,Taylor Swift,06HL4z0CvFAxyc27GXpf02,22297218,95,"dance pop,pop,post-teen pop",0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4
Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,2019-06-20T19:33:05Z,Illuminate,2017-04-20,187973,82,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,19302313,96,"canadian pop,pop,viral pop",0.444,0.819,10,-4.078,0,0.341,0.106,0,0.107,0.747,82.695,4
One Last Time,7xoUc6faLbCqZO6fQEYprd,2019-06-20T19:33:05Z,My Everything (Deluxe),2014-08-25,197266,79,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,34419730,95,"dance pop,pop,post-teen pop",0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,4
Happy Now,4keoy2fqgwGnbWlm3ZVZFa,2019-06-20T19:33:05Z,Happy Now,2018-07-18,207029,79,Zedd,2qxJFvFYMEDqd7ui6kSAcq,4630864,85,"complextro,dance pop,edm,electro house,german techno,pop,post-teen pop,tropical house",0.503,0.741,4,-5.128,1,0.047,0.579,1.49e-06,0.0712,0.458,88.335,3
Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,2019-06-20T19:33:05Z,All Your Fault: Pt. 2,2017-08-11,163870,80,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,3951485,88,"dance pop,pop,post-teen pop",0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,4
Shout Out to My Ex,0YHUITU3w6ws1v8ehT264g,2019-06-20T19:33:05Z,Glory Days (Deluxe),2016-11-18,246240,17,Little Mix,3e7awlrlDSwF3iM0WBjGMp,6304122,84,"dance pop,girl group,pop,post-teen pop,talent show,uk pop",0.774,0.739,0,-4.022,1,0.0952,0.0316,5.95e-06,0.119,0.823,126.002,4
Mercy,0AS63m1wHv9n4VVRizK6Hc,2019-06-20T19:33:05Z,Illuminate (Deluxe),2017-04-20,208733,79,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,19302313,96,"canadian pop,pop,viral pop",0.555,0.662,11,-4.952,0,0.0827,0.125,0,0.111,0.356,148.128,4
Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh,2019-06-20T19:33:05Z,Back from the Edge,2016-10-28,211466,82,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4456847,85,"dance pop,pop,post-teen pop,talent show,uk pop",0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4
Starving,4Ce37cRWvM1vIGGynKcs22,2019-06-20T19:33:05Z,Starving,2016-07-22,181880,78,Hailee Steinfeld,5p7f24Rk5HkUZsaS3BLG5F,4692633,81,"dance pop,pop,post-teen pop,tropical house,uk pop",0.729,0.615,4,-4.238,1,0.0647,0.378,0,0.105,0.508,99.989,4
Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,2019-06-20T19:33:05Z,The Time Of Our Lives (International Version),2009-01-01,202066,77,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,9589162,87,"dance pop,pop,post-teen pop,uk pop",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
Secret Love Song,4JIo8RztBbELr2gWJ5OGK6,2019-06-20T19:33:05Z,Get Weird (Deluxe),2015-11-06,249813,75,Little Mix,3e7awlrlDSwF3iM0WBjGMp,6304122,84,"dance pop,girl group,pop,post-teen pop,talent show,uk pop",0.534,0.642,9,-3.971,1,0.0504,0.259,0,0.29,0.131,92.963,4
Classic,6FE2iI43OZnszFLuLtvvmg,2019-06-20T19:33:05Z,MKTO,2012,175426,75,MKTO,2l35CQqtYRh3d8ZIiBep4v,668834,73,"australian pop,dance pop,pop,pop rap,pop rock,post-teen pop,uk pop",0.72,0.791,1,-4.689,1,0.124,0.0384,0,0.157,0.756,102.071,4
Into You,2meEiZKWkiN28gITzFwQo5,2019-06-20T19:33:05Z,Dangerous Woman,2016-05-20,244453,78,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,34419730,95,"dance pop,pop,post-teen pop",0.623,0.734,9,-5.95,1,0.107,0.0162,1.9e-06,0.145,0.372,107.853,4
Formation,6g0Orsxv6glTJCt4cHsRsQ,2019-06-20T19:33:05Z,Lemonade,2016-04-23,206080,74,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19819096,91,"dance pop,pop,r&b",0.896,0.621,5,-6.857,0,0.237,0.00532,0,0.196,0.818,121.966,4
Please Don't Go,3cNjgVBKTJ1SvKhunrCdVy,2019-06-20T19:33:05Z,Please Don't Go,2015-11-06,210580,74,Joel Adams,36jaGQtMj5UWD0eO1fCVdD,96385,66,australian pop,0.513,0.768,4,-4.868,0,0.0587,0.0118,1.94e-05,0.294,0.235,84.264,4
Closer,7BKLCZ1jbUBVqRi2FVlTVw,2019-06-20T19:33:05Z,Closer,2016-07-29,244960,83,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,13491483,91,"electropop,pop,tropical house",0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4
History,0HMjXBAZmSYOTTi33WpMso,2019-06-20T19:33:05Z,Made In The A.M. (Deluxe Edition),2015-11-13,187426,71,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,13786105,86,"boy band,dance pop,pop,post-teen pop,talent show",0.655,0.699,11,-4.421,1,0.0493,0.0352,0,0.064,0.802,86.704,4
Trip,6CTWathupIiDs7U4InHnDA,2019-06-20T19:33:05Z,Ella Mai,2018-10-12,213993,77,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,1946954,80,"dance pop,pop,pop rap,r&b,uk contemporary r&b",0.477,0.61,11,-5.628,0,0.144,0.225,0,0.107,0.358,79.882,4
