track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
One Man Band,3ksmU0DaEUMEVzx5V6cc3z,2019-07-12T15:34:45Z,Old Dominion,2019-01-18,186520,73,Old Dominion,6y8XlgIV8BLlIg1tT1R10i,530579,76,"contemporary country,country road",0.705,0.363,6,-8.327,1,0.0355,0.667,0,0.112,0.482,75.98,4
Thought About You,7kCXmYJeltdnCMMsfwaCsf,2019-07-12T15:34:45Z,Thought About You,2018-10-04,225694,18,Tim McGraw,6roFdX1y5BYSbp60OTJWMd,2753315,78,"contemporary country,country,country road",0.563,0.745,2,-4.753,1,0.0288,0.24,4.96e-05,0.11,0.28,121.015,4
Buy My Own Drinks,7IVTmZGRp264dILwTNXzjG,2019-07-12T15:34:45Z,Buy My Own Drinks,2019-05-31,206293,63,Runaway June,7yPbJOX7olhT3ynAyuj3Zl,20581,64,"contemporary country,country pop",0.686,0.9,5,-4.406,1,0.0614,0.068,0,0.0985,0.962,155.963,4
Knockin' Boots,6ERR6e7h6wCqGoz1TjiUJb,2019-07-12T15:34:45Z,Knockin' Boots,2019-03-29,199382,77,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,4225638,82,"contemporary country,country,country road",0.739,0.682,2,-3.728,1,0.205,0.129,0,0.328,0.634,131.983,4
That's How You Got It,0QFvybNsiwupz72jpQWxKn,2019-07-12T15:34:45Z,That's How You Got It,2019-01-07,184746,66,John Gurney,1cn7hpmFEpidzWJySGCTJF,3078,59,country pop,0.673,0.683,4,-4.224,1,0.0321,0.00181,1.06e-05,0.099,0.824,89.984,4
Every Girl in This Town,1TU7prccGLiAY0y59oa1at,2019-07-12T15:34:45Z,Every Girl in This Town,2019-06-06,178323,63,Trisha Yearwood,3XlIhgydjvC4EniPFZT20j,516560,63,"contemporary country,country,country dawn,country road",0.616,0.681,7,-7.265,1,0.0304,0.0572,0,0.0899,0.353,111.942,4
Talk You Out Of It,4kKgn11J60MHCrfS4AfbIm,2019-07-12T15:34:45Z,Florida Georgia Line,2018-07-06,202920,20,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,2981769,86,"contemporary country,country,country pop,country road,modern country rock",0.652,0.712,4,-4.588,1,0.0388,0.596,0,0.0814,0.553,120.063,4
God's Country,1dyxS3YzBbL0t8rEVwVQ1K,2019-07-12T15:34:45Z,God's Country,2019-03-29,205106,79,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,4329145,79,"contemporary country,country,country road",0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,4
Closer To You,7xELq8WliIctkuvWXONX6d,2019-07-12T15:34:45Z,Closer To You,2018-11-02,187321,70,Carly Pearce,4sIl4BTo9l9KqEi0Y3RE72,81223,64,"contemporary country,country pop",0.662,0.685,4,-4.561,0,0.0302,0.125,0,0.0961,0.447,111.964,4
Beer Can’t Fix,0g0d7TYam9svE9sZKDVyOg,2019-07-12T15:34:45Z,Beer Can’t Fix,2019-05-17,209733,51,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,2754615,84,"contemporary country,country,country road,modern country rock",0.711,0.774,7,-4.068,1,0.0308,0.0317,0,0.124,0.939,111.016,4
