track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-06T23:03:52Z,I Don't Care (with Justin Bieber),2019-05-10,219946,99,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45193473,97,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-06-06T23:03:52Z,If I Can't Have You,2019-05-03,190800,95,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,17039504,93,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
All Day And Night - Jax Jones & Martin Solveig Present Europa,33CfD8UkDEcSdAP9j4QpUY,2019-06-06T23:03:52Z,All Day And Night,2019-03-28,169303,81,Jax Jones,4Q6nIcaBED8qUel8bBx6Cr,486011,81,"dance pop,edm,house,pop,tropical house,uk dance",0.585,0.782,1,-4.101,0,0.0897,0.269,0,0.156,0.521,121.908,4
bad guy,2Fxmhks0bxGSBdJ92vM42m,2019-06-06T23:03:52Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,194087,100,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,8598600,100,"electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Hold Me While You Wait,60iSKGrGazRzICtMjADNSM,2019-06-06T23:03:52Z,Divinely Uninspired To A Hellish Extent,2019-05-17,205686,78,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,602300,89,"pop,uk pop",0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,4
Piece Of Your Heart,5p1ex0pXv6jSPJ6QbumQpD,2019-06-06T23:03:52Z,Piece Of Your Heart,2019-02-01,152913,76,MEDUZA,0xRXCcSX89eobfrshSVdyu,13189,80,pop house,0.677,0.744,10,-6.806,0,0.0295,0.0404,0.00016,0.074,0.631,124.08,4
Vossi Bop,44ZJ4hLD5onikKsVLQaILr,2019-06-06T23:03:52Z,Vossi Bop,2019-04-26,196266,86,Stormzy,2SrSdSvpminqmStGELCSNd,840311,79,grime,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,4
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,2019-06-06T23:03:52Z,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),2019-04-25,163804,91,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,10277057,89,"big room,edm,pop,progressive house,tropical house",0.661,0.723,5,-6.976,0,0.0566,0.179,1.23e-05,0.14,0.316,113.778,4
Old Town Road - Remix,6u7jPi22kF8CTQ3rb9DHE7,2019-06-06T23:03:52Z,Old Town Road,2019-04-05,157066,98,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,313606,91,country rap,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
SOS,6nDKrPlXdpomGBgAlO7UdP,2019-06-06T23:03:52Z,SOS,2019-04-10,157202,92,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13596695,92,"big room,edm,pop",0.802,0.645,5,-6.181,0,0.0715,0.272,0,0.119,0.376,100.001,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,2019-06-06T23:03:52Z,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215315,89,Kygo,23fqKkggKUBHNkbKtXEls4,4944905,90,"edm,pop,tropical house",0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,4
Sixteen,4PkIDTPGedm0enzdvilLNd,2019-06-06T23:03:52Z,Sixteen,2019-04-12,201072,87,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6538813,87,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house",0.669,0.801,8,-5.445,1,0.136,0.268,0,0.0594,0.541,109.919,4
Location (feat. Burna Boy),3z4CGd63tpUn9a6oQSG0CI,2019-06-06T23:03:52Z,PSYCHODRAMA,2019-03-08,241293,80,Dave,6Ip8FS7vWT1uKkJSweANQK,365681,78,uk hip hop,0.812,0.496,9,-5.969,0,0.297,0.271,0,0.0955,0.55,109.979,4
Bruises,4Of7rzpRpV1mWRbhp5rAqG,2019-06-06T23:03:52Z,Divinely Uninspired To A Hellish Extent,2019-05-17,220492,81,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,602300,89,"pop,uk pop",0.736,0.308,4,-7.83,1,0.0677,0.946,0,0.186,0.361,111.202,4
Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,2019-06-06T23:03:52Z,Cross Me (feat. Chance the Rapper & PnB Rock),2019-05-24,206186,89,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45193473,97,"pop,uk pop",0.746,0.787,4,-6.373,1,0.12,0.214,0,0.0669,0.607,95.005,4
