track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,2019-05-10T04:01:00Z,Ivy To Roses (Mixtape),2019-01-18,178480,93,Mabel,1MIVXf74SZHmTIp4V4paH4,233093,83,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.674,0.8809999999999999,9,-2.853,1,0.147,0.29600000000000004,3.01e-06,0.0793,0.23399999999999999,98.994,4
Sucker,4y3OI86AEP6PQoDE6olYhO,2019-05-10T04:01:00Z,Sucker,2019-03-01,181040,96,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2124281,86,"boy band,dance pop,pop,post-teen pop",0.8420000000000001,0.7340000000000001,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.9520000000000001,137.958,4
Last Hurrah,0i0wnv9UoFdZ5MfuFGQzMy,2019-05-10T04:01:00Z,Last Hurrah,2019-02-15,150333,85,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,3551973,87,"dance pop,electropop,pop,post-teen pop",0.514,0.618,11,-4.585,0,0.0317,0.175,0.0,0.11699999999999999,0.401,84.259,4
Who Do You Love,11cDEev79fPKi6uJCjUhu8,2019-05-10T04:01:00Z,Who Do You Love,2019-02-07,226746,80,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12041672,89,"dance pop,edm,electropop,pop,tropical house",0.51,0.835,3,-4.673,1,0.0447,0.007909999999999999,0.0,0.21899999999999997,0.435,140.024,4
Talk,0rTV5WefWd1J3OwIheTzxM,2019-05-10T04:01:00Z,Talk,2019-02-07,197487,90,Khalid,6LuN9FCkKOj5PcnpouEgny,6254640,98,pop,0.9,0.4,0,-8.443,1,0.124,0.0501,0.0,0.0876,0.33799999999999997,136.001,4
The Bones,3npzogdOEiVsieXmmhBepL,2019-05-10T04:01:00Z,GIRL,2019-03-08,197293,84,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,328259,82,contemporary country,0.612,0.57,11,-6.642,0,0.0347,0.27899999999999997,0.0,0.0963,0.335,77.00399999999999,4
No New Friends,3Y7a0typ6ik1KscmebXd6D,2019-05-10T04:01:00Z,No New Friends,2019-03-14,175823,76,Sia,5WUlDfRSoLAfcVSX1WnrxN,11784901,89,"australian dance,australian pop,pop",0.7240000000000001,0.7020000000000001,7,-4.622,1,0.0429,0.0648,0.000256,0.121,0.688,106.044,4
Just You and I,2n48BjaFSczfeIG3HaIaPv,2019-05-10T04:01:00Z,Just You and I,2019-01-11,174982,81,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,386108,80,"indie anthem-folk,pop",0.5670000000000001,0.696,9,-5.416,1,0.301,0.456,0.0,0.113,0.544,92.061,4
MONOPOLY (with Victoria Monét),6tsOcBnaKgzK22yEiqRh8P,2019-05-10T04:01:00Z,MONOPOLY,2019-04-01,158586,87,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,28961808,97,"dance pop,pop,post-teen pop",0.892,0.507,0,-8.282,1,0.37799999999999995,0.7040000000000001,3.14e-05,0.109,0.695,143.96,4
Fashion Week (feat. AJ Tracey & MoStack),78KyOmqWmqLkQcXO1cA7MO,2019-05-10T04:01:00Z,Fashion Week (feat. AJ Tracey & MoStack),2019-03-21,201998,78,Steel Banglez,6k970rXaWAWVfWMjqWtFNI,51382,67,"birmingham grime,grime,uk drill,uk hip hop",0.6940000000000001,0.757,11,-6.899,0,0.16699999999999998,0.272,0.000161,0.0995,0.703,97.167,4
Lifestyle,4Xj15KENY2B1MdWwcz8eg8,2019-05-10T04:01:00Z,Lifestyle,2019-03-20,203491,64,Deno,58ICshZ0AgBMNJiLHK3U8l,19717,65,uk hip hop,0.564,0.569,5,-4.836,0,0.245,0.084,0.0,0.217,0.59,105.016,4
Your Mrs,4MKM1sU3d3aS23WJsYipdV,2019-05-10T04:01:00Z,Your Mrs,2019-03-27,173331,76,JAY1,0BKx4UjPvXVGY15u0xFbbi,34377,70,uk hip hop,0.852,0.6679999999999999,5,-7.86,1,0.45299999999999996,0.612,4.58e-06,0.0634,0.588,143.832,4
Undrunk,5SHhPFh68OhUmuRPymKX9d,2019-05-10T04:01:00Z,Undrunk,2019-01-25,183428,82,FLETCHER,5qa31A9HySw3T7MKWI9bGg,80059,72,"dance pop,electropop,indie cafe pop,indie poptimism,pop,post-teen pop",0.679,0.5720000000000001,5,-6.702999999999999,1,0.0781,0.455,2.41e-06,0.127,0.542,92.859,4
Ocho Cinco,3jm3D6ZqmLKiIDDWAIkmPl,2019-05-10T04:01:00Z,Utopia,2019-04-12,220287,56,M Huncho,491U1PrV1EoQuhM0aUCn9r,78027,71,uk hip hop,0.495,0.608,9,-8.164,0,0.312,0.185,0.0,0.153,0.401,139.19899999999998,4
