track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
What Do You Mean?,4DmgUMnnCw27Tu5Jvqhm1n,2019-05-31T04:01:00Z,Ignorance is Bliss,2019-05-31,211120,61,Skepta,2p1fiYHYiXz9qi0JJyxBzN,547716,80,"birmingham grime,grime,hip hop,instrumental grime,rap",0.738,0.521,2,-8.908999999999999,1,0.495,0.0482,5.75e-06,0.10800000000000001,0.379,192.003,4
When You Know What Love Is,47RJ8UdQChHII64k9u4hBl,2019-05-31T04:01:00Z,When You Know What Love Is,2019-05-31,205073,52,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,462468,72,"british soul,dance pop,neo soul,pop,r&b,urban contemporary",0.723,0.856,11,-3.554,0,0.0507,0.131,0.0,0.1,0.6509999999999999,116.975,4
Now You're Gone (feat. Zara Larsson) - Radio Edit,1rfNR4mPFYtLKtoZqEo7Am,2019-05-31T04:01:00Z,Now You're Gone (feat. Zara Larsson) [Radio Edit],2019-05-31,173330,40,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,402696,80,"indie anthem-folk,pop",0.7390000000000001,0.68,4,-7.774,0,0.273,0.615,2.76e-06,0.16399999999999998,0.32899999999999996,102.163,4
Wish You Well,1yAPglN5AGf7UoLK062ZYq,2019-05-31T04:01:00Z,Wish You Well,2019-05-24,205653,70,Sigala,1IueXOQyABrMOprrzwQJWN,812869,78,"dance pop,edm,pop,tropical house",0.669,0.895,5,-3.787,0,0.0575,0.128,0.0,0.297,0.5760000000000001,124.964,4
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-05-31T04:01:00Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,73,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,547629,83,"dance pop,pop",0.605,0.664,8,-7.162000000000001,1,0.0316,0.00548,3e-06,0.204,0.16399999999999998,103.99700000000001,4
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,2019-05-31T04:01:00Z,Not Ok,2019-05-23,210943,81,Kygo,23fqKkggKUBHNkbKtXEls4,4909475,89,"edm,pop,tropical house",0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-05-31T04:01:00Z,Never Really Over,2019-05-31,223523,74,Katy Perry,6jJ0s89eD6GaHleKKya26X,12992899,87,"dance pop,pop,post-teen pop",0.765,0.883,8,-4.736000000000001,1,0.0688,0.2,0.0,0.303,0.36,99.98700000000001,4
Mother's Daughter,2WyRfGeHo97VC5mP1BBSzr,2019-05-31T04:01:00Z,SHE IS COMING,2019-05-31,219080,72,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,8782505,85,"dance pop,pop,post-teen pop",0.6809999999999999,0.865,1,-4.132,0,0.0594,0.00464,0.0016899999999999999,0.149,0.528,91.01700000000001,4
OT Bop,6bAirj2qDf0agxdMuIdq1p,2019-05-31T04:01:00Z,OT Bop,2019-05-23,185760,68,NSG,31Ua7zSTJxegjyd49ujbSA,39355,69,"afro dancehall,grime,uk dancehall,uk hip hop",0.9359999999999999,0.479,8,-5.8420000000000005,1,0.27,0.11199999999999999,0.0107,0.0663,0.479,100.999,4
Isis,36TO60sxDduIsO3xH8IcUh,2019-05-31T04:01:00Z,Isis,2019-05-23,236000,82,Joyner Lucas,6C1ohJrd5VydigQtaGy5Wa,721368,81,"boston hip hop,hip hop,pop rap,rap",0.9179999999999999,0.8370000000000001,1,-6.792000000000001,1,0.255,0.23399999999999999,0.0,0.22699999999999998,0.855,120.01700000000001,4
Love Tonight,0pkfyhvGnYHoSwGvRS36Gh,2019-05-31T04:01:00Z,Love Tonight,2019-02-01,194546,55,Soulé,1XRCocF9w2bZKho10CbDOP,3667,48,irish pop,0.835,0.7340000000000001,5,-4.978,0,0.21100000000000002,0.192,0.0,0.231,0.667,105.012,4
The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,2019-05-31T04:01:00Z,The London (feat. J. Cole & Travis Scott),2019-05-23,200106,87,Young Thug,50co4Is1HCEo8bhOyUWKpn,4055310,88,"atl hip hop,atl trap,gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",0.7959999999999999,0.586,4,-6.946000000000001,0,0.147,0.0247,0.0,0.132,0.179,97.98100000000001,4
