track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,2019-07-19T04:01:00Z,Indigo,2019-06-28,260640,83,Chris Brown,7bXgB6jMjp9ATFy66eO08Z,9174555,93,"dance pop,pop,pop rap,r&b,rap",0.698,0.454,1,-6.756,0,0.151,0.123,0,0.155,0.137,92.932,4
Right Back (feat. A Boogie Wit Da Hoodie),6PYnUsNEpYC7A4BS2sjw3L,2019-08-02T04:01:00Z,Right Back (feat. A Boogie Wit Da Hoodie),2019-08-02,254999,74,Khalid,6LuN9FCkKOj5PcnpouEgny,7761508,96,pop,0.786,0.428,5,-10.011,0,0.31,0.0933,1.1e-06,0.156,0.556,97.001,4
Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,2019-07-05T20:54:38Z,Goodbyes (Feat. Young Thug),2019-07-05,174960,94,Post Malone,246dkjvS1zLTtiykXe5h60,16247995,96,"dfw rap,pop,rap",0.58,0.653,5,-3.818,1,0.0745,0.447,0,0.111,0.175,150.231,4
Panini,68poZGRClFTzLdeRz9X0M2,2019-06-20T21:00:20Z,Panini,2019-06-20,114893,57,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,797135,92,country rap,0.703,0.594,5,-6.146,0,0.0752,0.342,0,0.123,0.475,153.848,4
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,2019-08-09T19:54:11Z,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),2019-08-09,199427,68,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,284931,79,"hip pop,houston rap,pop,r&b,trap queen",0.872,0.814,0,-4.568,1,0.155,0.00485,1.96e-06,0.214,0.57,98.985,4
Antisocial (with Travis Scott),0Tdh0VTkzmPGeAQIXHYhVJ,2019-07-12T04:01:00Z,No.6 Collaborations Project,2019-07-12,161746,74,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48793542,100,"pop,uk pop",0.715,0.823,5,-5.313,0,0.0495,0.133,0,0.361,0.91,151.956,4
Focus (feat. 21 Savage),12iDo4Kdw9vA2X1lN3UTVu,2019-07-05T20:54:38Z,Focus (feat. 21 Savage),2019-06-13,155133,79,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,1932501,86,"dance pop,pop,post-teen pop",0.752,0.703,1,-5.268,1,0.0969,0.00694,0,0.143,0.538,77.021,4
Single Again,7IP0lO9tHfNwBWZ9X6TJ84,2019-07-26T04:01:00Z,Single Again,2019-07-26,213733,75,Big Sean,0c173mlxpT3dSFRgMO8XPh,6398435,85,"detroit hip hop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music",0.655,0.68,8,-5.599,1,0.0779,0.149,0,0.164,0.226,94.969,4
Ransom,1kBbgxAUc4HQv7cgIayIDH,2019-08-02T04:31:37Z,Ransom,2019-06-04,131280,92,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,289596,85,trap music,0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
Civil War,5tmu5pAFHkUSl8Fo8ncyA4,2019-05-10T04:01:00Z,Civil War,2019-05-08,143880,79,Russ,1z7b1Pr1rSlvWRzsW3HOrS,2540407,84,"pop,rap",0.913,0.608,7,-6.764,1,0.259,0.116,0,0.109,0.496,101.002,4
Zodi (feat. Mr Eazi),2s2arJw9uQkl9P8ZWwkGmr,2019-08-09T19:54:11Z,Zodi (feat. Mr Eazi),2019-08-09,202924,32,Jidenna,4TsHKU8l8Wq7n7OPVikirn,261643,63,ghanaian hip hop,0.808,0.685,9,-8.367,1,0.144,0.0346,1.69e-05,0.411,0.635,105.941,4
Lalala,51Fjme0JiitpyXKuyQiCDo,2019-07-19T04:01:00Z,Lalala,2019-06-28,160626,89,Y2K,6USMTwO0MNDnKte5a5h0xx,30335,80,,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,4
Amnesia (feat. Ari Lennox & Kiddominant),7LMhHrfftRJVsmNpMnZew3,2019-08-09T04:01:00Z,Spilled Milk 1,2019-08-09,215551,50,Bas,70gP6Ry4Uo0Yx6uzPIdaiJ,242702,78,"hip hop,pop rap,rap,southern hip hop,underground hip hop",0.752,0.573,7,-9.064,1,0.291,0.114,0.00013,0.151,0.662,119.95,4
Caught Up (feat. Khalid),1opARDDYaOeE1QUdwXmBGu,2019-07-26T04:01:00Z,Caught Up (feat. Khalid),2019-07-24,247546,74,Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,417543,72,"alternative r&b,pop,r&b,trap soul",0.678,0.438,9,-8.847,0,0.0577,0.29,0,0.0838,0.501,81.498,4
La La Land (feat. YG),3TpBefRZ1vFcOH6z57PQRI,2019-05-03T04:01:00Z,La La Land (feat. YG),2019-03-01,177117,75,Bryce Vine,1ShZZUjkbXCjhwrb18BA8I,196139,78,"pop,pop rap",0.781,0.469,1,-5.107,0,0.0569,0.223,0,0.19,0.412,98.013,4
Prince Akeem,2PFWxJVWIw1Sv3zjTX6Dth,2019-08-09T04:01:00Z,Prince Akeem,2019-08-06,231440,55,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,875942,75,"dance pop,pop,pop rap",0.767,0.909,7,-5.474,0,0.0586,0.0654,2.01e-05,0.174,0.769,149.978,5
Take Me Back to London (feat. Stormzy),1AI7UPw3fgwAFkvAlZWhE0,2019-07-12T04:01:00Z,No.6 Collaborations Project,2019-07-12,189733,83,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,48793542,100,"pop,uk pop",0.885,0.762,8,-5.513,0,0.216,0.219,0,0.162,0.605,138.059,4
Girlfriend (feat. G-Eazy),2Dl4B2t2dysNepXKRaiWVh,2019-08-09T04:01:00Z,Girlfriend (feat. G-Eazy),2019-08-06,190868,59,T-Pain,3aQeKQSyrW4qWr35idm0cy,2122442,81,"dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap music,urban contemporary",0.83,0.652,1,-5.628,1,0.0475,0.000987,0,0.137,0.336,100.005,4
Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,2019-08-02T04:01:00Z,Hate Me (with Juice WRLD),2019-06-26,186223,85,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,6798517,86,"dance pop,edm,electropop,metropopolis,pop,post-teen pop,r&b,tropical house,uk pop",0.657,0.768,8,-4.628,1,0.0507,0.108,0,0.144,0.759,75.025,4
Paradise,7njKgVl3AnLflRad38o7AG,2019-05-03T04:01:00Z,Paradise,2019-04-04,169038,84,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,1932501,86,"dance pop,pop,post-teen pop",0.844,0.644,11,-6.273,0,0.0479,0.0828,0,0.113,0.591,122.061,4
Do You Remember,67xBtV07CC73eFw7z5oCvU,2019-07-26T17:01:00Z,The Big Day,2019-07-26,236685,75,Chance the Rapper,1anyVhU62p31KFi8MEzkbf,4272119,90,"chicago rap,conscious hip hop,hip hop,pop rap,rap",0.606,0.655,6,-6.328,1,0.402,0.139,0,0.103,0.696,159.824,4
Rodeo,4ak7xjvBeBOcJGWFDX9w5n,2019-06-21T04:01:00Z,7 EP,2019-06-21,158706,86,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,797135,92,country rap,0.706,0.679,9,-5.614,1,0.0324,0.139,6.98e-05,0.465,0.657,140.081,4
