track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Someone You Loved,7qEHsqek33rTcFNT9PFqLf,2019-06-25T12:09:17Z,Divinely Uninspired To A Hellish Extent,2019-05-17,182160,87,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,810785,88,pop,0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,4
Paano Na Kaya,7lwrnZgcykugVnbWr3Z03m,2019-06-25T12:09:17Z,Paano Na Kaya,2008-12-01,251328,41,Bugoy Drilon,0kRAKgEOVI43Qkz9PLmPt8,132315,49,"classic opm,opm,pinoy praise",0.413,0.33,8,-9.301,1,0.03,0.836,1.12e-06,0.33,0.41700000000000004,125.795,4
I Love You Goodbye,6cZcM2Dtju69EcxcqzxvpZ,2019-06-25T12:09:17Z,Now Playing,2010-01-01,209584,44,Juris,4BNWanhw4AjSXjBm9L1Jzy,327695,59,"classic opm,opm",0.281,0.31,8,-10.195,1,0.0336,0.688,1.7899999999999998e-05,0.09300000000000001,0.188,60.501999999999995,4
Stay - On the Wings of Love Teleserye Theme,5QVuf1MpdzFtFoJGwcKosa,2019-06-25T12:09:17Z,Stay (On the Wings of Love Teleserye Theme),2016-02-17,262086,58,Daryl Ong,1vg8YXdgvLLPPeXZkM7g5W,279011,55,"opm,pinoy praise",0.562,0.281,7,-8.812999999999999,1,0.0296,0.841,0.0,0.11199999999999999,0.306,91.961,4
Without You,4hnWfn1kYBD7R23cS9aymq,2019-06-25T12:09:17Z,Without You,2006-07-29,306360,52,Kyla,2vTbuBRo7ACOZ3JsCnaL7S,521449,58,"classic opm,opm",0.268,0.512,2,-5.5,1,0.0369,0.565,0.0,0.19399999999999998,0.105,207.385,4
Kulang Ako Kung Wala Ka,6d8qftKrJYhyKAg8GGUzhU,2019-06-25T12:09:17Z,Awit Para Sa'Yo,2011-01-01,271154,39,Erik Santos,7ygtjsCTrCQZAYYPOne9uE,358662,60,opm,0.415,0.311,8,-8.436,1,0.0303,0.855,1.04e-05,0.142,0.373,138.154,4
Only Hope,3XpgLBx3TGuDIFV5gUaR0w,2019-06-25T12:09:17Z,A Walk To Remember Music From The Motion Picture,2002-01-15,233306,54,Mandy Moore,2LJxr7Pt3JnP60eLxwbDOu,382763,68,"dance pop,europop,hollywood,movie tunes,neo mellow,post-teen pop",0.24600000000000002,0.301,8,-8.714,0,0.0281,0.8759999999999999,1.1900000000000001e-05,0.109,0.193,77.572,3
Pagbigyang Muli,3mNlUuoiXJjA4ZCma3JSLC,2019-06-25T12:09:17Z,This Is the Moment,2004-01-01,295105,43,Erik Santos,7ygtjsCTrCQZAYYPOne9uE,358662,60,opm,0.614,0.395,4,-8.242,1,0.0294,0.611,0.0,0.11,0.12300000000000001,118.015,4
Konsepto,5g5gLFaanDOXOXTe3VXajE,2019-06-25T12:09:17Z,Konsepto,2019-02-01,225601,14,Jo.e,5MFYosu1XSt0H1AiEQIejD,4591,38,acoustic opm,0.778,0.292,5,-12.615,1,0.40299999999999997,0.157,0.0,0.11199999999999999,0.322,140.089,4
Huwag Ka Nang Magbabalik,7urlb6a4gHXioSxT3Rwz0S,2019-06-25T12:09:17Z,Best of Roselle Nava,2016-01-01,269038,35,Roselle Nava,4fkan03zhGYM8ZTfj3hLDk,48565,47,"classic opm,opm",0.634,0.395,6,-7.7410000000000005,1,0.0308,0.743,0.0,0.175,0.15,123.99,4
