track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Windmills,1vMhhdVx2OF1F6WS2y1S0n,2019-08-06T11:37:27Z,Windmills,2018-05-07,190250,56,Ossie Woods,2RNWon12U1hD0DZNKPwXVl,531,54,background music,0.291,0.0909,0,-27.69,0,0.0349,0.988,0.846,0.112,0.171,151.831,3
Footsteps,4Tp7GqV0ZwPllg07HH25Sv,2019-08-06T11:37:27Z,Footsteps,2018-03-22,156791,59,Léonie Deval,7bryNa0PlcBGmHpXFEJxni,598,58,background music,0.465,0.184,0,-20.322,0,0.0512,0.985,0.909,0.104,0.113,124.32,3
Keep Me,21rxhltWEcMhJmEaSbma3z,2019-08-06T11:37:27Z,Sleepless,2018-03-12,190000,60,Elliot Ziegler,0Wh30jSV0ZQf0IzHkEddBY,1265,62,"background music,focus",0.399,0.0901,7,-19.833,1,0.0426,0.992,0.918,0.105,0.0738,112.784,4
Divine Structure,5S7nfUHhiA3kfmyMPvhV6V,2019-08-06T11:37:27Z,Episode,2018-03-27,227874,62,Charlotte Funke,3yO7osdYZcoKHt0kTZT486,550,58,background music,0.267,0.0213,5,-22.608,1,0.0497,0.987,0.919,0.102,0.0502,57.178,4
Valse Glacée,6nFq454HmDgKLSit00vniw,2019-08-06T11:37:27Z,Valse Glacée,2018-09-03,180544,64,Tomasz Kraal,1XJ3PChclslYOOvJ7fJRkJ,2294,60,"background music,compositional ambient,focus,neo-classical",0.337,0.00907,10,-29.19,0,0.0439,0.995,0.924,0.13,0.0852,62.833,4
Don't Let Me Go,0NTNYW3E9mPy9jZjlHalDb,2019-08-06T11:37:27Z,Don't Let Me Go,2018-10-11,115993,59,Mark Souzek,472ZY6kKXhDcCXcOV0wxc2,90,53,"background music,focus",0.222,0.0654,0,-27.33,1,0.0376,0.991,0.805,0.11,0.13,136.106,4
19,7yQgoIcqrBIPBvhYtAXVo6,2019-08-06T11:37:27Z,19,2019-07-13,102124,62,Zoé de Vera,0ojIbBfm8uH68CpwcwoxGJ,158,56,background music,0.476,0.0734,9,-24.177,0,0.0369,0.991,0.956,0.105,0.186,82.326,4
Alabaster,07148It3eeWJjN4vJLZbRL,2019-08-06T11:37:27Z,Aureolin,2019-07-19,113908,58,Arden Forest,3LUa5res2UmvZ04kvlPMc7,1597,59,"background music,focus,neo-classical",0.371,0.0507,10,-23.054,0,0.0491,0.995,0.945,0.12,0.295,137.552,3
Monschau,1niyEXDHJ74O7tCyn2un9S,2019-08-06T11:37:27Z,Monschau,2019-07-19,114758,58,Maik Kuefer,7dDWo6Yh2ZWKRrvnZ87rEe,9,48,background music,0.373,0.0705,9,-28.567,1,0.0485,0.994,0.938,0.11,0.0817,65.149,3
Fragment,3VBPPIu4MGBnMj4SF8sJBJ,2019-08-06T11:37:27Z,Fragment,2019-07-26,153103,60,Ever So Blue,6LwcYWG1molG0KW2xwnPd2,47,60,background music,0.403,0.0621,6,-28.678,1,0.049,0.995,0.932,0.0999,0.146,135.761,4
Leander,02tMk9BDH5vxPUNdkPVppT,2019-08-06T11:37:27Z,Leander,2019-07-28,124750,54,Bert Hearns,1aGVRfsCFUIKGa775i4QJs,8,44,background music,0.255,0.133,8,-24.851,0,0.0432,0.986,0.938,0.114,0.371,113.169,4
