track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Hemet Pine Singer,0aNyZsNQZykSvoiwrjhBFB,2019-05-16T01:47:45Z,Imaginational Anthem Vol. 5,2012-11-13,229853,57,Will Stratton,7vy0OevOpPswNjEUxXPhaR,3499,46,,0.358,0.23199999999999998,6,-13.802999999999999,0,0.038,0.956,0.8959999999999999,0.106,0.0742,121.93700000000001,4
Pastures New,0FngZC9wJx2CPJIusVNYPh,2019-05-16T01:47:45Z,Nickel Creek,2000,233093,50,Nickel Creek,3bcLBxvaI7GsBzGp3WHnwQ,101641,51,"bluegrass,folk-pop,progressive bluegrass",0.377,0.171,2,-15.607999999999999,1,0.0282,0.682,0.0768,0.102,0.34,80.346,4
"Nocturnes, Op. 9: No. 2 in E-Flat Major. Andante",7yMSBYlmVEZYZS6V1SLrth,2019-05-16T01:47:45Z,Chopin: The Essentials,2010-02-09,274040,58,Frédéric Chopin,7y97mc3bZRFXzT2szRM4L4,1587830,77,"classical,early romantic era,polish classical",0.42200000000000004,0.0163,3,-26.561,1,0.0399,0.9890000000000001,0.9179999999999999,0.177,0.10800000000000001,64.079,4
Yellow Hills,4aTbaDR743xWA0YLMShioZ,2019-05-16T01:47:45Z,Yellow Hills,2017-03-17,160982,20,Daniel Kaede,6aup7uM4yUHX9NLba0sxmt,3240,59,"chill guitar,classify,focus",0.5770000000000001,0.191,8,-13.695,0,0.0483,0.917,0.732,0.10800000000000001,0.16899999999999998,105.962,4
"Show Me - From ""Fifty Shades Of Grey"" Score",6BCGwOxUdjyzp1vqMLYt1U,2019-05-16T01:47:45Z,Fifty Shades Of Grey (Original Motion Picture Score),2015-02-17,182173,50,Danny Elfman,5qBZETtyzfYnXOobDXbmcD,200131,65,"hollywood,scorecore,soundtrack",0.231,0.14400000000000002,10,-23.17,0,0.0384,0.813,0.929,0.109,0.0368,59.157,4
Farewell,1aEVdiqmS2KeCnpydYxsQT,2019-05-16T01:47:45Z,Youth Without Youth (オリジナル・サウンドトラック),2007-01-01,183666,49,Bucharest Metropolitan Orchestra,7EUB4N5xGVyireZNh5P0co,131,39,,0.253,0.23199999999999998,11,-15.645,0,0.0368,0.81,0.899,0.109,0.0367,112.303,3
"Sonata in A Minor, K 59 (L 241)",1UEDMKbWoJqaD91bRC8iZx,2019-05-16T01:47:45Z,Horowitz: The Celebrated Scarlatti Recordings - Expanded Edition,1964,244093,51,Domenico Scarlatti,0mFblCBw0GcoY7zY1P8tzE,66997,55,"baroque,classical,early music,italian baroque",0.31,0.156,9,-22.46,0,0.0411,0.9940000000000001,0.879,0.0894,0.37799999999999995,87.92200000000001,3
Fårö,7wl4CrKcTftB1ymaxSZxD3,2019-05-16T01:47:45Z,Electric Intervals,2017-11-17,304689,47,Martyn Heyne,6xrIXAjnPpgitqGcPFsl6f,2880,44,neo-classical,0.522,0.105,1,-21.465999999999998,1,0.0634,0.963,0.919,0.11,0.188,185.93400000000003,4
Your Lunar Way,7kZd7QbH9kX8mBZ4G8iAZP,2019-05-16T01:47:45Z,By the Deep Sea,2018-02-23,186512,48,Federico Albanese,75DsjkCdxGmvitG1tqqBkL,16862,55,"compositional ambient,focus,neo-classical",0.5489999999999999,0.34,1,-17.692,1,0.0528,0.857,0.946,0.134,0.145,156.795,4
Romanza,75LIsGtogRebxo0yfyuFBD,2019-05-16T01:47:45Z,Schwartz & Broadstock: Orchestral Works,2018-03-16,294706,46,Nan Schwartz,1e5kVaTdR0xvlKzkXxNRZh,57,35,,0.152,0.289,1,-14.019,0,0.0385,0.8390000000000001,0.797,0.122,0.0374,90.43299999999999,1
Hunting Bears - Like Spinning Plates,3wu4k7UQh75JH5ZkRVIDNJ,2019-05-16T01:47:45Z,Echo Collective Plays Amnesiac,2018-01-19,431271,45,Echo Collective,0vA5v6tBmGdzhupEeUDK9S,1470,41,,0.177,0.133,9,-14.923,1,0.0414,0.97,0.8290000000000001,0.11199999999999999,0.04,139.218,4
Open Water,7fQ0wLa0y8ZtGbXtvs2Q3u,2019-06-12T08:30:36Z,Shadowman's Waltz,2019-06-07,131458,39,Franz Gordon,6c9mrV72IOeJ5imCUK281g,1536,56,,0.401,0.16699999999999998,10,-15.429,0,0.0353,0.987,0.937,0.109,0.0789,136.27,4
