track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Cloud Walk,05CKxyJP3ZFRyMkY9idpCZ,2019-08-22T12:25:04Z,Folk Dances,2019-08-14,162597,45,Martin Greenbaum,2OaV087psXxou4fTQOpfdh,2,37,,,,,,,,,,,,,
Laajoki,3RmFW3rpBbQJDxQaDUmzbH,2019-08-22T12:25:04Z,Laajoki,2019-08-10,142291,42,Elsa Enestam,52xGnxKTmQAzpMjIk7qZzb,4,32,,0.19399999999999998,0.139,7.0,-24.587,0.0,0.0736,0.993,0.963,0.115,0.63,216.65400000000002,4.0
Zala,0mTNIBqWyosvtyYerntoBV,2019-08-22T12:25:04Z,Zala,2019-08-10,113624,42,Pataki Gisella,7ylwShecuuRLzZP81XRqzC,2,32,,0.331,0.231,5.0,-23.424,1.0,0.0445,0.982,0.963,0.0915,0.272,131.4,3.0
Windswept,716WusJfauRzjUjNEKs4Cd,2019-08-22T12:25:04Z,Windswept,2019-08-16,146044,42,Aimee Fleur,6nI0MtO93pTNhec5pbP43B,0,33,,0.231,0.0292,9.0,-24.986,0.0,0.0349,0.981,0.884,0.10300000000000001,0.11800000000000001,67.762,4.0
Flourescent Fields,4CE4KGvCgT26PMowtOeEn0,2019-08-22T12:25:04Z,Flourescent Fields EP,2019-08-13,161172,44,Fiona Elyse,784BpPGvNfmvkZvk0MncDS,2,35,,0.17800000000000002,0.0242,0.0,-25.373,0.0,0.0375,0.9890000000000001,0.862,0.10099999999999999,0.0554,75.505,4.0
Cerulean,5dIIazMhp1cJdTEp1Epuh6,2019-08-22T12:25:04Z,Cerulean,2019-08-09,142065,42,Roman Nadler,6PJNmKUT1INuhRkWesPjLK,4,33,,0.20800000000000002,0.0695,0.0,-21.329,1.0,0.0459,0.992,0.9390000000000001,0.11800000000000001,0.39,80.03399999999999,3.0
Beloved,3OLeQWqsXLKFbboNufjc8Z,2019-08-22T12:25:04Z,Beloved,2019-08-09,133879,46,Mark Mintuny,3gegJAyl43HbhzEFT1Dp8s,21,50,"background music,focus",0.301,0.0114,2.0,-24.97,1.0,0.0431,0.993,0.9009999999999999,0.10800000000000001,0.652,81.41,4.0
Morass,1FXshXB0McPgzDJdWSHDZF,2019-08-22T12:25:04Z,Morass,2019-08-09,130260,44,Caitrìona Caitir,5lbTGHBF3QM93KDgX5hsEH,12,34,,0.158,0.0196,0.0,-27.568,0.0,0.0427,0.9740000000000001,0.821,0.141,0.0542,69.626,4.0
Awake,4gFnOcArAjAx0wqadjtzsq,2019-08-22T12:25:04Z,Awake,2019-08-16,200852,46,Lambert,6pSQcy8935ABNiK2qOpOlK,19708,56,"compositional ambient,focus,neo-classical",0.584,0.239,7.0,-23.295,1.0,0.0424,0.961,0.91,0.157,0.147,140.004,4.0
Lisa's waltz,7l2CT1m2Fr9p5aQEYV6TEj,2019-08-22T12:25:04Z,Lisa's waltz,2019-08-09,129812,43,Lisa Chong,3CL1UCbfZQ39hc8pURmj38,1,33,,0.466,0.0438,3.0,-22.705,1.0,0.0451,0.988,0.956,0.11,0.0812,67.495,3.0
Gratitude,0ya8neyALMaTUpiyvoXCCU,2019-08-22T12:25:04Z,Gratitude,2019-08-09,131803,45,Melanie Adler,551CfpY5WmasLWB8Ir0EKx,17,44,background music,0.397,0.00935,1.0,-26.949,1.0,0.0478,0.992,0.932,0.0993,0.243,114.00200000000001,4.0
Silva Ciminia,06lw7g82wlw2kMjRvf8yIi,2019-08-22T12:25:04Z,Silva Ciminia,2019-08-04,103250,42,Nicola Conti,6vfIB4LyqkmDQevucWiiif,1,32,,0.447,0.0619,7.0,-25.688000000000002,0.0,0.0487,0.9940000000000001,0.9570000000000001,0.111,0.435,66.656,3.0
Amungen,6LF01sVtXXgpA4JcxCtUGP,2019-08-22T12:25:04Z,Amungen,2019-08-04,85624,42,Harry Bergqvist,7edUGJR9gORcdARCKR76ks,20,51,background music,0.32899999999999996,0.0233,10.0,-26.98,0.0,0.0536,0.995,0.935,0.10300000000000001,0.382,76.89,3.0
The Riverbank,2TB4jKeDPvNAnr6dvOC7LE,2019-08-22T12:25:04Z,Moonlight,2019-08-10,177435,39,Milo Edale,6ht27sA8oqmvcG4a2gcCsk,69,56,background music,0.45399999999999996,0.0308,7.0,-24.094,1.0,0.0578,0.991,0.863,0.111,0.12,69.564,4.0
Palmaille,47IaIWJmpBCbksEiCtXlg7,2019-08-22T12:25:04Z,Palmaille,2019-08-04,97374,32,Stephan Neudorf,3LTEyjfC2BYp3WdJhPJjm1,0,22,,0.34700000000000003,0.187,0.0,-22.182,1.0,0.0418,0.992,0.948,0.111,0.588,116.5,4.0
Lake House,5cEw5oqMYR1y7SQf5qHxJ2,2019-08-22T12:25:04Z,Fog,2019-08-13,179663,35,Silver And Nothing,5VcqvbSVYMJWhhaSbF2LlY,0,28,,0.319,0.10099999999999999,3.0,-23.853,1.0,0.043,0.988,0.9309999999999999,0.11599999999999999,0.2,151.826,3.0
Unstoppable Changes,3i0emtsR3mwlVGXSDDiUdx,2019-08-22T12:25:04Z,"Piano Works, Vol. 3",2019-08-09,224042,42,Sebastian Zawadzki,5UYaW3kkkyj483LiCOleBH,1278,39,neo-classical,0.36,0.0286,7.0,-30.293000000000003,1.0,0.0359,0.9840000000000001,0.8959999999999999,0.102,0.11599999999999999,90.566,4.0
Heart In The Right Place,24nF6nqmvl8EFOhYofOyTN,2019-08-22T12:25:04Z,Heart In The Right Place,2019-08-09,177480,38,Jesse Brown,5ou3jxRm9LFgxvuZij5LBT,580,45,neo-classical,0.485,0.139,1.0,-23.6,1.0,0.0313,0.988,0.948,0.10800000000000001,0.226,113.945,4.0
Human Influence,0VhKRhB1PjHpJ7y26o1zkt,2019-08-22T12:25:04Z,"Piano Works, Vol. 3",2019-08-09,229461,27,Sebastian Zawadzki,5UYaW3kkkyj483LiCOleBH,1278,39,neo-classical,0.23600000000000002,0.0647,11.0,-26.053,0.0,0.0336,0.965,0.893,0.106,0.165,99.581,4.0
