track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-06-10T01:56:56Z,I Don't Care (with Justin Bieber),2019-05-10,219946,99,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45546971,97,"pop,uk pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,4
Ritual,3M9Apu4OZfylLTFKvgEtKa,2019-06-10T01:56:56Z,Ritual,2019-05-31,198995,82,Tiësto,2o5jDhtHVPhrJdv3cEQ99Z,4395233,84,"big room,brostep,dance pop,edm,electro house,house,pop,trance,tropical house",0.647,0.726,3,-4.389,0,0.0552,0.157,0,0.0844,0.767,114.996,4
Never Really Over,5PYQUBXc7NYeI1obMKSJK0,2019-06-10T01:56:56Z,Never Really Over,2019-05-31,223523,89,Katy Perry,6jJ0s89eD6GaHleKKya26X,13090973,89,"dance pop,pop,post-teen pop",0.77,0.882,8,-4.792,1,0.0602,0.194,0,0.316,0.385,99.991,4
Heaven,0vrmHPfoBadXVr2n0m1aqZ,2019-06-10T01:56:56Z,TIM,2019-06-06,277261,86,Avicii,1vCWHaC5f2uS3yhpwWbIA6,13695754,93,"big room,edm,pop",0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,4
ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,2019-06-10T01:56:56Z,ME!,2019-04-26,193040,85,Taylor Swift,06HL4z0CvFAxyc27GXpf02,20409420,93,"dance pop,pop,post-teen pop",0.614,0.839,0,-4.143,1,0.0702,0.0291,0,0.112,0.657,182.123,4
Only Human,0DiDStADDVh3SvAsoJAFMk,2019-06-10T01:56:56Z,Happiness Begins,2019-06-07,183000,83,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2357248,90,"boy band,dance pop,pop,post-teen pop",0.793,0.49,2,-5.857,0,0.0784,0.121,0,0.0638,0.838,94.006,4
tomorrow tonight,6aYwwMcANnpuUm4zLsCzy3,2019-06-10T01:56:56Z,tomorrow tonight,2019-05-17,202266,65,Loote,00TKPo9MxwZ0j4ooveIxWZ,53647,74,"australian pop,dance pop,electropop,indie cafe pop,indie poptimism,nyc pop,pop,pop edm,post-teen pop,tropical house",0.458,0.415,8,-10.963,1,0.0665,0.138,0,0.106,0.17,91.623,4
Find U Again (feat. Camila Cabello),1HpzOCZbNWzxvvXfSGtSrX,2019-06-10T01:56:56Z,Find U Again (feat. Camila Cabello),2019-05-30,176416,85,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,558997,85,"dance pop,pop",0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,4
Sad Forever,4a5zacCsHLtMC2mcxkqWwn,2019-06-10T01:56:56Z,Sad Forever,2019-05-31,203507,76,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1321007,88,"dance pop,pop,post-teen pop",0.527,0.538,5,-7.434,1,0.104,0.468,0,0.0825,0.389,117.319,4
Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,2019-06-10T01:56:56Z,Not Ok,2019-05-23,210943,84,Kygo,23fqKkggKUBHNkbKtXEls4,4975340,90,"edm,pop,tropical house",0.618,0.66,11,-8.14,0,0.0372,0.0292,2.07e-06,0.325,0.408,105.0,4
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,2019-06-10T01:56:56Z,Rescue Me,2019-05-17,158899,88,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,7738325,87,"dance pop,neo mellow,piano rock,pop,pop rap,pop rock,post-teen pop",0.759,0.605,7,-7.737,1,0.0433,0.156,0,0.694,0.64,121.049,4
Those Nights,6qQiQjP0oGnsG3Xa1sSuiJ,2019-06-10T01:56:56Z,Those Nights,2019-06-04,269854,71,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,3582635,86,"metropopolis,modern rock,pop",0.321,0.54,7,-6.481,0,0.147,0.478,0,0.108,0.255,75.07,4
"A Whole New World (End Title) - From ""Aladdin""",1iWHabUgUuuKLBa0TzTHfk,2019-06-10T01:56:56Z,"A Whole New World (End Title) [From ""Aladdin""]",2019-05-09,242956,86,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,8042874,86,"dance pop,pop,post-teen pop",0.302,0.414,2,-8.16,1,0.0319,0.0575,0,0.0861,0.105,110.508,4
In My Bed,2o0KMNhcw5KO7CuslvR4Xs,2019-06-10T01:56:56Z,In My Bed,2019-06-07,189980,67,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,2275142,81,"dance pop,pop,post-teen pop,viral pop",0.813,0.385,9,-6.024,0,0.095,0.0773,0.00229,0.0847,0.666,109.046,4
Unbelievable,3anNizayrIeuVv3Mb2KnIR,2019-06-10T01:56:56Z,Unbelievable,2019-05-16,189384,76,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1337846,82,"boy band,dance pop,pop,post-teen pop,teen pop",0.532,0.66,7,-7.138,1,0.0825,0.105,0.000222,0.0996,0.676,130.013,4
Call You Mine (with Bebe Rexha),05CwHjIk71RXVU40boRMnR,2019-06-10T01:56:56Z,World War Joy,2019-05-31,217653,87,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12544525,91,"edm,electropop,pop,tropical house",0.591,0.702,7,-5.59,1,0.0289,0.225,0,0.414,0.501,104.003,4
If I Can't Have You,6LsAAHotRLMOHfCsSfYCsz,2019-06-10T01:56:56Z,If I Can't Have You,2019-05-03,190800,95,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,17183850,93,"canadian pop,dance pop,pop,post-teen pop,viral pop",0.692,0.809,2,-4.198,1,0.0602,0.524,0,0.147,0.864,123.911,4
Dream Glow (BTS World Original Soundtrack) - Pt. 1,4c1WgUnHXq2LEncGHKgj1I,2019-06-10T01:56:56Z,Dream Glow (BTS World Original Soundtrack) [Pt. 1],2019-06-07,187457,82,BTS,3Nrfpe0tUJi4K4DXYWgMUX,11480362,94,"k-pop,k-pop boy group",0.735,0.74,0,-3.837,0,0.0519,0.0967,0,0.101,0.541,141.948,4
Drugs & The Internet,4SHhui9S7lFYGHXikfneGo,2019-06-10T01:56:56Z,Drugs & The Internet,2019-04-26,178549,80,Lauv,5JZ7CnR6gTvEMKX4g70Amv,1321007,88,"dance pop,pop,post-teen pop",0.454,0.583,2,-6.596,1,0.133,0.321,1.06e-05,0.332,0.216,89.134,4
HOLD YOU DOWN,7d1LzPHqTK1PzYOwuST4bq,2019-06-10T01:56:56Z,HOLD YOU DOWN,2019-05-31,197172,67,X Ambassadors,3NPpFNZtSTHheNBaWC82rB,1582827,79,"modern alternative rock,modern rock,pop,pop rock,stomp pop",0.579,0.637,8,-5.086,0,0.0482,0.0333,3e-06,0.0785,0.469,79.01,4
Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,2019-06-10T01:56:56Z,Magnets EP,2019-05-24,174444,77,Sam Feldt,20gsENnposVs2I4rQ5kvrf,358949,79,"dance pop,deep tropical house,edm,electro house,pop,pop edm,tropical house",0.59,0.642,7,-3.87,1,0.122,0.0771,0,0.105,0.651,107.356,4
I Believe,1vYh9x8UmFTLbXiizk9Qc5,2019-06-10T01:56:56Z,Happiness Begins,2019-06-07,217533,76,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2357248,90,"boy band,dance pop,pop,post-teen pop",0.751,0.775,9,-6.243,1,0.108,0.0916,5.36e-06,0.11,0.36,99.036,4
Feeling So Good,4GAFlFLouTialsJv1kiKaC,2019-06-10T01:56:56Z,Symptoms,2019-05-03,187160,66,Ashley Tisdale,2ddxtfC0oS8LoktXUHE7YL,626124,64,"dance pop,pop,post-teen pop,viral pop",0.727,0.702,4,-6.19,1,0.131,0.0991,9.42e-06,0.739,0.525,110.005,4
