track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,2019-05-20T10:18:25Z,Rescue Me,2019-05-17,158899,80,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,7611270,84,"dance pop,neo mellow,piano rock,pop,pop rap,pop rock,post-teen pop",0.759,0.605,7,-7.737,1,0.0433,0.156,0.0,0.6940000000000001,0.64,121.04899999999999,4
Nightmare,340UVheS8z3ncW9TTUhAbc,2019-05-20T10:18:25Z,Nightmare,2019-05-17,231998,84,Halsey,26VFTg2z8YR0cCuwLzESi2,6240797,92,"dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop",0.611,0.622,9,-5.075,0,0.0734,0.0188,0.0,0.359,0.5379999999999999,146.11,4
Unbelievable,3anNizayrIeuVv3Mb2KnIR,2019-05-20T10:18:25Z,Unbelievable,2019-05-16,189384,70,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1296107,82,"boy band,dance pop,pop,post-teen pop,teen pop",0.532,0.66,7,-7.138,1,0.0825,0.105,0.00022200000000000003,0.0996,0.6759999999999999,130.013,4
"A Whole New World (End Title) - From ""Aladdin""",1iWHabUgUuuKLBa0TzTHfk,2019-05-20T10:18:25Z,"A Whole New World (End Title) [From ""Aladdin""]",2019-05-09,242956,83,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,7857541,84,"dance pop,pop,post-teen pop",0.302,0.414,2,-8.16,1,0.0319,0.0575,0.0,0.0861,0.105,110.508,4
EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,2019-05-21T18:49:52Z,IGOR,2019-05-17,190066,86,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,2828449,90,"hip hop,pop rap,rap",0.5539999999999999,0.498,9,-8.866,1,0.0685,0.23,5.98e-06,0.795,0.413,79.635,4
Falling like the Stars,15xWRPHQMeqgdkGzInx3PY,2019-05-20T10:18:25Z,Falling like the Stars,2019-05-10,212720,79,James Arthur,4IWBUUAFIplrNtaOHcJPRM,3968160,85,"dance pop,pop,post-teen pop,talent show",0.29600000000000004,0.35100000000000003,6,-9.538,1,0.0351,0.823,1.5e-06,0.11,0.19,177.59599999999998,3
Fade Out,20XjdVfh6kFATmgm7T0C5r,2019-05-20T10:18:25Z,Fade Out,2019-05-15,196666,65,Seeb,5iNrZmtVMtYev5M9yoWpEq,123963,77,"dance pop,edm,norwegian pop,pop,pop edm,tropical house",0.706,0.68,4,-4.65,0,0.0424,0.11800000000000001,0.0,0.0443,0.728,105.977,4
Do You Mean (with Ty Dolla $ign & bülow),5MvLsT03RBp67RLoeISCdl,2019-05-20T10:18:25Z,World War Joy...Do You Mean,2019-04-26,193175,83,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,12218996,90,"electropop,pop,tropical house",0.6,0.6659999999999999,11,-9.827,1,0.0394,0.102,0.0,0.11800000000000001,0.5660000000000001,99.98899999999999,4
tomorrow tonight,6aYwwMcANnpuUm4zLsCzy3,2019-05-20T10:18:25Z,tomorrow tonight,2019-05-17,202266,59,Loote,00TKPo9MxwZ0j4ooveIxWZ,49385,74,"dance pop,electropop,indie cafe pop,indie poptimism,nyc pop,pop,pop edm,post-teen pop,tropical house,uk pop",0.45799999999999996,0.415,8,-10.963,1,0.0665,0.138,0.0,0.106,0.17,91.62299999999999,4
ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,2019-05-20T10:18:25Z,ME!,2019-04-26,193040,94,Taylor Swift,06HL4z0CvFAxyc27GXpf02,19970831,92,"dance pop,pop,post-teen pop",0.614,0.8390000000000001,0,-4.143,1,0.0702,0.0291,0.0,0.11199999999999999,0.657,182.123,4
Don’t Give Up On Me Now (with Julie Bergan),46W9iEjOg5nkMvb6lo4Jwz,2019-05-20T10:18:25Z,Don’t Give Up On Me Now (with Julie Bergan),2019-05-10,127826,66,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,1638056,82,"big room,dance pop,dutch house,edm,electro house,pop,pop edm,progressive electro house,tropical house",0.687,0.706,4,-5.357,1,0.0459,0.091,0.0,0.124,0.27,115.26799999999999,4
Feeling So Good,4GAFlFLouTialsJv1kiKaC,2019-05-20T10:18:25Z,Symptoms,2019-05-03,187160,64,Ashley Tisdale,2ddxtfC0oS8LoktXUHE7YL,616066,63,"dance pop,pop,post-teen pop,viral pop",0.727,0.7020000000000001,4,-6.19,1,0.131,0.0991,9.42e-06,0.7390000000000001,0.525,110.005,4
Paradise,7njKgVl3AnLflRad38o7AG,2019-05-20T10:18:25Z,Paradise,2019-04-04,169038,90,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,1515207,86,"dance pop,pop,post-teen pop",0.8440000000000001,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,4
Sing It With Me,60DwQiwwglVkTkTwDTTEId,2019-05-20T10:18:25Z,Sing It With Me,2019-05-03,201198,74,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,351269,77,"australian pop,dance pop,neo mellow,pop,r&b,tropical house,uk pop",0.54,0.7929999999999999,5,-4.379,1,0.0493,0.0744,0.0,0.354,0.39899999999999997,112.219,4
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",3y3brCCecHC3Db18aIOnny,2019-05-20T10:18:25Z,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",2019-04-19,215315,89,Kygo,23fqKkggKUBHNkbKtXEls4,4872098,88,"edm,pop,tropical house",0.591,0.705,9,-6.519,0,0.079,0.381,0.00011599999999999999,0.131,0.27,121.79899999999999,4
So Am I,0uUNN1nSoUx1A4fkDCWDQ7,2019-05-20T10:18:25Z,So Am I,2019-03-07,184295,90,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,336530,85,"dance pop,pop,post-teen pop",0.684,0.677,6,-4.034,1,0.0464,0.0754,0.0,0.133,0.595,130.141,4
Stand By (feat. Rudimental) [#CWC19],05P4BYqVauVxy0w9g6w2D9,2019-05-20T10:18:25Z,Stand By (feat. Rudimental) [#CWC19],2019-05-17,189274,63,LORYN,0ryyI8NGZJ4MLeRfwbkODZ,408,51,,0.6609999999999999,0.78,1,-4.738,1,0.0832,0.0616,0.0,0.23,0.623,116.025,4
okay,1a0Mg4XPdt4EKsUz5beRZY,2019-05-20T10:18:25Z,okay,2019-04-23,169182,77,LANY,49tQo2QULno7gxHutgccqF,1530372,79,"la pop,pop",0.71,0.721,8,-7.6739999999999995,1,0.214,0.0508,2.88e-06,0.152,0.555,119.919,4
Cool,3QmolSZqjjLksTUvZJ6pPS,2019-05-20T10:18:25Z,Cool,2019-04-05,167120,84,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,2202961,86,"boy band,dance pop,pop,post-teen pop",0.6809999999999999,0.603,0,-5.5329999999999995,1,0.0458,0.0105,0.0,0.159,0.643,79.007,4
Girl in the Mirror,2UcK3xgGDxPSyKzKqyPv0s,2019-05-20T10:18:25Z,UglyDolls (Original Motion Picture Soundtrack),2019-04-26,158066,63,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,3601795,87,"dance pop,pop,post-teen pop",0.748,0.69,2,-3.053,1,0.0352,0.0615,0.0,0.29600000000000004,0.513,106.96600000000001,4
Enemy,3YOl49rulPzu6LHbeDicuT,2019-05-20T10:18:25Z,Enemy,2019-04-26,212188,68,Sandro Cavazza,5JYo7gm2dkyLLlWHjxS7Dy,25963,78,swedish pop,0.5579999999999999,0.675,9,-8.224,1,0.0623,0.00339,0.0,0.272,0.327,131.847,4
