track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I Don't Care (with Justin Bieber),3HVWdVOQ0ZA45FuZGSfvns,2019-07-22T05:59:44Z,I Don't Care (with Justin Bieber),2019-05-10,219946,95,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,47995663,100,"pop,uk pop",0.7979999999999999,0.675,6,-5.041,1,0.0442,0.0912,0.0,0.0894,0.8420000000000001,101.956,4
Can You Feel the Love Tonight,1zSKtBze2IReYU44W0lDzd,2019-07-22T05:59:44Z,The Lion King (Original Motion Picture Soundtrack),2019-07-11,182613,76,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19448817,91,"dance pop,pop,r&b",0.337,0.331,5,-10.16,1,0.0385,0.657,0.0,0.085,0.35,103.20299999999999,5
tomorrow tonight,6aYwwMcANnpuUm4zLsCzy3,2019-07-22T05:59:44Z,tomorrow tonight,2019-05-17,202266,50,Loote,00TKPo9MxwZ0j4ooveIxWZ,63724,72,"australian pop,dance pop,electropop,indie cafe pop,indie poptimism,nyc pop,pop,pop edm,post-teen pop,tropical house",0.45799999999999996,0.415,8,-10.963,1,0.0665,0.138,0.0,0.106,0.17,91.62299999999999,4
Easier,4tNXntkAzQ5A2dfYRYGIIQ,2019-07-22T05:59:44Z,Easier,2019-05-23,157492,86,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,4926649,86,"boy band,dance pop,pop,post-teen pop",0.505,0.428,5,-5.604,1,0.221,0.489,0.0,0.0977,0.618,175.813,4
"SPIRIT - From Disney's ""The Lion King""",1tC5WMSlsGDFfqnrquB1ty,2019-07-22T05:59:44Z,"SPIRIT (From Disney's ""The Lion King"")",2019-07-10,277030,76,Beyoncé,6vWDO969PvNqNYHIOW5v0m,19448817,91,"dance pop,pop,r&b",0.44799999999999995,0.435,10,-8.102,1,0.039,0.00988,0.0,0.0964,0.0466,80.84899999999999,4
In My Bed,2o0KMNhcw5KO7CuslvR4Xs,2019-07-22T05:59:44Z,In My Bed,2019-06-07,189980,67,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,2329860,80,"dance pop,pop,post-teen pop,viral pop",0.813,0.385,9,-6.024,0,0.095,0.0773,0.00229,0.0847,0.6659999999999999,109.046,4
Come To Brazil,6cOm9V2J4ybgsqUDrLaqn6,2019-07-22T05:59:44Z,Come To Brazil,2019-06-28,139211,74,Why Don't We,2jnIB6XdLvnJUeNTy5A0J2,1431032,81,"boy band,dance pop,pop,post-teen pop,teen pop",0.546,0.5720000000000001,4,-5.187,0,0.10800000000000001,0.32,0.0,0.20800000000000002,0.42,99.631,4
Must Have Been The Wind,1PsMieVYFXrSeXMxuE2SbG,2019-07-22T05:59:44Z,Must Have Been The Wind,2019-06-13,179299,73,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,712737,81,pop,0.5920000000000001,0.475,7,-11.09,1,0.0727,0.8220000000000001,0.0009689999999999999,0.122,0.369,178.093,4
GLOW,2uZvZlMK9LPw4gpqdjRN7L,2019-07-22T05:59:44Z,GLOW,2019-06-14,191312,57,CORSAK,1TcbdifqhtxLz77unBYJ7z,2932,60,chinese electropop,0.59,0.5379999999999999,0,-7.556,1,0.0435,0.142,0.0,0.13699999999999998,0.146,145.111,4
Mad Love,79JBjIq90BrQ8Ws0pUhlzD,2019-07-22T05:59:44Z,Mad Love,2019-06-07,169813,85,Mabel,1MIVXf74SZHmTIp4V4paH4,322374,82,"dance pop,pop,post-teen pop,r&b,tropical house,uk pop",0.622,0.7959999999999999,0,-2.9989999999999997,0,0.172,0.667,0.0,0.106,0.62,197.705,4
Instagram,0U6bQIAh6MCGo1xjbIIx2S,2019-07-22T05:59:44Z,Instagram,2019-07-05,184558,80,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,2499085,79,"belgian dance,belgian edm,big room,deep big room,edm,electro house,progressive electro house,tropical house",0.765,0.9059999999999999,8,-2.097,0,0.0965,0.125,0.0,0.423,0.95,96.071,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-07-22T05:59:44Z,Higher Love,2019-06-28,228267,87,Kygo,23fqKkggKUBHNkbKtXEls4,5206705,89,"edm,pop,tropical house",0.693,0.6779999999999999,8,-7.159,1,0.0324,0.0154,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,4
