track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2019-06-04T12:51:59Z,lovely (with Khalid),2018-04-19,200185,90,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,8598610,100,"electropop,pop",0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,4
hate u love u,08wURIBZsaN1sCIDewNdrX,2019-06-04T12:51:59Z,hate u love u,2016-12-09,175466,11,Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,616191,80,"dance pop,electropop,pop,post-teen pop",0.405,0.404,6,-8.954,0,0.208,0.682,0,0.0962,0.267,178.529,4
Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,2019-06-04T12:51:59Z,Back from the Edge,2016-10-28,246880,76,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4025137,86,"dance pop,pop,post-teen pop,talent show",0.696,0.543,11,-6.164,1,0.0489,0.308,0,0.0939,0.479,107.969,4
Consequences,7sTtHHrD0zDpmzQzH3zegz,2019-06-04T12:51:59Z,Camila,2018-01-12,178466,70,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,9801034,87,"dance pop,pop,post-teen pop,r&b",0.455,0.292,0,-6.792,1,0.0563,0.889,0,0.106,0.43,84.339,5
Happier,2RttW7RAu5nOAfq6YFvApB,2019-06-04T12:51:59Z,÷ (Deluxe),2017-03-03,207520,83,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,45193473,97,"pop,uk pop",0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,4
when the party's over,43zdsphuZLzwA9k4DJhU0I,2019-06-04T12:51:59Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,196077,91,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,8598610,100,"electropop,pop",0.367,0.111,4,-14.084,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.642,4
Complicated,0jllH0usRFD4LJkJnGK9Lf,2019-06-04T12:51:59Z,Complicated,2015-08-09,189000,75,Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,616191,80,"dance pop,electropop,pop,post-teen pop",0.657,0.355,7,-12.044,1,0.0714,0.694,0.000427,0.123,0.0808,74.99,4
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,2019-06-04T12:51:59Z,Breach,2018-11-08,182160,90,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,602300,89,"pop,uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,2019-06-04T12:51:59Z,Only Human (Deluxe),2018-03-09,204326,81,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,1214209,79,pop,0.331,0.235,10,-7.7,1,0.0299,0.918,0,0.137,0.218,171.232,3
I Can't Fall in Love Without You,4VPXFi4vFTtS9wHe6oMQaT,2019-06-04T12:51:59Z,So Good,2017-03-17,180640,75,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5152515,84,"dance pop,edm,electropop,pop,post-teen pop,scandipop,swedish electropop,swedish pop,tropical house",0.485,0.332,4,-9.244,1,0.0338,0.784,0.000122,0.146,0.273,130.813,4
