track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,2019-07-08T23:19:03Z,lovely (with Khalid),2018-04-19,200185,87,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,11604306,97,"electropop,pop",0.35100000000000003,0.29600000000000004,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.28399999999999,4
Sleep Deprived,5b5TFxOActpzojAUxDwP92,2019-07-08T23:19:03Z,Sleep Deprived,2017-04-07,173900,49,Tore Bojsten,1QmNjaTKRMyxwQLWms8kgr,4940,53,viral pop,0.547,0.233,9,-9.212,1,0.0435,0.853,0.0,0.335,0.331,96.43299999999999,4
You Are The Reason,69vToJ9BMbbLlFZo7k7A7B,2019-07-08T23:19:03Z,Only Human (Deluxe),2018-03-09,204326,79,Calum Scott,6ydoSd3N2mwgwBHtF6K7eX,1417411,78,"australian pop,pop,uk pop",0.331,0.235,10,-7.7,1,0.0299,0.9179999999999999,0.0,0.13699999999999998,0.218,171.232,3
Consequences,7sTtHHrD0zDpmzQzH3zegz,2019-07-08T23:19:03Z,Camila,2018-01-12,178466,70,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,11011676,94,"dance pop,pop,post-teen pop",0.455,0.292,0,-6.792000000000001,1,0.0563,0.889,0.0,0.106,0.43,84.339,5
when the party's over,43zdsphuZLzwA9k4DJhU0I,2019-07-08T23:19:03Z,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,196077,87,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,11604306,97,"electropop,pop",0.36700000000000005,0.111,4,-14.084000000000001,1,0.0972,0.978,3.97e-05,0.0897,0.198,82.64200000000001,4
hate u love u,08wURIBZsaN1sCIDewNdrX,2019-07-08T23:19:03Z,hate u love u,2016-12-09,175466,8,Olivia O'Brien,1QRj3hoop9Mv5VvHQkwPEp,700984,78,"dance pop,indie poptimism,pop,post-teen pop,uk pop",0.405,0.40399999999999997,6,-8.954,0,0.20800000000000002,0.682,0.0,0.0962,0.267,178.52900000000002,4
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,2019-07-08T23:19:03Z,Breach,2018-11-08,182160,85,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,921733,87,"pop,uk pop",0.501,0.405,1,-5.678999999999999,1,0.0319,0.7509999999999999,0.0,0.105,0.446,109.891,4
Back To You,2GwShNdcJHDLEkGO4L34lF,2019-07-08T23:19:03Z,Back To You,2018-06-15,219976,56,The Mayries,38SWPOPO1YqxUPnT4AAoID,35659,70,"acoustic pop,neo mellow,pop,viral pop",0.44799999999999995,0.256,5,-10.17,1,0.0483,0.875,0.0,0.113,0.174,77.27199999999999,4
Can I Be Him,0VhgEqMTNZwYL1ARDLLNCX,2019-07-08T23:19:03Z,Back from the Edge,2016-10-28,246880,75,James Arthur,4IWBUUAFIplrNtaOHcJPRM,4373898,84,"dance pop,pop,post-teen pop,talent show,uk pop",0.696,0.5429999999999999,11,-6.164,1,0.0489,0.308,0.0,0.0939,0.479,107.969,4
Solstice,5Os0ngycjWDGDmIM6jWDN5,2019-07-08T23:19:03Z,Solstice,2018-08-17,247692,33,TAVIA,7CSydBpv19fohLaNKVsoFZ,349,25,,0.483,0.209,8,-10.770999999999999,1,0.0324,0.777,0.0,0.114,0.184,78.248,4
