track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
we used to talk every night,6kAMaQt8UveeTctekIpUjF,2019-05-30T02:49:14Z,time off,2019-05-10,122749,59,Elijah Who,2b0aKuno01NxPWVCUVIEc8,84912,64,"chillhop,lo-fi beats",0.868,0.42700000000000005,8,-11.167,1,0.34600000000000003,0.909,0.00898,0.10099999999999999,0.547,82.03299999999999,4
ocean floor,5TqmsQwyYox0D7XHLQJzMM,2019-05-30T02:49:14Z,lovely currents,2018-03-13,68000,59,mommy,0DJoMHFNyxWdoGqi8XMdfk,5970,66,"chillhop,lo-fi beats",0.609,0.307,11,-18.476,0,0.302,0.884,0.927,0.0984,0.674,201.995,3
patio flowers,7KRwU0dEFeIULnYzOUpTqn,2019-05-30T02:49:14Z,patio flowers,2019-05-10,112955,50,ENRA,1jDbZQQs4VNtiC4AerpIg4,48,39,,0.59,0.19699999999999998,1,-12.46,0,0.0317,0.0951,0.797,0.107,0.0367,85.027,4
Slip N Slide,00rMxNO6kyH3bKclgD1h9j,2019-05-30T02:49:14Z,Slip N Slide,2019-03-15,161927,53,Pandrezz,65ZGdYSRT3Rmv6P7DN4XCC,15065,66,"chillhop,lo-fi beats",0.669,0.442,7,-9.195,1,0.0586,0.851,0.43200000000000005,0.0848,0.293,82.999,4
Snakez,69QGRreL8XpWLoa0WMYOvm,2019-05-30T02:49:14Z,Snakez,2019-03-22,196493,54,Alistair,50SQBxUnUGXPKTV5hVOprn,348,46,,0.653,0.33899999999999997,11,-11.439,0,0.0393,0.23199999999999998,0.772,0.0813,0.258,130.001,4
Clocks Forward,3DXOgShDK2FK1nUM6NeGnL,2019-05-30T02:49:14Z,Clocks Forward,2019-05-06,141176,62,Psalm Trees,5pmXkV6A8yQdoa64xzvZ0S,4323,63,"chillhop,lo-fi beats",0.737,0.11599999999999999,0,-16.45,1,0.0485,0.569,0.8170000000000001,0.0893,0.387,85.02600000000001,4
Empty,5XpvjGuhlIplDcpVHyBviG,2019-05-30T02:49:14Z,Empty,2019-04-28,94883,50,Nokiaa,0ikgHu560bYMZOOXFQnRLN,1811,65,"chillhop,lo-fi beats",0.747,0.271,1,-13.633,0,0.105,0.759,0.924,0.397,0.35600000000000004,86.029,4
gold,58LtMOwgUsR2RH70Du6hiK,2019-05-30T02:49:14Z,flux the cynic,2019-05-04,107625,50,Flux The Cynic,7KVnt5tFYViqLUPgUkkDoF,149,43,lo-fi beats,0.82,0.294,2,-13.29,0,0.505,0.85,0.8759999999999999,0.0933,0.9390000000000001,160.054,4
Jungle Jim,3jyYbFK0RKKVy7JWoBrefp,2019-05-30T02:49:14Z,Jungle Jim,2019-02-22,90353,57,Dontcry,3vzJueN7TkCtYpz1myVmDU,3582,66,"chillhop,lo-fi beats",0.759,0.0931,7,-18.192,1,0.129,0.0515,0.799,0.361,0.292,85.035,4
Lvndr,035SD8i1kub2mdW5ljFhjS,2019-05-30T02:49:14Z,Vrbna // lvndr,2019-04-26,140500,52,Lilac,3wKV11EdqfY7lFaUeDUEC1,780,51,,0.599,0.336,11,-13.686,1,0.05,0.74,0.6,0.168,0.184,123.01100000000001,4
