track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
busking,6hBofveV7cUFOSuUB9RQjk,2019-08-18T07:14:13Z,busking,2019-02-12,140714,55,_tag,0B3KPEKVLbLSOmCK0aTMMi,378,49,lo-fi beats,0.622,0.0701,0,-13.015999999999998,1,0.0421,0.495,0.9109999999999999,0.102,0.247,77.065,4
Way Home,30nV0LJfrglHrZtSplHtYC,2019-08-18T07:14:13Z,Sofa,2019-07-29,238350,42,Ariel T,1jV6ZVJ5WPoWiYZfOolQV6,14,41,,0.7340000000000001,0.332,11,-16.253,0,0.102,0.737,0.902,0.0899,0.26,80.0,4
Decisions,693x7mqPNtiFzJSkFZcB1N,2019-08-18T07:14:13Z,Decisions,2018-10-18,89030,48,NAGASHI,0M50twWlneC1mfo1nACA6j,33,38,,0.444,0.26,11,-19.291,0,0.0695,0.846,0.764,0.375,0.289,112.06200000000001,1
Cityscape,0WZ4gtS8RX39NqF1xhAXbQ,2019-08-18T07:14:13Z,Vatten,2019-07-12,144000,49,Guustavv,4ztOXfl03SlHkzRIsrvWmX,1679,61,lo-fi beats,0.922,0.508,8,-7.4910000000000005,0,0.132,0.187,0.386,0.0934,0.696,140.056,4
Trippin,3ZlkH9iXwzuicNCfHkGi6p,2019-08-18T07:14:13Z,Trippin,2019-02-12,128529,41,Manamera,7ar7lfJxKo3iW5YNXzrLJz,27,31,chill beats,0.8,0.235,0,-12.056,1,0.33399999999999996,0.711,0.833,0.147,0.431,150.078,4
Testing Tubes,0z7GuzX6SvdWx7KDW5Zxg6,2019-08-18T07:14:13Z,Testing Tubes,2019-02-12,148072,50,Praizee,04zAPci2CXOZnrVNw9PWaC,91,41,lo-fi beats,0.82,0.139,8,-10.940999999999999,1,0.36200000000000004,0.637,0.7759999999999999,0.10099999999999999,0.6579999999999999,74.993,4
Salt Lamp,42JPhBkcrAn8wfZn9xdSzO,2019-08-18T07:14:13Z,Runoff,2019-04-26,138759,49,Jobii,2MGL4XU2LCJC47c7VvSwuE,795,57,lo-fi beats,0.648,0.54,7,-7.129,1,0.0539,0.35100000000000003,0.759,0.0951,0.249,154.02100000000002,4
NEAR,72u6WlUdYIx62Z33Xvh7A4,2019-08-18T07:14:13Z,Shinigami,2018-07-27,95255,4,SINY,6d1bmKQyB8OJWCOJJPCkVT,1470,54,lo-fi beats,0.7759999999999999,0.252,8,-8.335,1,0.233,0.8340000000000001,0.914,0.11199999999999999,0.617,87.115,4
Honey,1GWIyLJLyza41v0TEdvUOG,2019-08-18T07:14:13Z,I Can't Tell You How Much It Hurts,2017-01-27,114005,53,moow,4dGUoQuMs1zVpafybz4O9d,31950,59,"chillhop,lo-fi beats",0.7959999999999999,0.41200000000000003,7,-8.878,0,0.161,0.8690000000000001,0.27699999999999997,0.306,0.804,119.963,4
Snake Plant,4c62KxdplU5lFoc90cieVl,2019-08-18T07:14:13Z,English Breakfast,2018-12-14,131229,38,Jobii,2MGL4XU2LCJC47c7VvSwuE,795,57,lo-fi beats,0.556,0.488,4,-7.22,0,0.243,0.0291,0.446,0.11599999999999999,0.391,172.78900000000002,4
