track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,2019-07-04T22:01:00Z,Ruin My Life,2018-10-18,190931,81,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,5355945,86,"dance pop,edm,electropop,pop,post-teen pop,r&b,scandipop,swedish electropop,swedish pop,tropical house",0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,4
Unknown (To You),2yys44g1Jx5chbPxsdWklY,2019-07-04T22:01:00Z,Unknown (To You),2017-09-14,233200,15,Jacob Banks,0AepkoQhYvkjEzzwIcGxdV,207744,67,"indie r&b,uk contemporary r&b",0.349,0.535,8,-5.108,0,0.0445,0.878,0.000508,0.121,0.248,128.827,4
Kiss from a Rose,0z5E34e7ZT3XKMYQNXh6tH,2019-07-04T22:01:00Z,Best 1991 - 2004,2004,289226,51,Seal,5GtMEZEeFFsuHY8ad4kOxv,834819,68,"british soul,soft rock",0.587,0.493,8,-8.368,1,0.0296,0.63,0,0.224,0.21,131.727,3
Arms,48HT7Zzd3We4ZjG82lsbdK,2019-07-04T22:01:00Z,On the Train Ride Home,2018-04-18,203560,63,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,319669,68,"australian indie folk,chamber pop,folk-pop,indie anthem-folk,indie folk,neo mellow,stomp and holler",0.41,0.141,2,-18.564,1,0.0337,0.932,0.0898,0.118,0.24,149.888,4
We Need Love - from Songland,2GtSvnYFfj7vvpo9B0FqlI,2019-07-04T22:01:00Z,We Need Love (from Songland),2019-05-28,159346,62,John Legend,5y2Xq6xcjJb2jVM54GHK3t,4591253,83,"neo mellow,neo soul,pop,r&b,urban contemporary",0.409,0.384,8,-8.063,1,0.0485,0.869,9.11e-05,0.23,0.506,90.981,3
You Make It Real,1Yw6ViCo3tuufI0Hg4mzSU,2019-07-04T22:01:00Z,"Songs For You, Truths For Me (International Exclusive Bundle)",2008-01-01,211400,60,James Morrison,3LpLGlgRS1IKPPwElnpW35,1055836,71,"folk-pop,neo mellow,neo soul,pop,pop rock,r&b",0.317,0.57,0,-5.331,1,0.0324,0.242,0,0.145,0.322,84.253,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-07-04T22:01:00Z,Higher Love,2019-06-28,228267,84,Kygo,23fqKkggKUBHNkbKtXEls4,5089122,91,"edm,pop,tropical house",0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05e-06,0.101,0.404,103.952,4
What A Time (feat. Niall Horan),5WtfUKzXircvW8l5aaVZWT,2019-07-04T22:01:00Z,Inner Monologue Part 1,2019-01-24,173306,77,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,1900674,86,"dance pop,pop,post-teen pop",0.518,0.467,0,-6.184,1,0.0302,0.662,0,0.0853,0.386,132.854,4
Georgia,429EttO8gs0bDo2SQfUNSm,2019-07-04T22:01:00Z,Dream Your Life Away (Special Edition),2014-09-09,230506,70,Vance Joy,10exVja0key0uqUkk6LJRT,1712710,80,"indie folk,modern rock,neo mellow,pop",0.388,0.66,11,-7.372,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,4
Say Love,1csB4kgdyglOQdH0EyFIqy,2019-07-04T22:01:00Z,Say Love,2018-03-30,219440,24,James TW,0B3N0ZINFWvizfa8bKiz4v,333156,78,"australian pop,dance pop,indie cafe pop,neo mellow,pop",0.753,0.457,1,-7.533,1,0.0541,0.119,1.15e-06,0.355,0.549,84.038,4
