track_name,track_id,date_added,album_name,release_date,track_duration_ms,track_popularity,artist,artist_id,artist_followers,artist_popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Unknown (To You),2yys44g1Jx5chbPxsdWklY,2019-07-04T22:01:00Z,Unknown (To You),2017-09-14,233200,15,Jacob Banks,0AepkoQhYvkjEzzwIcGxdV,207744,67,"indie r&b,uk contemporary r&b",0.349,0.535,8,-5.1080000000000005,0,0.0445,0.878,0.000508,0.121,0.248,128.827,4
Kiss from a Rose,0z5E34e7ZT3XKMYQNXh6tH,2019-07-04T22:01:00Z,Best 1991 - 2004,2004,289226,51,Seal,5GtMEZEeFFsuHY8ad4kOxv,834819,68,"british soul,soft rock",0.5870000000000001,0.493,8,-8.368,1,0.0296,0.63,0.0,0.22399999999999998,0.21,131.727,3
Arms,48HT7Zzd3We4ZjG82lsbdK,2019-07-04T22:01:00Z,On the Train Ride Home,2018-04-18,203560,63,The Paper Kites,79hrYiudVcFyyxyJW0ipTy,319669,68,"australian indie folk,chamber pop,folk-pop,indie anthem-folk,indie folk,neo mellow,stomp and holler",0.41,0.141,2,-18.564,1,0.0337,0.932,0.0898,0.11800000000000001,0.24,149.888,4
We Need Love - from Songland,2GtSvnYFfj7vvpo9B0FqlI,2019-07-04T22:01:00Z,We Need Love (from Songland),2019-05-28,159346,62,John Legend,5y2Xq6xcjJb2jVM54GHK3t,4591253,83,"neo mellow,neo soul,pop,r&b,urban contemporary",0.409,0.384,8,-8.062999999999999,1,0.0485,0.8690000000000001,9.109999999999999e-05,0.23,0.506,90.98100000000001,3
You Make It Real,1Yw6ViCo3tuufI0Hg4mzSU,2019-07-04T22:01:00Z,"Songs For You, Truths For Me (International Exclusive Bundle)",2008-01-01,211400,60,James Morrison,3LpLGlgRS1IKPPwElnpW35,1055836,71,"folk-pop,neo mellow,neo soul,pop,pop rock,r&b",0.317,0.57,0,-5.331,1,0.0324,0.242,0.0,0.145,0.322,84.25299999999999,4
Higher Love,6oJ6le65B3SEqPwMRNXWjY,2019-07-04T22:01:00Z,Higher Love,2019-06-28,228267,84,Kygo,23fqKkggKUBHNkbKtXEls4,5089122,91,"edm,pop,tropical house",0.693,0.6779999999999999,8,-7.159,1,0.0324,0.0154,6.05e-06,0.10099999999999999,0.40399999999999997,103.95200000000001,4
Georgia,429EttO8gs0bDo2SQfUNSm,2019-07-04T22:01:00Z,Dream Your Life Away (Special Edition),2014-09-09,230506,70,Vance Joy,10exVja0key0uqUkk6LJRT,1712710,80,"indie folk,modern rock,neo mellow,pop",0.38799999999999996,0.66,11,-7.372000000000001,1,0.0308,0.312,0.000307,0.0943,0.401,143.554,4
Love Me Now,5pgwmLQHdWJlx3u5X15HXF,2019-07-04T22:01:00Z,Love Me Now,2019-06-14,172245,51,SVEA,4XtfY4CBieEfqF3CSiPrRx,2185,60,swedish pop,0.728,0.8270000000000001,0,-6.093,1,0.0871,0.0851,2.96e-06,0.113,0.46,111.994,4
sicker,7deKd2P0q8Wocasuten7I5,2019-07-04T22:01:00Z,sicker,2019-07-05,192555,41,laye,0Ae6oW3ISslTTIL7lIcCkn,2058,45,"canadian contemporary r&b,montreal indie",0.531,0.613,0,-6.455,1,0.044000000000000004,0.188,1.1599999999999999e-05,0.0942,0.142,144.969,4
Don't Let Me Down,6oqlWkAUCqBXjvorIRSm54,2019-07-04T22:01:00Z,Don't Let Me Down,2017-03-12,180419,55,Joy Williams,4TCXgdDPm10ensLNCVnIYa,67887,65,"acoustic pop,christian indie,folk-pop,indie folk,indiecoustica,new americana",0.706,0.0856,11,-14.898,1,0.0437,0.982,0.000344,0.106,0.184,131.355,4
